Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B12_452008
Composite Element REF	Signal
KALRN	3.47879664665172
SECTM1	5.72803830653965
THOC7	9.26192345755994
IFNAR1	4.88129715597876
TCTA	7.06823033009233
NY-REN-7	3.79556656932404
TALDO1	9.3544085316139
B2M	11.8737469227475
LPPR4	4.4924782744838
SQLE	6.51723998045746
SEPHS1	6.8076706476547
EIF5A	6.28691177165254
FAM49A	5.21182132358541
YTHDC2	3.9308255704228
EHD2	4.75996211918809
NCF1	3.83393007990066
SPG7	5.25331501747099
ZNF614	3.71223362847656
HOXA5	5.43200238228252
NUP133	7.98416600625007
FGF12	4.67357273151937
SLMO2	8.66987585894705
INPP5B	4.47040529771832
PPID	6.65732989942726
SNTA1	4.40671468766935
IL20RA	3.24541140496356
UBE2J1	5.72233101698495
CACNG2	3.26501191097372
GCM1	3.11634856230833
ELF1	6.68567263570135
TLR5	4.87887470868857
TCFL5	6.86660742253865
C1orf107	6.28037418446342
C19orf22	6.49836326979204
SAFB2	5.92461065121266
MAP3K7IP1	3.83149793673808
NCK2	8.0225122500576
OXA1L	8.54171121551218
KIAA0652	6.27486210859191
KLRG1	3.32390193036011
FRAG1	7.1795922086138
ZSCAN12	2.90140194751189
PSMD12	7.19058202603085
E2F4	5.41754068368217
CLEC4M	3.69926880856192
KIAA0999	5.48848791512291
CLDN10	8.6360801469199
MGC13053	4.00091328270844
TAC1	2.5765911392274
GYPA	3.35172094768288
HPCAL4	3.29693790551289
TRAIP	4.45575238108060
MEX3D	4.14765770877131
KIAA0232	6.27863888481243
ERCC8	5.56693176659715
NFAT5	4.58042891619948
GPX4	9.48257386249714
CSPG4LYP1	3.45693339449066
KIAA0368	5.52562941030126
FBXO3	6.91619975085679
DVL1	5.96855236973293
CMKLR1	3.65530786590131
GPR157	3.32837854964960
TYMS	8.93646226733388
OR52A1	3.21323670424048
PEF1	6.66182092888458
ZNF750	3.04656717651665
ALG9	6.16121478314952
MCM5	5.79212282707184
SDK2	3.59232494854558
BAIAP3	3.91234839006675
RABGGTB	7.31237654949292
KCNK7	3.42980130729598
PTP4A3	7.04852113110053
ANKRD40	4.33816020347633
CALCOCO2	7.11879837203206
TMSL8	4.6708795568994
SNCA	4.3934474139048
ZNF551	3.63589466252953
HBQ1	3.34536707320268
ARHGAP26	3.91840005486958
GEMIN6	6.25924343200496
HRAS	5.94934085674414
KLRC4	2.83528607701305
BSDC1	6.0519858741063
DSC1	3.68595937830336
RNF43	4.83335705550801
NDUFAF1	5.81780302550861
MAP2K4	5.78969203598903
FOLR2	4.81248541654746
LYZL6	3.58962451831016
EPB41L3	3.78043724144123
TEKT2	3.50290693114932
CDKN2B	3.67483308514718
WSB1	6.28274089629411
ZNF480	3.39190879965459
MAP3K6	4.44116003691898
PROS1	6.97570271784537
PSMB8	8.03409031841256
HN1	7.79797018043617
MAS1	3.10586104432429
APOL1	4.87648415971262
CSHL1	3.35566147412818
ZBTB7C	3.12466752887343
AHCTF1	7.12939371055994
SAE2	9.72940997668782
ITGA2	3.93886204146801
AP2S1	9.357927666487
P15RS	7.52818008249469
MME	3.67374804414576
VAT1	6.77304168867124
MAST4	4.41959171333031
TUFM	8.18267258680602
KRT33B	3.21996271854103
THEG	3.87524708271276
KCTD2	5.18762965422298
WDR26	8.77214086983738
MFI2	3.19090042034626
KRT34	3.37186848456334
NR4A3	3.52612559826583
SGSM3	4.717212647355
ARSA	4.27582740172058
TOMM22	5.99298957832205
SOCS3	3.67630469035111
UNKL	3.52314985668401
POP4	8.77195787891515
BHLHB3	9.08502534708263
MALL	6.4162996436458
SOX15	3.46553925318819
CCNA2	6.07703262028421
PARK2	3.51945257305215
GPR124	4.53735065492169
TMEM132A	4.55785209683671
CGRRF1	6.25024679846587
RUVBL2	8.84716614407725
MCAT	6.32786810045389
WNT10B	3.50829204166514
ISCA1	6.32067813399437
RPAP1	4.09934058617312
C12orf48	4.72984371631226
RAI16	4.92074700497275
RPL27	9.30046218862446
EPN1	3.96459302362339
MAGI1	3.21165098653506
GBX2	3.34638387645749
SLC35A1	6.60490280569204
GAL	3.84627783340846
SLC14A2	3.98401289625193
RDH11	6.91215566154305
ZNF518	3.60093283155284
PCYT1B	3.25238117407772
AUH	6.7788748207118
EIF3H	10.5669915553372
KIF1B	6.31023527395932
MBD2	4.78721598449465
AMOTL2	7.97346124892767
C6orf120	5.60103578862477
PIGT	8.82971025249346
PSRC1	7.44646948523702
PLA2G10	4.04322825227152
ALAS1	7.06021220704609
FOXO1	6.70132338536538
C17orf62	6.48083333451824
KIF5C	3.89810627494501
DUSP10	5.51823472815181
CRLF3	7.15918582187225
CLCNKB	3.34565592144457
PSMA5	9.45755610187224
FARS2	5.38065896084136
CCDC28A	5.86117874550627
AMPD3	4.50994663516218
PIAS1	6.3608308792686
ADCYAP1R1	3.36682044011977
TMEM134	6.29327405506024
CDH20	3.08594584491767
FBXO7	8.08800984470026
FLJ14213	4.26718344885273
ZNF3	5.21433290714214
LRRFIP1	7.45773330700409
TMEM49	8.53495077036727
CNOT2	7.04119741496799
CBX2	2.86727798549005
ZC3H14	6.42387710067387
ALDH5A1	5.13377296627995
HNT	3.87003325183058
SERPINA4	3.26470459410202
FLJ20920	5.8429763772882
CRTAP	5.94560814894319
DDX50	7.8839404392979
STYXL1	7.5353127580259
TK2	4.68775743649579
BLVRB	7.49926222144707
STMN1	7.16227130448589
GUCA2A	3.61675612297278
DPP6	3.32144838992705
GALNT10	4.34677422294367
STK39	5.93760954257856
MMP24	4.67858498859705
CKS2	9.071305229627
RHO	3.68002303967936
BANF1	8.67233534165475
CR1	2.95649952663315
RPS6KA2	4.62383193723337
HMBS	7.32727084018526
C20orf112	3.77742890628959
SLC25A24	7.67957437983079
MRPL22	8.30633626172101
SLC25A15	5.29366528693702
GADD45B	5.20818136054178
TDP1	6.0868937699544
ZNF287	3.51277553977491
DAAM2	4.12324428144938
C11orf57	5.988214954128
RFK	6.48484808776029
ZFYVE9	4.12486595860603
TCTN3	7.3106220724845
STCH	7.35441727559238
LOC283871	3.77927951339797
NDUFB3	8.31173986279743
DEFB4	3.73581143860874
FPR1	4.28556928812867
FMNL1	3.82236776963121
SEPT7	9.87917301522636
PTCD2	4.19117731955510
GNLY	4.19548215007201
GRAMD1C	3.51299176866186
ZNF165	4.4195243356003
TR2IT1	3.90206408169576
ARMCX3	7.4370731200028
NDE1	5.18801573226395
MAGEF1	6.65274160024793
ITGA10	3.50734824781765
ARHGDIB	7.87813241521603
FSHB	3.55347403202868
ANXA2	11.1968275180102
HLCS	4.19228890090469
MCF2L	3.82586987661291
AK1	5.35451412842487
FH	7.37056077213841
LGALS2	3.89117469673277
SYNPO2L	2.68525065051779
KIAA1045	3.34653037021167
C1orf183	4.73603892927385
MAGEA8	3.01712341579118
DGCR8	4.47133064209774
GSR	4.87745311829556
NEU2	3.37237223916924
HIST1H4B	3.76550494247340
CACNA1C	3.08407229927636
FAM20B	6.45948002312409
HES2	3.05564305227045
PDCD6	8.43619773227004
INTS7	5.45477281812081
AMPH	3.93079047640397
UCKL1	7.06625855519127
ASB4	3.09341305080052
C10orf97	5.17879415479723
ALDH1L1	3.90433206986127
CCL23	3.19685017525977
OBSL1	4.89639597220584
SLC12A7	6.79028574803671
THAP4	6.16349551374682
RBM4B	5.48286210560786
OGFRL1	4.47164048801238
KIAA0831	5.05377444860324
C12orf11	6.13201030334963
PPP1R15A	5.23514623018423
KIAA0240	5.52400946027761
CD1B	3.33885754676683
FCGR2A	5.83898690242343
MDC1	5.16976218201212
MAN1A1	3.67075348462138
KRT9	3.22417438735866
HTR1A	3.3220425619986
OCEL1	6.56408818743262
ATP11B	6.66654692573622
NLGN4X	4.68299222697346
FBXO34	7.01733499231747
ALOX12	3.84572596194208
RB1CC1	7.3299639547748
PCDH12	4.56343882534128
RPE	5.42568280803994
EIF4E	6.35164277665138
CSDC2	3.69640248367022
ABHD5	5.68177211367996
TMBIM1	7.00244541141006
PET112L	4.73145442236393
P2RXL1	3.11656828602305
F2RL2	3.33124786722221
TRMT1	6.43329074794362
IMPG2	3.58339351004859
LRRC32	4.64107691644929
BGLAP	5.39833205707863
HTR4	3.41275163072985
MRAS	5.27463038759901
TRAF6	5.44165093588044
AXL	4.91523988040174
ATP2C2	3.4387482050011
LMNB1	5.17361309479677
TELO2	4.30114700232484
PNPLA3	3.36214168344018
CSNK1E	6.5081123535544
SRP14	9.7944704039617
KCNQ4	3.41633946522185
PIK3C2B	6.62880461347558
C15orf15	7.02188969612738
TUBB2B	3.05314734047465
USP15	5.65693859032259
C12orf41	7.03799143396483
CEND1	3.79122063008925
RNF31	5.34328996785526
TCEAL2	4.87122431790292
PTGER2	4.56736137779425
UBN1	5.48550542110086
SLC5A7	3.2775619697333
SLC31A1	5.29253494354376
ADAM29	3.51949360609869
ST7L	4.4512953906971
GFOD1	7.06395276562134
CTNNA1	8.64602632616836
HRBL	4.01998208790205
CBX4	3.91462327193625
NTRK2	3.38306021272371
FOXN3	4.87504098758669
MFGE8	6.73554579811974
PFKFB2	3.75710480671974
TAS2R4	3.50459777234065
SH3TC2	3.24697756687698
IL10	3.67342166093271
PXMP4	7.27858458317526
RNF167	6.47135297108993
PRMT5	6.9325282734293
TSKU	5.24177183102235
ATPIF1	8.6477090653212
ETV3	3.27557083006272
PAK7	2.95710682523276
PDLIM1	9.4909145148933
CEP63	5.91516482514523
WDFY3	4.45279184122934
RNF126	4.79684841941044
DPM1	9.73061120505413
CLIC4	6.45119350070139
ACR	3.69104220853934
KLK7	8.68066556441402
ALOX5AP	6.23225359079024
LRP1	4.81726933479401
TNK1	5.18250089464675
TAS2R9	3.00375173461052
ZNF16	6.32006673028592
POLR1B	5.09407285189708
SLC8A2	3.85901754758061
OLFM4	2.76692858908997
TACC1	4.52543932295403
SAMHD1	7.74723467609773
ATP13A2	5.34264521745055
KRT4	3.37244451239628
PAX6	5.33324545040773
SCG2	3.87224548310473
SLC17A6	3.20794820665752
TUBB4	3.97721632673575
PADI4	3.01333374949831
FMO3	3.11205366718861
NLK	3.51494527809645
POU4F3	3.21994780458422
MDM2	3.37771202634982
CAPNS1	9.4831270366295
SDF4	6.9852617333841
ITGBL1	3.72191419860483
TAP2	4.59347341920775
OR2C1	3.68781071371479
KLHDC3	7.77737351995402
EFHD2	5.74858986210285
GALR3	3.68206659999409
NBEA	3.56928499102991
ABCA6	3.37063127390331
ABBA-1	3.78714662136279
GNAI1	4.98449277783972
CLDN3	8.78969561749443
AKT2	3.60266941863323
EGFR	4.32787029278506
VPS4B	7.7412086614066
RBM16	7.31014372524904
GALNT6	6.03654155215857
ZDHHC3	6.01958037887538
SLC25A4	6.50544959835265
CYB5B	5.34927555871827
NDRG1	7.74341769259548
SESN1	4.14542937464229
GBE1	6.83205083274072
MRPL46	5.80945266558572
CLASP1	5.53086422248307
FARP2	4.7168465630069
ACOT11	3.8254860040312
LDHAL6B	2.90499883081954
MAPKAPK3	6.0590432099011
NCAM2	2.98759095013524
AFAP1	3.98988229382942
PRKD2	7.68845650347208
OR2H2	3.28247650171340
ZFP36L1	6.88494538237562
DZIP1	4.80331357117303
GPR161	4.58750537231375
RNF146	4.27535726968656
NKX3-1	3.90514274387032
CCNB2	8.25393416727345
ZNF10	3.51781485794414
WDR74	5.76348197875135
FAM134A	7.800450571168
PCNP	8.49341767195302
PURA	5.2211792371467
DNPEP	7.6389360952427
ERBB2	5.41768360395463
CREB1	6.20538549882504
NEO1	5.25367525880282
DDX3Y	3.21929527880376
RPS3A	12.4851191665431
MXRA7	10.0272648398574
LGALS3	10.9252092406277
GLT8D1	7.51324519973101
TMPRSS3	7.51286136024645
UPB1	3.11053603837558
LAT	3.92080133065372
CLDN14	3.67193836679139
DHX38	4.82295917419292
KCNA3	3.22924452089537
BTBD1	7.3966772876537
TARS2	5.51873862722939
SKIV2L2	7.48796916737293
ABCF1	7.63775462417072
CDT1	3.03960000015445
ZHX2	7.46310761032277
FCF1	4.87684580431158
LRRC49	3.71383663239889
GUCY1B2	3.51679553989383
CD28	3.25079644339561
SMARCA4	7.018441142703
SEPT2	8.9809752488948
SOHLH2	3.24733765531424
MCOLN3	3.62805599801866
LRP8	6.0648262954778
TAGLN3	3.78497724149081
MASP2	3.79091191958156
GPATCH3	4.50448697012458
TTRAP	8.40200144209532
AGL	6.72169187402833
NFE2L3	6.37316704560348
PSD4	3.9506726465567
PALMD	3.74506360405926
CCNB1IP1	7.33546341405583
TMEM43	6.26834324688864
OBFC1	6.15418922757133
STAT5B	4.26226592603203
C14orf79	4.51447280026319
ENPEP	4.30850707507113
SSB	8.3656757982566
SCT	3.18822480844923
TIMM23	6.25433203128026
SKI	4.07805110080778
SLC22A13	3.19265507439934
AKAP3	4.22100616502582
OAS2	6.30045562512652
KIAA0423	5.26002708065211
SEC61G	9.82688069224676
CAPN11	3.22845262828775
TMEM50B	7.8491253019487
DEGS1	9.95658743860683
ARHGEF4	3.38196217520487
DBNDD1	4.55188834978725
TBL1XR1	5.54053023295659
FAIM	7.0593301012493
SP140	3.35824473540596
G6PD	4.97857448652185
NUDC	6.77227339032303
