Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D01_458642
Composite Element REF	Signal
GPR124	4.42773368237273
TMEM132A	4.83390287169674
CGRRF1	5.95631570949117
RUVBL2	7.21531628938017
MCAT	5.14729189033808
WNT10B	3.52798925748412
ISCA1	7.01843044537134
RPAP1	3.85617540001409
C12orf48	5.80321531199981
RAI16	4.90387954784507
RPL27	9.04247347338049
EPN1	3.83551508490091
MAGI1	3.32337766170593
GBX2	3.14305213236157
SLC35A1	7.97739339482838
GAL	3.94692465261102
SLC14A2	3.49703791965953
RDH11	6.8459836494248
ZNF518	4.14864244210698
PCYT1B	3.34151230816983
AUH	6.77611682269215
EIF3H	10.2833869745444
KIF1B	6.93869767651841
MBD2	4.51750299881558
AMOTL2	8.14934911128847
C6orf120	5.99062613922613
PIGT	8.51245897237501
PSRC1	5.4598848311716
PLA2G10	3.48452361100872
ALAS1	7.7659509248107
FOXO1	5.31070693516131
C17orf62	8.15514310396415
KIF5C	6.23344238546442
DUSP10	4.03294214719292
CRLF3	6.4791142705859
CLCNKB	3.67950275741257
PSMA5	9.13336409736876
FARS2	5.78482651743346
CCDC28A	6.07640494086033
AMPD3	4.27223052755471
PIAS1	6.40839945748328
ADCYAP1R1	3.55621905765776
TMEM134	6.62052244826668
CDH20	3.03605670416590
FBXO7	7.48365515382147
FLJ14213	4.59368119107049
ZNF3	5.50790506773343
LRRFIP1	6.32058710786801
TMEM49	8.1624572533332
CNOT2	7.73108675400651
CBX2	3.06820293543596
ZC3H14	6.5390477911107
ALDH5A1	5.59415383751766
HNT	3.18661255299383
SERPINA4	3.35199424344557
FLJ20920	5.68647691026551
CRTAP	4.7970105626533
DDX50	8.89755643274625
STYXL1	7.39539763376748
TK2	4.81016169856583
BLVRB	5.94732026145547
STMN1	8.26747466453121
GUCA2A	3.38286277799769
DPP6	3.03179524851283
GALNT10	3.71986964918141
STK39	5.42756733103225
MMP24	4.4999971782743
CKS2	10.2839751332643
RHO	3.70139974976938
BANF1	8.75228181725082
CR1	3.05660414629299
RPS6KA2	5.38835041064654
HMBS	5.78101665803395
C20orf112	3.81705898553368
SLC25A24	7.15213812790278
MRPL22	7.3943056784277
SLC25A15	4.91285709162026
GADD45B	5.03350819738911
TDP1	6.35766341151664
ZNF287	3.94615105102581
DAAM2	4.46802375127101
C11orf57	5.04347725435566
RFK	7.18299833659228
ZFYVE9	4.17062590887475
TCTN3	7.03222687193104
STCH	6.85481788856745
LOC283871	3.41563243656411
NDUFB3	8.33019448124362
DEFB4	3.68330435017929
FPR1	4.18067693881092
FMNL1	3.65576697321413
SEPT7	9.23045544011376
PTCD2	4.70815804262435
GNLY	3.53742649425951
GRAMD1C	4.94473439854616
ZNF165	5.23128974779203
TR2IT1	4.12672652583459
ARMCX3	7.43390171726992
NDE1	5.51255783180201
MAGEF1	7.20956179429154
ITGA10	3.57512695610813
ARHGDIB	7.42159039714635
FSHB	3.74054077313263
ANXA2	11.7839349271451
HLCS	4.19252399707536
