Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
ITSN1	5.6533841414669
CHRNB1	4.25554700744496
EHBP1L1	4.80735669102093
C19orf2	7.5097284998461
FETUB	3.17706468850053
CAMK2B	3.10296452986428
DCTN1	6.38669585359071
TNKS2	7.03932070575647
MRTO4	8.22510120781184
C1QBP	6.7324314115614
TTC3	7.49134889268734
NDUFB8	9.4221171361958
CADPS2	6.81270250422627
EDG2	3.70890748113387
MYF5	2.90502261833198
SEMA3G	3.46298247061829
IL23A	3.46264767166502
GJA9	3.50264597213401
R3HDM2	7.14710956757222
C5	5.08263488731526
SLC2A10	3.28658018059092
TRIM45	5.5645543471277
TSP50	3.52779697575753
PAQR3	3.77023660859876
ANKRD26	3.67334229131663
TCP1	8.24653693401167
TMED7	5.6022362608276
CMA1	2.94685970352115
PTCRA	4.26476686433637
HCRTR1	3.38423845613387
FST	4.24003691739721
PAWR	4.41943303632709
LDLR	6.40463888999161
ASTN2	4.14657908539508
SCRN1	6.79966353844993
GPATCH8	6.71389304448824
KIF4A	7.27580566735242
TANC2	3.03792610248165
ZMYM5	4.2448714601402
PGM1	7.80700364158364
ZNF586	5.05720066193176
POLR3G	3.47875295863558
CPD	4.88724218741608
SNCAIP	3.82317109511649
DCT	3.40694442697256
HLA-DOA	3.70212437580692
TANK	5.4655664048094
RCAN1	4.48309516872775
UPK1B	4.01571704557528
DNAJB4	4.52013150785278
UGT1A8	3.32366970903499
LIMD2	3.77083414628553
HIST1H4L	3.50754339513806
PECR	4.75538659865196
HSPA2	5.57704186380293
SERP1	9.3836477409985
TACR2	3.83367640620407
NUP85	7.4004159001264
CD177	3.66871427272315
GPR135	3.36118145398797
PIGG	6.69175842564374
LGR5	3.64053732020221
JAK2	4.85338961194307
DPYSL4	3.20116641137829
TM9SF4	5.98210892386301
PTHR1	3.23974069229321
SIRPG	3.38281806457796
ZNF264	4.01284086716377
BICD1	5.3471279592949
RAB5A	7.56459516382108
FLJ13224	3.23724541581809
METTL5	8.51579751360482
HERC6	6.58913780986226
CASP1	6.4600556243427
USP9Y	2.77173416943352
LRP1B	2.83392631709452
XAF1	8.2309210881379
PLA2G4C	3.95417758079984
APOA2	3.09950689483363
SPAG6	3.13374537754521
KALRN	3.20229095442285
SECTM1	5.84833620753182
THOC7	9.59085587278765
IFNAR1	4.29002433278413
TCTA	7.57806017414874
NY-REN-7	3.85080986239171
TALDO1	9.14869332888919
B2M	12.3343506298667
LPPR4	3.14099931955631
SQLE	5.69576873608405
SEPHS1	7.32343071563859
EIF5A	6.87905837555965
FAM49A	4.46016401625512
YTHDC2	4.00687134357659
EHD2	5.12999341536026
NCF1	4.14619978368038
SPG7	7.93077306440169
ZNF614	3.67670412385138
HOXA5	6.3410521065387
NUP133	8.1774529955042
FGF12	3.30760120628529
SLMO2	7.60627484682672
INPP5B	5.02148445141878
PPID	7.5104659929812
SNTA1	5.00487314403715
IL20RA	4.10096240092123
UBE2J1	6.4278501552532
CACNG2	3.06222750832888
