Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F01_586114
Composite Element REF	Signal
NR4A3	3.90887249174199
SGSM3	4.95631198681915
ARSA	4.09632717731512
TOMM22	6.15671036154724
SOCS3	3.77863072752384
UNKL	3.81290526614262
POP4	9.12903203803128
BHLHB3	7.68877822303676
MALL	3.77728170639878
SOX15	3.17192304929449
CCNA2	6.79435587259604
PARK2	3.14120144183831
GPR124	4.27722439074143
TMEM132A	5.42222649099668
CGRRF1	5.81900054926885
RUVBL2	7.8050882783095
MCAT	6.22425492086879
WNT10B	3.57071898525757
ISCA1	7.25435365901688
RPAP1	4.66237153242049
C12orf48	5.65646992671701
RAI16	5.88589052832354
RPL27	9.48143386425167
EPN1	3.43926313691923
MAGI1	3.12164528135531
GBX2	3.14481380885631
SLC35A1	7.38691920137881
GAL	3.61817778477741
SLC14A2	3.69238723200339
RDH11	6.81148072816284
ZNF518	4.02876790323927
PCYT1B	3.22984387475859
AUH	7.81320470639207
EIF3H	10.3376334702382
KIF1B	6.8290561683843
MBD2	4.81599661933375
AMOTL2	7.92923917185234
C6orf120	6.57750270484858
PIGT	8.13263841467496
PSRC1	6.7618802856998
PLA2G10	3.53475798971225
ALAS1	7.7147080473625
FOXO1	6.297003419407
C17orf62	7.19027727810967
KIF5C	3.77537276857174
DUSP10	7.77030073956431
CRLF3	7.83731792660695
CLCNKB	3.48255601463842
PSMA5	9.17424149351437
FARS2	6.72589698750839
CCDC28A	7.19191510641778
AMPD3	4.93012145184311
PIAS1	7.56932057429532
ADCYAP1R1	3.40074057345304
TMEM134	7.21994307933802
CDH20	2.80705161105559
FBXO7	7.36672667741632
FLJ14213	3.75056838091466
ZNF3	5.9215948156458
LRRFIP1	7.71639162687151
TMEM49	9.17136526758638
CNOT2	7.40418916659402
CBX2	2.81199677633207
ZC3H14	6.50966701499759
ALDH5A1	6.83706301877775
HNT	4.42008139315776
SERPINA4	3.06780130615046
FLJ20920	6.41772776474304
CRTAP	6.48997324065322
