Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D05_452028
Composite Element REF	Signal
CKS2	9.7162675855768
RHO	3.72283618787575
BANF1	9.54001224352582
CR1	2.94616158385919
RPS6KA2	4.71124517147868
HMBS	5.82835965613993
C20orf112	3.40766933824461
SLC25A24	6.98054745056533
MRPL22	7.85791220042702
SLC25A15	4.54204942341816
GADD45B	5.33927209338851
TDP1	6.5891911980687
ZNF287	3.45874214744801
DAAM2	5.10780595870279
C11orf57	4.42262007399913
RFK	6.8982261472397
ZFYVE9	3.87652013153381
TCTN3	7.60592108249949
STCH	6.06038226307263
LOC283871	4.02529436872764
NDUFB3	8.01917159977529
DEFB4	3.60178506754525
FPR1	4.24266241751699
FMNL1	4.64604237198323
SEPT7	9.6618053837293
PTCD2	4.45481397590902
GNLY	3.60423762130742
GRAMD1C	4.67936143498569
ZNF165	4.15014114334755
TR2IT1	3.33924436095991
ARMCX3	7.44166942365056
NDE1	5.51983262398351
MAGEF1	7.11290730825557
ITGA10	3.54093716176872
ARHGDIB	8.2331152463181
FSHB	3.83624466054108
ANXA2	11.8089728135225
HLCS	4.22932110420617
MCF2L	3.7849133603693
AK1	5.56242434673608
FH	6.36900286841294
LGALS2	4.07340056400285
SYNPO2L	2.91411856970978
KIAA1045	3.48850213484055
C1orf183	4.78762890515081
MAGEA8	2.87352925498304
DGCR8	4.45960634242981
GSR	4.33869055238728
NEU2	3.19221935807559
HIST1H4B	3.35370776486404
CACNA1C	3.08550082456376
FAM20B	6.25294386184532
HES2	2.98945487675813
PDCD6	9.10027830984538
INTS7	4.66845492128905
AMPH	4.12631723039705
UCKL1	5.82971547777792
ASB4	3.07259926579476
C10orf97	5.01955662568398
ALDH1L1	3.78641641195069
CCL23	3.19712743516198
OBSL1	4.50214358417149
SLC12A7	7.11155120506269
THAP4	5.49617099063523
RBM4B	5.69845319504366
OGFRL1	4.90263824371280
KIAA0831	5.54667701328544
C12orf11	6.50006515685084
PPP1R15A	4.41453853432925
KIAA0240	4.82410045757332
CD1B	3.05155995678221
FCGR2A	6.04877570577414
MDC1	4.78413438206547
MAN1A1	3.7259690468451
KRT9	3.37510984719962
HTR1A	3.27503267695123
OCEL1	5.43625848905564
ATP11B	4.81961058326187
NLGN4X	4.21683272676285
FBXO34	6.97212167255326
ALOX12	3.52926635000948
