Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B10_543602
Composite Element REF	Signal
CSPG4LYP1	3.7294783340794
KIAA0368	4.49698332532871
FBXO3	6.99880809796871
DVL1	4.79346916161349
CMKLR1	3.5555380592227
GPR157	3.71430359094366
TYMS	7.95997620489178
OR52A1	3.53287357984927
PEF1	6.55903591684534
ZNF750	3.03067639631559
ALG9	5.70773731926128
MCM5	4.56633989856034
SDK2	3.47472155540334
BAIAP3	4.09688723367853
RABGGTB	8.14811593782328
KCNK7	3.48508537663603
PTP4A3	4.72945603270671
ANKRD40	3.75868192319132
CALCOCO2	6.86118082839645
TMSL8	6.60009858567667
SNCA	4.48132878343197
ZNF551	3.40661920083303
HBQ1	3.63974697474377
ARHGAP26	4.25565073023937
GEMIN6	8.40872972379485
HRAS	4.74032943376106
KLRC4	2.83686959377507
BSDC1	4.77670921994903
DSC1	3.89610702803728
RNF43	4.42103533502863
NDUFAF1	5.87554126578066
MAP2K4	5.6778768206016
FOLR2	5.65528580760308
LYZL6	3.97188924288239
EPB41L3	3.24034545694775
TEKT2	3.85515372588993
CDKN2B	3.39599126977887
WSB1	5.85380143786113
ZNF480	3.82129665400966
MAP3K6	4.6620384347824
PROS1	5.60195221360552
PSMB8	9.54317735173455
HN1	7.7726646373854
MAS1	3.61948801043641
APOL1	4.8748851308668
CSHL1	3.38784155868559
ZBTB7C	3.13452784639224
AHCTF1	4.97952288566562
SAE2	9.05980818175314
ITGA2	4.80078962937667
AP2S1	9.15663985378494
P15RS	7.88693233866095
MME	3.41730489866671
VAT1	6.80728573423505
MAST4	4.67426447800138
TUFM	9.30337608373922
KRT33B	3.39358095816808
THEG	3.97367661124528
KCTD2	4.46217959657421
WDR26	8.42794795452546
MFI2	3.37632176068724
KRT34	3.1673161514298
NR4A3	3.63505193556983
SGSM3	4.43558862485753
ARSA	4.05044969111462
TOMM22	6.71404675099534
SOCS3	4.00593664855297
UNKL	3.77908750397836
POP4	9.19545601691789
BHLHB3	5.34693866163812
MALL	4.27501789515819
SOX15	3.63235582413046
CCNA2	5.99317543468158
PARK2	3.10449669879261
GPR124	3.97856602053920
TMEM132A	4.09599316314525
CGRRF1	7.14852173396355
RUVBL2	8.31691511319518
MCAT	5.17613098553981
WNT10B	3.61483316093492
ISCA1	8.01574256322989
RPAP1	3.48169548593666
C12orf48	5.4436415685895
RAI16	4.02864584093193
RPL27	9.4049645628079
EPN1	3.75993043280938
MAGI1	3.03308233589478
GBX2	3.37429116667674
SLC35A1	8.64836449473128
GAL	6.7895177253133
SLC14A2	3.8094496234593
RDH11	6.75391245151358
ZNF518	4.03608186459023
PCYT1B	3.3674228834906
AUH	8.65976403523416
EIF3H	9.88050557044708
KIF1B	5.10986906332996
MBD2	4.41212724219604
AMOTL2	4.55685180205907
C6orf120	6.61195403122414
PIGT	5.88708727135683
PSRC1	6.3277590277723
PLA2G10	3.71771166559854
ALAS1	6.75577145144285
FOXO1	5.03050212869453
C17orf62	5.67243958611132
KIF5C	5.74973125299462
DUSP10	4.23045558670587
CRLF3	6.60056675285647
CLCNKB	3.66678148717436
PSMA5	10.2620473751368
FARS2	6.10946356516413
CCDC28A	7.62847257386177
AMPD3	4.65112386390381
PIAS1	5.98782467974205
ADCYAP1R1	3.60721809555645
TMEM134	7.40325301693493
CDH20	3.18781900693095
FBXO7	5.93687494953235
FLJ14213	5.02311930316646
ZNF3	5.0149879005696
LRRFIP1	5.37168586164007
TMEM49	8.82167599908192
CNOT2	6.50828563325466
CBX2	2.82666727922677
ZC3H14	5.98963997645307
ALDH5A1	5.6506037891026
HNT	3.16247323459501
SERPINA4	3.45434586228882
FLJ20920	4.62487073851176
CRTAP	5.57990826000664
DDX50	8.28761755868323
STYXL1	8.04013383915867
TK2	4.75075400270076
BLVRB	8.49885942989543
STMN1	8.20708360045908
GUCA2A	3.9562065957615
DPP6	3.11706281957516
GALNT10	4.06289777220339
STK39	3.60548652628248
MMP24	4.29161701982545
CKS2	11.2446366132310
RHO	3.7522568025625
BANF1	9.87458631151522
CR1	2.89556483590901
RPS6KA2	5.03226807629988
HMBS	6.97697624115566
C20orf112	3.78819000481316
SLC25A24	8.01143679773225
MRPL22	9.5823136013856
SLC25A15	5.28743536677966
GADD45B	4.15370818773154
TDP1	5.45580416939287
ZNF287	3.93890833301947
DAAM2	4.36787101923519
C11orf57	5.848637075021
RFK	8.838118263911
ZFYVE9	3.9574276492935
TCTN3	7.34413902580816
STCH	6.38161225827025
LOC283871	3.77495431442063
NDUFB3	9.4631521489543
DEFB4	3.65436451791094
FPR1	4.09378247344842
FMNL1	3.83570319886501
SEPT7	9.7621315896389
PTCD2	4.20186920396966
GNLY	3.9478304233103
GRAMD1C	4.63282717287189
ZNF165	4.75423223961226
TR2IT1	3.82918123965216
ARMCX3	6.49738822474141
NDE1	4.88488093498639
MAGEF1	5.67794680380813
ITGA10	4.99341024822965
ARHGDIB	9.07680043192316
FSHB	3.70998554332095
ANXA2	10.7946916072058
HLCS	4.37904792421893
MCF2L	3.5935901307284
AK1	4.64622787502155
FH	6.71179141102877
LGALS2	4.14515132944464
SYNPO2L	2.72319502584923
KIAA1045	3.33565204276247
C1orf183	4.88904305099293
MAGEA8	3.08639234790354
DGCR8	3.95063909983735
GSR	5.11258156522483
NEU2	3.51388888078352
HIST1H4B	3.72508828277347
CACNA1C	3.39625395516177
FAM20B	5.55612735627525
HES2	3.64155843383411
PDCD6	9.29849865090039
INTS7	6.47535556072200
AMPH	5.05777660773063
UCKL1	6.88856759239633
ASB4	3.13525054385583
C10orf97	6.34817756964633
ALDH1L1	4.08556160564830
CCL23	3.33668483827404
OBSL1	4.48887179831343
SLC12A7	5.81098684605671
THAP4	5.51514144635722
RBM4B	4.84410299484041
OGFRL1	4.63811116729339
KIAA0831	5.82762869751538
C12orf11	8.10345606392421
PPP1R15A	4.27110805657295
KIAA0240	4.74100205042324
CD1B	3.44977321020185
FCGR2A	4.61210166296243
MDC1	4.19807613702543
MAN1A1	3.40436850102091
KRT9	3.46170225324242
HTR1A	3.58161654214893
OCEL1	6.33376014170328
ATP11B	4.57617984117366
NLGN4X	4.13935836763921
FBXO34	5.72458743867577
ALOX12	3.57360708834592
RB1CC1	6.29769477357625
PCDH12	4.13303839301491
RPE	6.1013438433118
