Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B03
Composite Element REF	Signal
HTR4	3.42629227166381
MRAS	5.30020563138215
TRAF6	5.20722498150676
AXL	5.36419411437027
ATP2C2	3.44252517339951
LMNB1	5.38620878815576
TELO2	4.14533234482162
PNPLA3	4.03292953962765
CSNK1E	6.03081343838279
SRP14	10.2371893876646
KCNQ4	3.18996929975702
PIK3C2B	6.18679161360456
C15orf15	6.84788746411042
TUBB2B	4.61201119530535
USP15	5.75767668142652
C12orf41	7.49532879550234
CEND1	3.77897916170811
RNF31	4.65854034420745
TCEAL2	3.54073915002785
PTGER2	4.17993747991995
UBN1	6.70550973771532
SLC5A7	3.29351472854712
SLC31A1	5.7648925416291
ADAM29	3.44163485386033
ST7L	3.94223483164615
GFOD1	6.64784649749777
CTNNA1	8.98255218746276
HRBL	3.68193346146086
CBX4	3.69539536348541
NTRK2	3.48450000985252
FOXN3	4.47820575909
MFGE8	6.98224195206615
PFKFB2	3.99573351532829
TAS2R4	3.55065086081993
SH3TC2	3.10636884672265
IL10	3.56152802252973
PXMP4	7.0930119299313
RNF167	6.4354603120889
PRMT5	6.4516582367405
TSKU	5.37081629139536
ATPIF1	8.25476942526776
ETV3	3.3195487833903
PAK7	3.61771933362975
PDLIM1	10.3569240725830
CEP63	5.79262727888805
WDFY3	5.05796132442472
RNF126	4.49716282079360
DPM1	9.1150269759674
CLIC4	6.71453837603222
ACR	3.59018783432926
KLK7	9.24082276967947
ALOX5AP	4.16862698057194
LRP1	5.26985191686558
TNK1	4.50747467919184
TAS2R9	3.10736395969653
ZNF16	6.37295085485522
POLR1B	5.73680550383281
SLC8A2	3.98345692078893
OLFM4	2.85429496013579
TACC1	4.71862369801383
SAMHD1	6.75596933867643
ATP13A2	6.37341281035307
KRT4	4.29661463208246
PAX6	5.07994777202073
SCG2	5.88360322081513
SLC17A6	3.53539380707912
TUBB4	3.95936498324008
PADI4	3.03147708327199
FMO3	3.45904194713882
NLK	5.28407880970052
POU4F3	2.95778142966275
MDM2	3.52384762834236
CAPNS1	10.5087744044329
SDF4	8.58239986302965
ITGBL1	3.97812842742344
TAP2	3.95852590040741
OR2C1	3.71265776528349
KLHDC3	6.77520063822309
EFHD2	6.51056716207365
GALR3	3.59092004484376
NBEA	3.16138395238071
ABCA6	3.23759918919396
ABBA-1	3.81486356951471
GNAI1	5.31542849169025
CLDN3	9.15954494173256
AKT2	3.5559873366702
EGFR	4.25086871147505
VPS4B	7.4347231509842
RBM16	7.6298316170228
GALNT6	6.90012275304104
ZDHHC3	5.98785399083874
SLC25A4	5.96190756133579
CYB5B	4.89829895164697
NDRG1	8.02956577444723
SESN1	4.84293131345775
GBE1	7.38097582814419
MRPL46	5.17824996742249
CLASP1	6.70894872525768
FARP2	5.10116940886508
ACOT11	4.89894507969064
LDHAL6B	2.97907022717655
MAPKAPK3	5.61438611538889
NCAM2	3.00195480572289
AFAP1	4.54684960758660
PRKD2	7.13902667332558
OR2H2	3.40817163461631
ZFP36L1	7.23697036090554
DZIP1	5.01407241678931
GPR161	4.16158462288201
RNF146	5.09732907761322
NKX3-1	3.94352821475325
CCNB2	7.20776594519892
ZNF10	4.39569729295663
WDR74	4.91875189055688
FAM134A	8.61364751286504
PCNP	9.55206454459397
PURA	5.3236877109594
DNPEP	7.05852061733033
ERBB2	6.10431448588116
CREB1	5.85259198956222
NEO1	6.72650620699709
DDX3Y	3.41887830120289
RPS3A	12.2793609164637
MXRA7	9.93596002490727
LGALS3	9.36528586030864
GLT8D1	7.64101074624625
TMPRSS3	8.4501801212818
UPB1	3.32674313223675
LAT	3.73415606902765
CLDN14	3.6713302805123
DHX38	4.73118725311376
KCNA3	3.11604105156835
BTBD1	7.89520655935226
TARS2	6.46476758481188
SKIV2L2	7.3279794940655
ABCF1	8.03514543338615
CDT1	2.83999193523800
ZHX2	8.26083685851895
FCF1	4.69788555348048
LRRC49	4.79471778051373
GUCY1B2	4.15506927599543
CD28	3.29024473422905
SMARCA4	6.85477604605175
SEPT2	9.7375054498774
SOHLH2	3.37764888558013
MCOLN3	5.52512874926104
LRP8	6.97907598552844
TAGLN3	4.06561795291433
MASP2	3.64524283155014
GPATCH3	4.95329594997079
TTRAP	7.66538558288656
AGL	5.95360483513386
NFE2L3	3.654564905334
PSD4	3.98295990104997
PALMD	5.65187472790668
CCNB1IP1	7.3975523036037
TMEM43	6.43495318058895
OBFC1	5.83380445475946
