Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B02_491104
Composite Element REF	Signal
FOXO1	7.1740614780915
C17orf62	6.31908662165665
KIF5C	5.348298483923
DUSP10	4.97512804494555
CRLF3	6.87931083258734
CLCNKB	3.37685760468654
PSMA5	9.60247551050585
FARS2	6.8200910994347
CCDC28A	6.24546696964837
AMPD3	4.33953090368514
PIAS1	6.81443988877695
ADCYAP1R1	3.84448108426917
TMEM134	7.34504133894191
CDH20	3.22815504256996
FBXO7	8.17233319349601
FLJ14213	5.74294105342967
ZNF3	6.56596330834383
LRRFIP1	7.0354158041039
TMEM49	7.70323825550345
CNOT2	7.77884454938518
CBX2	2.97568269123952
ZC3H14	6.60061835879264
ALDH5A1	6.06421186984733
HNT	3.15871075931428
SERPINA4	3.19779096217989
FLJ20920	4.56851968048265
CRTAP	4.7128400396753
DDX50	8.29827223416796
STYXL1	8.73321428562775
TK2	5.12908833910499
BLVRB	6.06191499635649
STMN1	8.10770955732082
GUCA2A	3.20428605629692
DPP6	2.93871185283601
GALNT10	4.08163426573998
STK39	3.43312006834430
MMP24	4.51675346838804
CKS2	10.6431130333497
RHO	3.7251341648431
BANF1	9.89062554540556
CR1	2.97317796218098
RPS6KA2	4.50751133616903
HMBS	6.50795030066883
C20orf112	3.65254260051720
SLC25A24	7.63288651041064
MRPL22	8.64460479422154
SLC25A15	6.36862635002921
GADD45B	4.01167241115823
TDP1	6.21525303284893
ZNF287	3.70198704943024
DAAM2	5.92708863504595
C11orf57	5.43897048936419
RFK	8.31147823555886
ZFYVE9	4.28365826658577
TCTN3	7.21704832171338
STCH	6.10992818895778
LOC283871	3.43058871163146
NDUFB3	7.71751389888595
DEFB4	3.74088792838549
FPR1	3.63137891321238
FMNL1	3.70949278479958
SEPT7	9.84614256406083
PTCD2	4.33140137336026
GNLY	3.44940082125266
GRAMD1C	5.79412906374629
ZNF165	5.93562764705753
TR2IT1	4.0787112865613
ARMCX3	6.89989852157885
NDE1	5.34828700087972
MAGEF1	8.27212941416919
ITGA10	3.77542491609499
ARHGDIB	7.12714058691918
FSHB	3.80697690380863
ANXA2	10.5535865253280
HLCS	3.93093580880586
MCF2L	3.51046563078793
AK1	5.52751399350813
FH	7.3638111264147
LGALS2	3.48033697572619
SYNPO2L	2.83547287153323
KIAA1045	3.52061808113398
C1orf183	4.59388232402268
MAGEA8	2.94340265792098
DGCR8	5.34877056052012
GSR	5.8802343553206
NEU2	3.42866481891051
HIST1H4B	3.7448200852362
CACNA1C	2.97784841342186
FAM20B	6.81213185699614
HES2	3.15903919149576
PDCD6	9.31242086882788
INTS7	6.18898899958382
AMPH	4.66886345711752
