Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A12_433732
Composite Element REF	Signal
HERC6	6.0628595738839
CASP1	6.66127500879643
USP9Y	3.15760197965472
LRP1B	3.08999188413837
XAF1	6.74098784997614
PLA2G4C	4.38198197181572
APOA2	3.46171748871567
SPAG6	3.1779064203921
KALRN	3.34228902354575
SECTM1	6.18380163933705
THOC7	10.1480561838179
IFNAR1	5.1358536110062
TCTA	5.89036865892129
NY-REN-7	4.53245509536821
TALDO1	8.54872315167622
B2M	12.1114388154959
LPPR4	4.47308204588096
SQLE	6.5653471007036
SEPHS1	7.40283967497893
EIF5A	6.36257634718326
FAM49A	4.24072481626732
YTHDC2	4.3337477235766
EHD2	4.55861794791980
NCF1	4.61415063068043
SPG7	5.35912660677522
ZNF614	3.62829233946193
HOXA5	3.61254210539162
NUP133	7.23623876607914
FGF12	4.09983143046177
SLMO2	7.97268825474707
INPP5B	4.66351456459356
PPID	6.31477351651849
SNTA1	4.03498832321382
IL20RA	5.37621417048502
UBE2J1	5.87135838411299
CACNG2	3.27350665276360
GCM1	3.72700586601382
ELF1	6.59201966097658
TLR5	5.26695234924429
TCFL5	7.5360798716121
C1orf107	5.31359096065531
C19orf22	5.99502948993672
SAFB2	5.27341644295363
MAP3K7IP1	4.1684750325754
NCK2	7.57220326258524
OXA1L	7.96054589696618
KIAA0652	5.67386911170905
KLRG1	3.82191515514618
FRAG1	5.6205440377788
ZSCAN12	3.09901802757108
PSMD12	6.66174983288958
E2F4	4.97958149669108
CLEC4M	3.64159635738900
KIAA0999	4.88116092886492
CLDN10	4.54597135170544
MGC13053	4.43068747379974
TAC1	3.02212919779623
GYPA	3.55559410954266
HPCAL4	3.75490177028321
TRAIP	4.09333986423336
MEX3D	3.84595044831076
KIAA0232	5.87542896205179
ERCC8	4.44487738742986
NFAT5	5.33154529615814
GPX4	8.32553151185699
CSPG4LYP1	3.57547704141983
KIAA0368	6.37905731359597
FBXO3	5.91484805442173
DVL1	5.40848718172372
CMKLR1	4.19661143099639
GPR157	3.29206713528047
TYMS	8.82299271421073
OR52A1	3.33432102935223
PEF1	6.50352794512463
ZNF750	3.56405875662871
ALG9	5.54109909743794
MCM5	5.94920805548384
SDK2	3.57137283412422
BAIAP3	3.88763098506866
RABGGTB	6.95853696277127
KCNK7	3.41365904493972
PTP4A3	5.18389899274336
ANKRD40	3.98222932884327
CALCOCO2	6.76431926810458
TMSL8	3.64141091936436
SNCA	4.1389887203854
ZNF551	4.4884629076933
HBQ1	3.74715506427104
ARHGAP26	5.99711934027919
GEMIN6	6.49663450653069
HRAS	4.78952946607739
KLRC4	2.90857669095634
BSDC1	5.30425285255691
DSC1	3.7501475770264
RNF43	5.61226413043221
NDUFAF1	5.53259706081132
MAP2K4	4.90005234461332
FOLR2	5.03818925305498
LYZL6	3.85540707349108
EPB41L3	4.54822456185234
TEKT2	3.38919936802083
CDKN2B	3.79564058176021
WSB1	5.88747118350812
ZNF480	3.69540258548736
MAP3K6	4.07156105292764
PROS1	3.71893426794714
PSMB8	8.70623377863145
HN1	7.07270278435208
MAS1	3.29236671294721
APOL1	5.22831478047317
CSHL1	3.62617902534958
ZBTB7C	3.2630561041484
AHCTF1	6.22892684747726
SAE2	9.66637301146
ITGA2	4.05256473422342
AP2S1	9.21519762555232
P15RS	6.62481118189426
MME	3.57813828099896
VAT1	6.46896081287856
MAST4	6.61626546916564
TUFM	8.92225782235557
KRT33B	3.70022517367653
THEG	4.10752519568020
KCTD2	5.22215678586263
WDR26	7.75632888826057
MFI2	3.72506976306671
KRT34	3.3260539009926
NR4A3	3.9429869188574
SGSM3	4.46963138471964
ARSA	4.51286521722642
TOMM22	4.5338065296024
SOCS3	3.74610227916453
UNKL	4.24349841411496
POP4	8.58436146816013
BHLHB3	9.17991364458278
MALL	4.00497272557296
SOX15	3.6392806422184
CCNA2	5.28273354480026
PARK2	3.37012012456633
GPR124	4.46959760270905
TMEM132A	3.96949007571372
CGRRF1	4.65591662918156
RUVBL2	8.77645753103787
MCAT	5.42885506236923
WNT10B	3.98893695649278
ISCA1	5.76689937997703
RPAP1	5.06284640181508
C12orf48	5.7176838481225
RAI16	4.74049671662646
RPL27	9.62248119186966
EPN1	3.83874286706094
MAGI1	4.01911169007668
GBX2	3.47490000583859
SLC35A1	7.34818202811804
GAL	3.80519684287273
SLC14A2	3.38766830831082
RDH11	6.03655915858371
ZNF518	4.30926817069539
PCYT1B	3.46878759121178
AUH	6.27662836177796
EIF3H	11.3696386111252
KIF1B	5.36787808272355
MBD2	4.9164045147054
AMOTL2	6.20655355892132
C6orf120	6.89297047600912
PIGT	6.74307710532732
PSRC1	6.05478778550437
PLA2G10	3.96279144712569
ALAS1	7.00733102079043
FOXO1	6.36695433816665
C17orf62	7.24490440532004
KIF5C	4.58464223347944
DUSP10	4.55009702713517
CRLF3	6.99528720947642
CLCNKB	3.68975148131887
PSMA5	9.74610279185518
FARS2	5.41498027091673
CCDC28A	6.29136127370787
AMPD3	5.17203036661383
PIAS1	7.5081690677642
ADCYAP1R1	3.58303282664377
TMEM134	5.26763782249908
CDH20	3.08985469405455
FBXO7	6.36758685174046
FLJ14213	4.33786767323904
ZNF3	5.35147631215242
LRRFIP1	8.00919287480966
TMEM49	7.89911643403644
CNOT2	7.16232094441577
CBX2	3.19354611458964
ZC3H14	6.23124506235064
ALDH5A1	6.0503865821778
HNT	4.21650549950112
SERPINA4	3.42216950431782
FLJ20920	4.8047948276690
CRTAP	5.29802535888147
DDX50	7.88962882267112
STYXL1	7.22434796312962
TK2	4.54402050797921
BLVRB	7.28091898391215
STMN1	6.8815550092364
GUCA2A	3.91099838355897
DPP6	3.23405973895251
GALNT10	4.43766649062302
STK39	5.3896535251724
MMP24	4.3746555978979
CKS2	9.42076414768064
RHO	4.04451418952169
BANF1	9.69258102411284
CR1	3.24647401689295
RPS6KA2	5.79929723614957
HMBS	5.81731452415953
C20orf112	4.28238982064416
SLC25A24	7.69468265022866
MRPL22	7.97320476906113
SLC25A15	4.64167396527756
GADD45B	4.90676905608252
TDP1	5.96391427949244
ZNF287	3.77857187834692
DAAM2	4.27119228288501
C11orf57	5.63579338861235
RFK	6.66541410193793
ZFYVE9	4.38054759828042
TCTN3	6.48561167210886
STCH	5.59946784558213
LOC283871	3.76418702754031
NDUFB3	8.15832415491715
DEFB4	3.76716971855025
FPR1	4.24195071945181
FMNL1	4.00312635039877
SEPT7	10.1728733618463
PTCD2	4.55994918945797
GNLY	3.8285938333264
GRAMD1C	4.84910410718313
ZNF165	4.70714255922195
TR2IT1	3.93035303766977
ARMCX3	5.41856527627187
NDE1	5.784660403279
MAGEF1	6.80136576657073
ITGA10	3.82536779417990
ARHGDIB	9.14453362234558
FSHB	4.02942726572631
ANXA2	11.3336448264147
HLCS	4.51065299329449
MCF2L	4.04320338308099
AK1	5.19910077188677
FH	5.90708393701432
LGALS2	5.2285509781021
SYNPO2L	3.00801427607256
KIAA1045	3.64363603518473
C1orf183	4.83180223934724
MAGEA8	3.37303398854658
DGCR8	4.82911357473195
GSR	4.74440098885546
NEU2	3.71899539177235
HIST1H4B	3.65764533420716
CACNA1C	3.27214422558698
FAM20B	6.17452237025772
HES2	3.47292555117241
PDCD6	7.84718622013752
INTS7	5.81811686328656
AMPH	3.80724769917490
UCKL1	6.32522515317665
ASB4	3.24476260507765
C10orf97	5.55845785009477
ALDH1L1	3.67007594103684
CCL23	3.42039460337751
OBSL1	4.36836684542872
SLC12A7	6.39590121388007
THAP4	6.05005820508009
RBM4B	5.02262602848419
OGFRL1	5.05469936633367
KIAA0831	4.55793784751766
C12orf11	8.61474612146888
PPP1R15A	4.61577487289732
KIAA0240	5.51773906171468
CD1B	3.58496192744554
FCGR2A	6.0071900184842
MDC1	5.17474773315814
MAN1A1	3.58046031521602
KRT9	3.62430418193116
HTR1A	3.12540905589593
OCEL1	4.85230671132621
ATP11B	5.53633959648297
NLGN4X	3.70886970805751
FBXO34	6.25087405916907
ALOX12	3.8259956124593
RB1CC1	7.50331271967028
PCDH12	4.79139731874145
RPE	5.95879261249227
EIF4E	5.51785017210162
CSDC2	3.99682316696994
ABHD5	5.00499654870806
TMBIM1	7.24305468274627
PET112L	4.952758396063
P2RXL1	3.32333986302489
F2RL2	3.3773237396688
TRMT1	5.610071077181
IMPG2	3.93775463861841
LRRC32	4.79859974974747
BGLAP	5.45515549006198
HTR4	3.57632033698124
MRAS	4.43907400737828
TRAF6	4.72010572272038
AXL	5.41266028943181
ATP2C2	3.57191509084180
LMNB1	6.60657769778608
TELO2	4.38052500767305
PNPLA3	3.86729052433996
CSNK1E	5.50644245743629
SRP14	9.8290274159486
KCNQ4	3.67833439125134
PIK3C2B	6.81020848425199
C15orf15	8.83201160942377
TUBB2B	3.200518952995
