Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_A11
Composite Element REF	Signal
CHMP2B	7.80436167957187
CAMSAP1	4.75270679646591
RPS21	10.1562128765030
XCR1	3.07307231608421
ARID5A	4.48067385766347
RBM6	6.44791459025243
UBE2N	8.05537048793131
KLF4	5.06500254917489
MGC4172	5.76121114541275
LMO4	6.074054875345
KLKB1	3.13617508117557
HDAC3	6.9860435639214
HP	6.03345795429035
SCHIP1	6.91374387540937
BTK	4.15177174103238
KRCC1	8.58492053634403
PRND	3.81303497574405
C6orf27	3.31108639883990
PIGL	3.8700786061594
CLCA1	3.43397797476775
C1orf112	5.37621668808143
OLFML2A	7.83740253295846
HUS1	4.97508771303053
SFRS6	8.67077368717582
CXCR7	6.63648268552751
UIMC1	7.08234463392699
FXYD2	3.3490792515438
GOT2	8.48855361885274
ZNF667	5.00459098759198
TFEC	4.35524475418846
ATP7B	4.19142283859696
RAB38	6.66551494425237
POLD2	7.4208301828337
PPM1H	5.82060183773347
DCX	3.13372296130975
NFYC	5.37372808739068
ZNF228	5.52588767867944
KIN	6.61614709947213
PLSCR4	7.27665192939893
HIST1H4I	4.12835515231699
PPARGC1A	3.1635656872605
HIG2	7.96530412826915
KCNK10	3.84617164708422
EXOC1	7.92334743597722
OR6A2	3.69876315707048
ETFA	8.96894797973856
PDAP1	5.07261627409295
C19orf6	3.58061707004703
POLRMT	4.47368135158175
ZNF146	8.02554090933314
MIA2	3.12727474934724
LY6G6E	3.17275802084231
EIF4E2	7.8733022598252
NENF	5.22379978119968
HOXB5	5.0431529757556
ZNF324	4.81570977623559
CUGBP1	4.52871020501652
ENTPD7	4.69015584368759
TTC13	6.5284235862577
GJB5	3.27367496292767
PRSS22	4.37574767680492
CYP3A5	5.69807023375302
MBOAT5	4.82836275550723
CUL4B	5.88611890155708
CENPJ	3.77448426297235
KIAA0664	6.30387520927682
PITX1	3.32327374731447
PDGFRB	7.0598939785377
RDX	6.45097799852526
CELSR3	3.92409003523847
JUND	6.40494027303689
ITSN1	5.60248208024979
CHRNB1	3.81576927937293
EHBP1L1	3.91179389478008
C19orf2	7.61265188568456
FETUB	3.03291928539331
CAMK2B	3.02051102641509
DCTN1	6.35665573861167
TNKS2	7.24470396508003
MRTO4	7.0614199785728
C1QBP	6.5805453076601
TTC3	8.30855442965304
NDUFB8	9.08824508950102
CADPS2	4.75828818695874
EDG2	5.43781377942061
MYF5	2.91166070008563
SEMA3G	3.144446646115
IL23A	3.60629665060471
GJA9	3.57649172795348
R3HDM2	7.5403571174552
C5	6.28569979753259
SLC2A10	7.73032926284995
TRIM45	4.17394562224816
TSP50	3.59213979865943
PAQR3	5.33397491744391
ANKRD26	3.53965758552298
TCP1	9.05949101934832
TMED7	7.50257325933033
CMA1	2.92074191751326
PTCRA	4.09950464754708
HCRTR1	3.13947235043199
FST	7.50299698139845
PAWR	4.3693519957406
LDLR	5.03249257739007
ASTN2	4.03978923363307
SCRN1	7.53717312788373
GPATCH8	7.04159782921816
KIF4A	5.82745038236782
TANC2	3.95119123120268
ZMYM5	4.17424713292343
PGM1	9.3786052316966
ZNF586	6.71442706750801
POLR3G	4.0688832188149
CPD	6.54283551244966
SNCAIP	5.15594971408406
DCT	3.3409893774264
HLA-DOA	3.46267188261876
TANK	7.04704900506023
RCAN1	4.65880322690055
UPK1B	7.74019034259224
DNAJB4	5.28894237250561
