Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F07_516320
Composite Element REF	Signal
BHLHB3	6.46089579235028
MALL	7.03530991074675
SOX15	3.09881601039795
CCNA2	6.547425165103
PARK2	3.27554525563600
GPR124	4.62019084646756
TMEM132A	4.73342046319502
CGRRF1	6.54029089291788
RUVBL2	9.3070843242675
MCAT	5.92999075099184
WNT10B	3.67494846015489
ISCA1	6.57883264699002
RPAP1	4.81552724555485
C12orf48	4.87511919093245
RAI16	4.89121011867374
RPL27	9.22367312346784
EPN1	3.64464307781908
MAGI1	3.02427971237656
GBX2	3.09287696186355
SLC35A1	7.9896844072393
GAL	4.19859086834432
SLC14A2	3.52213921246613
RDH11	7.54137186475248
ZNF518	4.07883651347337
PCYT1B	3.54724593121570
AUH	6.69230400301933
EIF3H	10.6485806377291
KIF1B	6.43068772899038
MBD2	4.49809064994358
AMOTL2	8.22536897262612
C6orf120	7.27146388280817
PIGT	8.00606321626147
PSRC1	6.89847010596547
PLA2G10	3.7312228923527
ALAS1	6.9144235473998
FOXO1	4.56535430661319
C17orf62	7.12455852286743
KIF5C	5.32620480563684
DUSP10	4.4901288766749
CRLF3	6.86674154120289
CLCNKB	3.86477302788878
PSMA5	9.44368987350331
FARS2	4.92495499728813
CCDC28A	6.57399301082662
AMPD3	4.13966500771852
PIAS1	6.13306474063592
ADCYAP1R1	3.07674596660190
TMEM134	6.65103449623391
CDH20	3.05402031196239
FBXO7	7.3015376402982
FLJ14213	4.06414672802099
ZNF3	5.25739733880149
LRRFIP1	5.74900262697392
TMEM49	9.17526963536285
CNOT2	7.231227920355
CBX2	2.9299878624415
ZC3H14	6.43763157081506
ALDH5A1	5.22574802496617
HNT	3.45509401846217
SERPINA4	3.509350127164
FLJ20920	6.0331692326034
CRTAP	4.30915573930433
DDX50	8.53799480690489
STYXL1	7.24928304109816
TK2	4.52041678104149
BLVRB	7.10925375801135
STMN1	7.2205495563198
GUCA2A	3.03159167122388
DPP6	3.17448244428818
GALNT10	4.35357613129422
STK39	6.29950346197173
MMP24	4.07272387963989
CKS2	10.3696931853998
RHO	3.64126724914580
BANF1	10.4492627723866
CR1	3.0178137714454
RPS6KA2	5.19258524823715
HMBS	7.32276602614819
C20orf112	3.49471815582242
SLC25A24	7.56867646250244
MRPL22	7.96769803748203
SLC25A15	4.83887508204431
GADD45B	4.85670619481965
TDP1	6.14859217413304
ZNF287	3.67939988121117
DAAM2	4.27651548741248
C11orf57	7.32531616167372
RFK	7.26576625587753
ZFYVE9	4.17208654091803
TCTN3	7.01683718579468
STCH	6.55620373551092
LOC283871	3.59247163700639
NDUFB3	8.32203348200652
DEFB4	3.27286011934448
FPR1	3.33628916374546
FMNL1	4.13893842729692
SEPT7	10.0752282644399
PTCD2	4.32193703795749
GNLY	3.55673371707092
GRAMD1C	4.49152639931713
ZNF165	4.65238591951419
TR2IT1	4.24800904901945
ARMCX3	7.28060569273374
NDE1	5.41604857487267
MAGEF1	7.7228821416236
ITGA10	3.88077776199069
ARHGDIB	7.45704565450507
FSHB	3.54304338777118
ANXA2	11.1808439931018
HLCS	4.32219182337412
MCF2L	4.26321775635199
AK1	7.03831955428414
FH	6.84930019461461
LGALS2	3.52177713815133
SYNPO2L	2.9012415462031
KIAA1045	3.34521396289111
C1orf183	4.72128123430586
MAGEA8	3.05069877838619
DGCR8	4.54662697355961
GSR	4.84859849107899
NEU2	3.06028296994229
HIST1H4B	3.77843181366566
CACNA1C	3.11406875952364
FAM20B	6.16673498267612
HES2	3.48273017568644
PDCD6	9.21043502462338
INTS7	6.67234570168939
AMPH	4.47713124693195
UCKL1	6.3629711636053
ASB4	3.06741187493159
C10orf97	4.95390628520061
ALDH1L1	4.38735185578256
CCL23	3.15127611162824
OBSL1	4.88086209918889
SLC12A7	6.81581412494326
THAP4	5.97492374912516
RBM4B	6.48724510989615
OGFRL1	4.26853543273691
KIAA0831	6.14414537842122
C12orf11	6.94218748311726
PPP1R15A	4.65013021338750
KIAA0240	4.05018710656992
CD1B	3.09556121129134
FCGR2A	4.39449749755039
MDC1	4.63939624579513
MAN1A1	3.19365965522355
KRT9	4.79306594898013
HTR1A	3.41746754422837
OCEL1	7.31194353336237
ATP11B	5.62453143365027
NLGN4X	5.32875914554954
FBXO34	7.5660489267832
ALOX12	3.61649825326411
RB1CC1	7.73564361156288
PCDH12	4.24832283833812
RPE	4.64882965575608
EIF4E	6.19698716151392
CSDC2	4.10094556318271
ABHD5	5.0940918646513
TMBIM1	6.01436907195692
PET112L	4.59211196137839
P2RXL1	3.24521176065792
F2RL2	3.05026816243329
TRMT1	5.34443028731311
IMPG2	3.50576455812597
LRRC32	5.29081829526504
BGLAP	4.95491938832211
HTR4	3.18958962558687
MRAS	4.95728354416391
TRAF6	4.75601445275876
AXL	4.24057634522175
ATP2C2	3.9536507448505
LMNB1	5.80969621115086
TELO2	4.06995399869794
PNPLA3	3.47646575975584
CSNK1E	5.30643820459327
SRP14	10.4975344138796
KCNQ4	3.06498183390554
PIK3C2B	5.86387763532088
C15orf15	7.8702247277334
TUBB2B	3.71684133106259
USP15	5.73852514951291
C12orf41	8.10770077872928
CEND1	3.68503704431796
RNF31	5.04553671559169
TCEAL2	5.08981995009027
PTGER2	4.65675871393915
UBN1	5.3676423034519
SLC5A7	3.06281347111687
SLC31A1	5.53713745392715
