Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C03_543702
Composite Element REF	Signal
IL24	3.26602443395935
BDKRB1	3.40501080316679
HPCA	3.36975534431479
MLF1	7.55552097455853
SEC14L1	6.31457176629413
CHFR	5.54863967340931
EMILIN1	4.0635440266484
THADA	6.49552289158864
TAF12	6.45596767283236
NDUFS4	8.93290514796518
ID1	7.82823616030587
PIK3CB	4.83252084992684
COL18A1	7.33594951899049
PDZD3	3.21460460459962
TBC1D17	4.87072169375964
COX8A	10.2780915215254
CDCA4	7.05035104066666
C2orf44	4.4805761169988
C9orf16	7.26876056888173
ERBB2IP	8.63008822593675
EMX2	7.64570900000429
FUS	5.988924218406
NIPSNAP3B	4.3991189536065
TF	3.41149844559871
CXorf56	4.91880156098778
CLCN4	3.56701767585365
PWP2	6.52662674925096
MMP15	3.47632496091826
MTMR14	6.2838186157565
NPR1	7.65838780016983
DNAL4	5.41770858135962
ELAC2	4.53794695264188
ASS1	11.1890043879013
IPP	5.73161258727727
TMEM59	9.49469264586345
POLR2J	8.28567934008198
SEC23IP	5.88312195612326
RGS4	4.72322992547719
UQCRC1	9.2605684187042
SNX6	7.24074388350034
DDX18	7.25213743819947
POLG	4.87718413764399
ADAM23	3.9078821589861
ZNHIT2	4.37856779433987
TFR2	3.53310131755103
NCDN	4.42989374011675
RAG1	3.22535661534394
POMT1	4.40011787116888
CYP1A1	3.37921203115019
SNAPC1	5.54628477306065
GNA11	5.35579453030307
CCDC52	3.24098023804533
CAPN1	7.50988528038936
DDHD2	7.21761016730135
UPF3A	7.01460999552905
LAGE3	6.07421497628351
GNRHR	3.14207947163041
UNC13B	5.35141834834486
TTLL4	4.86048033438484
PPBP	3.03214630978572
HTR3A	5.59379788578464
SDC2	5.27171392042626
ANKRD49	7.09093473316023
BTF3	11.1418876041434
COX7A2	10.5454454140935
SARS	8.7236234515015
C13orf18	3.73667876738705
CACNB1	3.86506708816771
QKI	6.0134136651038
SETMAR	6.07888568934026
LAMB4	3.30982048409608
MAN2B1	7.06613108174304
EML3	5.23891752550482
ACADL	3.16233293151123
OFD1	8.79287407824804
CGA	3.66473122486321
EIF3EIP	10.9116706649736
PEX16	5.43137798206505
GNG12	8.36841254187328
HABP4	4.70812140792902
CNTN2	3.40269943957128
ASNSD1	7.01037187749131
FUT4	3.87431989179695
DBH	3.38344577217987
CD53	7.90336040639449
HIST1H2BJ	3.7615473774918
TFAP2B	3.1951643147578
ACF	3.66904107352991
TMEM11	6.03662103088774
CDH8	3.24105343606409
C3orf32	6.97700262806083
AGPS	5.93037559860406
C4orf18	3.61171263429048
PCCB	7.35001707255617
IPO13	4.40211597639884
PECI	6.49542468784448
UNG	7.59962402426726
C6orf105	3.95905520581252
GSTP1	9.35671590992912
SUV420H1	7.98689187699011
ARHGAP15	4.45042620146485
LTBR	6.74905942023622
TDRKH	3.59200802317667
PSG4	3.47308291318359
SLC9A3R1	7.85712951280781
NBPF3	9.19425337981829
SLC9A3	3.37721635658003
OSBP	6.6897062726818
PRR5	4.35150556277116
CHMP7	5.79629018262112
ADRA1A	3.01672379989750
ASAH1	7.28654112339539
FKBP4	7.48954579809732
ZNF350	4.06416432976407
DOM3Z	4.79631355408383
GIPR	3.67950597888706
AHI1	5.11684174374363
BST1	3.96056710691208
NCR2	3.48578227151963
NADSYN1	5.48255749171097
UBE2W	6.5159291001945
RGS14	4.35337663912752
KRT15	5.85557854508109
SCN11A	3.88886120820962
GFI1	3.53800984987252
FHL1	7.0702716542007
SMC6	6.42688216027748
GATA1	3.44125617811926
OSGEP	4.16436008361157
ARMC6	5.0109907158927
HK3	3.52946081905168
PSMD5	6.32628683626639
RSU1	7.47006948561324
