Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A06_458806
Composite Element REF	Signal
OXA1L	8.26499888676171
KIAA0652	5.75786281482381
KLRG1	3.65818500058611
FRAG1	6.09722715037281
ZSCAN12	3.31360798172707
PSMD12	6.53619621990414
E2F4	4.92870685240149
CLEC4M	3.55265619990283
KIAA0999	4.56044665991331
CLDN10	8.01870023162131
MGC13053	4.01358557940784
TAC1	2.788817982355
GYPA	3.29701041857877
HPCAL4	3.2234010663062
TRAIP	4.25465756651894
MEX3D	4.36951627738511
KIAA0232	6.40300565029542
ERCC8	5.01648101871499
NFAT5	4.73813608029552
GPX4	9.20825088253597
CSPG4LYP1	3.27808570644829
KIAA0368	6.05406470869569
FBXO3	5.73305236437371
DVL1	6.66622010127886
CMKLR1	3.56360930972952
GPR157	3.46466302775434
TYMS	8.43575875838336
OR52A1	2.96717057455536
PEF1	6.84269082138893
ZNF750	3.32767858823783
ALG9	6.1788231743847
MCM5	5.14718566760993
SDK2	3.730855164978
BAIAP3	3.88545201365796
RABGGTB	7.27318875904406
KCNK7	3.27013189832619
PTP4A3	6.12045495287135
ANKRD40	3.67032765266723
CALCOCO2	6.74406176318583
TMSL8	5.57684943812369
SNCA	4.22081137872818
ZNF551	4.4020250004619
HBQ1	3.32662451190986
ARHGAP26	3.7480508281253
GEMIN6	7.00384607632047
HRAS	4.68697118194633
KLRC4	2.67705364503413
BSDC1	5.63407319223325
DSC1	3.88646669646344
RNF43	5.1783068120072
NDUFAF1	6.15874280476993
MAP2K4	5.80639208764796
FOLR2	4.66909115264666
LYZL6	3.50413462556486
EPB41L3	3.57465369226809
TEKT2	4.07294936736023
CDKN2B	3.44203115378304
WSB1	6.91373867190454
ZNF480	3.72129281350673
MAP3K6	3.95311581044005
PROS1	7.2213820872437
PSMB8	7.3241107602202
HN1	7.41212362326296
MAS1	3.46227846668409
APOL1	4.5409611577632
CSHL1	3.21260176547198
ZBTB7C	2.85347128217007
AHCTF1	5.39671974470681
SAE2	8.98223263700891
ITGA2	4.22563580525663
AP2S1	8.54667336338765
P15RS	7.64074140220264
MME	3.51083707257451
VAT1	6.42851863765188
MAST4	4.59228833113701
TUFM	8.68291027540656
KRT33B	3.49244930194103
THEG	3.80564233463333
KCTD2	5.29836691676612
WDR26	8.658246573597
MFI2	3.19397346212386
KRT34	3.15114478233393
NR4A3	3.37555228776031
SGSM3	4.36833393776314
ARSA	3.61764939329493
TOMM22	5.68146137455856
SOCS3	3.44799439718327
UNKL	4.47127171670901
POP4	8.25536446602944
BHLHB3	9.40066110559603
MALL	3.52380372844941
SOX15	3.46163319207151
CCNA2	5.60981257318155
PARK2	3.28144489962065
GPR124	4.33514593333194
TMEM132A	4.89763194808364
CGRRF1	6.57433782726326
RUVBL2	7.78271002701494
MCAT	5.71789989006436
WNT10B	3.40913127966955
ISCA1	6.91786818065758
RPAP1	4.34598029918747
C12orf48	5.78320059156042
RAI16	4.94524056298426
RPL27	9.40354519827644
EPN1	3.65502108171436
MAGI1	3.80194492906676
GBX2	3.45235097518293
SLC35A1	7.75461434237659
GAL	4.40465188193861
SLC14A2	3.3178706208903
RDH11	7.71003926758902
ZNF518	4.88681198929926
PCYT1B	3.15477500774562
AUH	7.58245281203011
EIF3H	11.0361627104502
KIF1B	6.60516784388645
MBD2	4.32056824091752
AMOTL2	7.26892886268296
C6orf120	6.48253004253233
PIGT	7.96149985933003
PSRC1	5.92040210728185
PLA2G10	3.60399707956365
ALAS1	7.01941749199451
FOXO1	5.37517402739347
C17orf62	6.25774203401263
KIF5C	8.19929985954998
DUSP10	4.01020521522044
CRLF3	6.80224201727239
