Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_E05_543642
Composite Element REF	Signal
KRT4	3.58324348497057
PAX6	3.62134306988635
SCG2	3.50578442251419
SLC17A6	3.38641458086390
TUBB4	3.46870084830112
PADI4	3.17787723032509
FMO3	3.17846547862219
NLK	3.80690317575901
POU4F3	3.18413228109287
MDM2	3.41205524957125
CAPNS1	10.2911739319881
SDF4	7.45364177438673
ITGBL1	4.46146858086906
TAP2	4.04769257948585
OR2C1	3.5142263281244
KLHDC3	7.35182296798544
EFHD2	6.3740206028583
GALR3	3.6248622624391
NBEA	4.05104045615892
ABCA6	3.79357632199388
ABBA-1	3.59089024287376
GNAI1	5.0807367065204
CLDN3	8.9696890830089
AKT2	3.25524271088805
EGFR	5.06459279193785
VPS4B	7.88578163349166
RBM16	7.47433165970067
GALNT6	5.50868471408946
ZDHHC3	6.02766390903117
SLC25A4	6.40196070213367
CYB5B	5.84293869635192
NDRG1	8.8645019558549
SESN1	5.65393469463452
GBE1	7.78864884263724
MRPL46	5.89320273167312
CLASP1	6.44729603140618
FARP2	4.47272033523669
ACOT11	4.29175471049744
LDHAL6B	3.00452361157940
MAPKAPK3	6.29469954765665
NCAM2	2.82982007625039
AFAP1	4.80951154418838
PRKD2	5.80759901849495
OR2H2	3.19567813364035
ZFP36L1	6.97549999028291
DZIP1	4.51094980199271
GPR161	5.37918518818299
RNF146	5.23056904453716
NKX3-1	3.75614245501432
CCNB2	7.33415350900615
ZNF10	3.81998735188656
WDR74	5.39328544216619
FAM134A	8.19265943842227
PCNP	8.48123872566607
PURA	5.51895636474411
DNPEP	7.24849425692745
ERBB2	5.47168054729774
CREB1	6.34625536091597
NEO1	5.50090094637671
DDX3Y	3.32000197987095
RPS3A	12.7108748376640
MXRA7	9.66916740368674
LGALS3	11.2785094365463
GLT8D1	7.50160360738727
TMPRSS3	5.29084613086645
UPB1	3.32268200739364
LAT	4.19712068433624
CLDN14	3.33765878395812
DHX38	4.84634106317359
KCNA3	3.36448576379449
BTBD1	8.12993557789583
