Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F02_298040
Composite Element REF	Signal
SPAG6	3.30206000037709
KALRN	3.66243053647937
SECTM1	6.17823400797865
THOC7	8.13034086284087
IFNAR1	3.83426666662107
TCTA	6.68556902228812
NY-REN-7	3.42862916942725
TALDO1	9.54318112851181
B2M	11.1836358357558
LPPR4	4.03363236931433
SQLE	6.12473031007097
SEPHS1	7.04903588754677
EIF5A	5.93766584085629
FAM49A	4.50392591843868
YTHDC2	4.02173045802092
EHD2	4.69113605588388
NCF1	3.96078908563585
SPG7	6.25495045661809
ZNF614	3.48939487695186
HOXA5	5.02139515352199
NUP133	6.31580906458526
FGF12	3.55110189731472
SLMO2	6.62798989560179
INPP5B	4.63123313006719
PPID	4.51622542677198
SNTA1	4.8479415461884
IL20RA	4.13909695391178
UBE2J1	5.4069601221116
CACNG2	3.2258049404078
GCM1	3.35602970059827
ELF1	6.63698487143679
TLR5	5.9771151601721
TCFL5	5.77489541559631
C1orf107	5.07173910404808
C19orf22	7.30823194336484
SAFB2	6.46029727588841
MAP3K7IP1	4.54022963251427
NCK2	7.79536601319794
OXA1L	8.08240554812533
KIAA0652	5.21429895989231
KLRG1	3.55636174464631
FRAG1	5.96039149683826
ZSCAN12	3.07101776301892
PSMD12	6.43376727019408
E2F4	6.08734062722559
CLEC4M	3.65374897748376
KIAA0999	4.63064640661135
CLDN10	5.00008272128348
MGC13053	4.20504820470366
TAC1	2.74289604250012
GYPA	3.52263552461275
HPCAL4	3.1916791580677
TRAIP	4.42831147957536
MEX3D	3.98831135757712
KIAA0232	7.04873812932111
ERCC8	4.15728679138464
NFAT5	6.6619188703813
GPX4	9.34122127145755
CSPG4LYP1	3.61376406481505
KIAA0368	5.63961395727553
FBXO3	4.64126316927604
DVL1	7.3911413028656
CMKLR1	3.97095028780463
GPR157	3.93202195516053
TYMS	5.55264130888075
OR52A1	3.18572402324171
PEF1	7.24402086577179
ZNF750	3.67858155016300
ALG9	5.84663134884165
MCM5	6.19272068383415
SDK2	3.65354235408997
BAIAP3	4.15301432371481
RABGGTB	6.23046775379965
KCNK7	3.80208105277069
PTP4A3	4.57802872285115
ANKRD40	4.38803542195677
CALCOCO2	6.8934362461223
TMSL8	3.97067475672323
SNCA	4.18769534159007
ZNF551	4.30438836770588
HBQ1	3.50367521168532
ARHGAP26	4.68919523127626
GEMIN6	7.20153213358399
HRAS	6.14699075030348
KLRC4	2.95603027677012
BSDC1	6.43670379123306
DSC1	3.80850586212085
RNF43	5.81993152969616
NDUFAF1	5.81243860671363
MAP2K4	4.78810515162368
FOLR2	4.71283017625039
LYZL6	3.56351749504353
EPB41L3	3.2971650916079
TEKT2	3.85036837431490
CDKN2B	4.02130263032633
WSB1	5.74987177962222
ZNF480	3.66133927739548
MAP3K6	5.09056619567701
PROS1	4.45459411947349
PSMB8	8.64600852169915
HN1	7.90927500950411
MAS1	3.46798184956952
APOL1	5.65570049085703
CSHL1	3.54105406459827
ZBTB7C	3.39971301613424
AHCTF1	5.61409591093424
SAE2	8.78965035059167
ITGA2	3.66988342603554
AP2S1	8.04771620670066
P15RS	4.42167629582275
MME	3.58709305301152
VAT1	6.82984271728947
MAST4	6.6029782360044
TUFM	9.69080900181552
KRT33B	3.37706394096435
THEG	3.63144952336251
KCTD2	5.72963070028105
WDR26	8.16732135852589
MFI2	3.473310252391
