Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D04_547316
Composite Element REF	Signal
NDUFB3	7.97067028110256
DEFB4	3.52397549262574
FPR1	3.85809722699553
FMNL1	3.93252106473301
SEPT7	9.5170760653694
PTCD2	4.68745428477264
GNLY	3.43263377552286
GRAMD1C	4.9942684870683
ZNF165	4.96701758566533
TR2IT1	4.62824171402144
ARMCX3	8.1946325801587
NDE1	6.08064026819134
MAGEF1	7.26858054843799
ITGA10	3.35642631243846
ARHGDIB	8.05427077116706
FSHB	3.94064570371625
ANXA2	10.8659588177756
HLCS	4.21754568008264
MCF2L	4.08019930190513
AK1	5.63135248902858
FH	7.28643297033626
LGALS2	3.52389762713826
SYNPO2L	2.95877234976799
KIAA1045	3.35461877598279
C1orf183	4.77913450655853
MAGEA8	3.05996574692861
DGCR8	4.53769071580991
GSR	5.73983910602195
NEU2	3.42449796341626
HIST1H4B	3.66742874390288
CACNA1C	3.07885328556335
FAM20B	6.76880401083228
HES2	3.28528508951259
PDCD6	8.09128897011073
INTS7	5.74562088478751
AMPH	6.54615557303205
UCKL1	6.17382853741762
ASB4	3.00987781124085
C10orf97	4.80567332794753
ALDH1L1	4.04135752715533
CCL23	3.37851514227906
OBSL1	5.22628003055779
SLC12A7	5.25603069533212
THAP4	5.96079774494164
RBM4B	5.08606509871752
OGFRL1	4.91943429994136
KIAA0831	5.47454407309206
C12orf11	8.07362561914114
PPP1R15A	4.04775663829034
KIAA0240	5.42732218037717
CD1B	3.23356672570087
FCGR2A	5.36467317387769
MDC1	5.20829137345983
MAN1A1	3.34362409417932
KRT9	3.28617856011945
HTR1A	3.30683992567427
OCEL1	7.03041658673972
ATP11B	5.13109220095013
NLGN4X	5.06282252713381
FBXO34	7.16627772600686
ALOX12	4.15784911680776
RB1CC1	6.50505604428699
PCDH12	3.92192399698477
RPE	5.34962206884505
EIF4E	6.19075743036134
CSDC2	3.76064899410479
ABHD5	5.97829840005967
TMBIM1	5.83446883172655
PET112L	4.86360639498113
P2RXL1	2.8678203561283
F2RL2	3.28273142417008
TRMT1	6.00421652226666
IMPG2	3.45767081806746
LRRC32	4.08448515850657
BGLAP	5.22662768387612
HTR4	3.13246505628372
MRAS	5.15002056053835
TRAF6	4.91259152574076
AXL	4.65476297089117
ATP2C2	3.76542815364827
LMNB1	5.4741703482204
TELO2	4.05675048740026
PNPLA3	3.75249253602089
CSNK1E	6.07494974236466
SRP14	10.1970906802841
KCNQ4	3.14609425760761
PIK3C2B	5.80327070064157
C15orf15	8.40659234402158
TUBB2B	9.22697422481532
USP15	7.08779980695795
C12orf41	8.00396476658124
CEND1	3.51856323701195
RNF31	6.07514729287399
TCEAL2	4.13976554149978
PTGER2	3.99962210462796
UBN1	8.78765201883732
SLC5A7	2.89996764720043
SLC31A1	6.20186352198045
ADAM29	3.58086384101178
ST7L	4.12986029141842
GFOD1	6.19801646787792
CTNNA1	8.2036934603204
HRBL	4.04153834231015
CBX4	4.17989481894259
NTRK2	3.48723639887827
FOXN3	5.82269063150266
MFGE8	5.2997943742494
PFKFB2	3.71939310356895
TAS2R4	3.61628083968353
SH3TC2	3.37373777691988
IL10	3.27168015719322
PXMP4	6.83396027847652
RNF167	6.6853370680762
PRMT5	8.64666856887527
TSKU	6.03908521304569
ATPIF1	8.10423897036169
ETV3	3.21373730605729
PAK7	4.38392994901799
PDLIM1	9.5169456650671
CEP63	5.45862488830062
WDFY3	4.61584658756584
RNF126	4.64520874256935
DPM1	9.11580156669521
CLIC4	6.02037011945788
ACR	3.6843861901111
KLK7	9.0883222556779
ALOX5AP	8.20784099682343
LRP1	5.09042728332756
TNK1	5.41835230845060
TAS2R9	2.87295024343404
ZNF16	5.77045571096279
POLR1B	5.07689663809548
SLC8A2	3.68923149644143
OLFM4	3.66845730186466
TACC1	5.46088254743944
SAMHD1	6.2480847875308
ATP13A2	5.10616018681625
KRT4	4.15092174293402
PAX6	8.4464245547949
SCG2	3.33000760029805
SLC17A6	3.15645006741417
TUBB4	4.08334703569878
PADI4	3.11174571702201
FMO3	3.09626475665032
NLK	4.55144682980546
POU4F3	3.19086425983432
MDM2	3.7168452027032
CAPNS1	9.0622957017328
