Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C08_452026
Composite Element REF	Signal
SERPINA4	3.19270909706374
FLJ20920	5.02382354384571
CRTAP	5.7736614048391
DDX50	7.95127101743927
STYXL1	6.29987289094919
TK2	5.06440694873302
BLVRB	6.38396500697206
STMN1	5.6362812089665
GUCA2A	3.70824952002886
DPP6	3.69134056016412
GALNT10	4.43385804880762
STK39	5.01381419880566
MMP24	4.72110972607017
CKS2	7.351939265026
RHO	3.90336858981436
BANF1	8.13559766703356
CR1	3.18738258254116
RPS6KA2	5.76736716002342
HMBS	5.6815122039623
C20orf112	3.83238409130102
SLC25A24	6.97821904706838
MRPL22	7.30169852615047
SLC25A15	4.80610431198197
GADD45B	5.99027815874472
TDP1	4.98421156224964
ZNF287	3.60781769551266
DAAM2	5.02617337462856
C11orf57	4.69844810793189
RFK	6.27637945851879
ZFYVE9	3.86656280787061
TCTN3	6.90222328732961
STCH	4.7871360571449
LOC283871	3.63947308889271
NDUFB3	7.26253863799714
DEFB4	3.42014720250672
FPR1	4.20245672047296
FMNL1	3.89008936241808
SEPT7	9.23133296682027
PTCD2	4.96259475127101
GNLY	4.72933279844107
GRAMD1C	5.20326554697678
ZNF165	3.91633899708079
TR2IT1	3.93125375695463
ARMCX3	6.76701631394315
NDE1	4.9545629529971
MAGEF1	6.7827473149782
ITGA10	3.94203325397767
ARHGDIB	7.75659134055034
FSHB	3.72389140024788
ANXA2	11.0906698866425
HLCS	4.072816760649
MCF2L	5.04803862959445
AK1	5.0073068939459
FH	6.08407035231248
LGALS2	3.8991937120606
SYNPO2L	2.73996154911752
KIAA1045	3.54972874393427
C1orf183	4.71235560288529
MAGEA8	2.92134038853819
DGCR8	4.47482266352657
GSR	4.26192546556848
NEU2	3.49612319199424
HIST1H4B	3.67275464778958
CACNA1C	3.10191990430127
FAM20B	5.35852752945661
HES2	3.30268563477209
PDCD6	7.77738927316802
INTS7	4.19362296227409
AMPH	4.27784258688336
UCKL1	5.59704661695042
ASB4	3.22749505534458
C10orf97	5.2600167401235
ALDH1L1	4.06373557575450
CCL23	3.32705739466813
OBSL1	4.91194755162522
SLC12A7	6.88213571045536
THAP4	5.65763683047546
RBM4B	4.86049653188227
OGFRL1	4.23878038253105
KIAA0831	5.94638668247388
C12orf11	6.31838572240606
PPP1R15A	4.83455987393434
KIAA0240	5.32115754445688
CD1B	3.60933206540943
FCGR2A	5.33182899933992
MDC1	4.48710634080723
MAN1A1	3.49244233377433
KRT9	3.87956633021822
HTR1A	3.39249902502781
OCEL1	4.90654126802125
ATP11B	5.75603461615881
NLGN4X	7.02774775858196
FBXO34	6.39910825928284
ALOX12	3.42492769412963
RB1CC1	5.93650647930265
PCDH12	4.36967854372385
RPE	4.47597605682748
EIF4E	5.76174842996661
CSDC2	4.04608152232934
ABHD5	4.51272250209968
TMBIM1	6.82130453777234
PET112L	5.01870192929827
P2RXL1	3.38052157281288
F2RL2	3.76446131701377
TRMT1	5.69873189896234
IMPG2	3.59662416424065
LRRC32	5.9232303585344
BGLAP	4.18758661605041
HTR4	3.41414067503068
MRAS	4.70875996061196
TRAF6	4.71332924388485
AXL	5.59677837665877
ATP2C2	4.01357007558855
LMNB1	3.52234542126048
TELO2	4.52635368713293
PNPLA3	4.16443804136260
CSNK1E	7.05285457459594
SRP14	9.71844372077441
KCNQ4	3.36654326902057
PIK3C2B	4.39678153381630
C15orf15	8.4406976083046
TUBB2B	3.64733347500489
USP15	4.8057693537985
C12orf41	6.65205050807471
CEND1	3.86816166042383
RNF31	4.44330237702338
TCEAL2	5.18887433636433
PTGER2	7.0488836079355
UBN1	5.92772597788869
SLC5A7	3.18222884272672
SLC31A1	4.77796159017653
