Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C10_433694
Composite Element REF	Signal
CGRRF1	4.98263991870627
RUVBL2	7.90757066107753
MCAT	6.15621858682692
WNT10B	3.59647130026657
ISCA1	7.08563243264151
RPAP1	4.71694900065392
C12orf48	5.82418487123752
RAI16	5.05819739031441
RPL27	9.97480763321073
EPN1	3.65489754818661
MAGI1	3.50507713026233
GBX2	3.28596289681588
SLC35A1	7.7732399382571
GAL	5.81209571264808
SLC14A2	3.51605393999529
RDH11	6.71516571459598
ZNF518	3.97136173147975
PCYT1B	3.47638998474052
AUH	7.43524829760374
EIF3H	10.5213496705015
KIF1B	6.41440433521679
MBD2	4.79132129956079
AMOTL2	8.46052501385882
C6orf120	5.76949022107192
PIGT	7.41511609320946
PSRC1	4.99268443165122
PLA2G10	4.18390429172936
ALAS1	6.4853506368441
FOXO1	5.42491078407023
C17orf62	7.08054463663601
KIF5C	6.93481107677887
DUSP10	5.02115112348966
CRLF3	6.5376807639469
CLCNKB	3.58098928015215
PSMA5	8.95237200820179
FARS2	5.53115630743208
CCDC28A	5.99759893107729
AMPD3	4.60594503861911
PIAS1	7.63745802722044
ADCYAP1R1	3.53344404494666
TMEM134	7.10462866480184
CDH20	2.91677241516510
FBXO7	7.37870748496784
FLJ14213	3.65125582442114
ZNF3	5.53724802847032
LRRFIP1	7.13017257105064
TMEM49	10.1722785550387
CNOT2	7.71048675190313
CBX2	2.78291245008258
ZC3H14	7.79019942680251
ALDH5A1	6.55195204986067
HNT	3.33206482955733
SERPINA4	3.24778905171375
FLJ20920	6.47353173428726
CRTAP	5.64601742396122
DDX50	7.8602478660551
STYXL1	6.95071900559323
TK2	4.06604171219728
BLVRB	7.15934460329807
STMN1	6.52070715255625
GUCA2A	3.4311245491969
DPP6	3.13237311297295
GALNT10	3.8951776159683
STK39	5.36025702772627
MMP24	4.90189657472218
CKS2	10.1395343345541
RHO	3.69576608161426
BANF1	9.22903264856453
CR1	3.12935062911135
RPS6KA2	4.46705833549654
HMBS	6.54739739295783
C20orf112	3.87309184904375
SLC25A24	7.00942116613218
MRPL22	7.80575862991702
SLC25A15	5.24881126973791
GADD45B	5.56664672019025
TDP1	7.39168373230061
ZNF287	3.80240069569993
DAAM2	5.26931790449365
C11orf57	6.08295804426073
RFK	7.89645861380387
ZFYVE9	4.45881472570956
TCTN3	6.14197535824009
STCH	5.73849226722342
LOC283871	3.72834841371588
NDUFB3	7.371731851832
DEFB4	4.05887910485106
FPR1	3.80758536040509
FMNL1	4.03712731155965
SEPT7	8.68895767190127
PTCD2	4.33409962006926
GNLY	3.78995137368306
GRAMD1C	7.18618982135339
ZNF165	5.69574070463652
TR2IT1	3.91769703637587
ARMCX3	7.09295436445022
NDE1	6.12431634546442
MAGEF1	6.9232508545745
ITGA10	3.96762328791538
ARHGDIB	8.10688733017333
FSHB	3.58974257008623
ANXA2	10.0284352423136
HLCS	3.70967293563318
MCF2L	4.20648753223743
AK1	5.94795309920094
FH	6.4876829241473
LGALS2	3.74164370302089
SYNPO2L	2.76847047552786
KIAA1045	3.38013575955084
C1orf183	4.6651302960028
MAGEA8	3.33922886319409
DGCR8	4.91421512557595
GSR	5.16555093524372
NEU2	3.50160433623709
HIST1H4B	3.76229058421041
CACNA1C	2.99004240188686
FAM20B	7.76690847630398
HES2	3.11761567802264
PDCD6	9.25896276647593
INTS7	6.34746741595117
AMPH	5.76247348741331
UCKL1	6.23274807742381
ASB4	3.05012764056105
C10orf97	4.9508082492179
ALDH1L1	3.99648883256829
CCL23	3.34851016083101
OBSL1	4.6731311209942
SLC12A7	7.46887706267538
THAP4	5.83703837273278
RBM4B	5.50850567935887
OGFRL1	4.86505896784722
KIAA0831	5.07492688353484
C12orf11	8.34729303361917
PPP1R15A	5.93204467028889
KIAA0240	5.66780758360545
CD1B	3.40271361983774
FCGR2A	4.47099864364752
MDC1	5.32534155517712
MAN1A1	3.50806023255984
KRT9	3.46005762472857
HTR1A	3.32913580786373
OCEL1	4.83600016084127
ATP11B	5.34888723890772
NLGN4X	3.3983103957002
FBXO34	7.49875646270856
ALOX12	3.45932317168267
RB1CC1	7.76639201734135
PCDH12	4.53526623879668
RPE	5.22765692261155
EIF4E	6.98167911018061
CSDC2	3.82207693760117
ABHD5	5.01263868898876
TMBIM1	6.03866869685904
PET112L	4.75554481022787
P2RXL1	3.29748866154102
F2RL2	3.17947907405228
TRMT1	6.43084772463777
IMPG2	3.5392252059791
LRRC32	5.13250412257199
BGLAP	4.9728402930077
HTR4	3.39465841752266
MRAS	4.21123924323488
TRAF6	4.8102133883241
AXL	4.26958942947349
ATP2C2	3.4479406887393
LMNB1	6.15759103248851
TELO2	4.71255460267379
PNPLA3	3.54606723453858
CSNK1E	6.64522831634066
SRP14	9.8560852366837
KCNQ4	3.31832089649916
PIK3C2B	5.22551033828695
C15orf15	8.8699027325598
TUBB2B	3.15953785875732
USP15	5.56458702383196
C12orf41	7.70542146148274
CEND1	3.961111388839
RNF31	5.36436285871923
TCEAL2	3.88902401336918
PTGER2	3.93289722046845
UBN1	6.56566482387632
SLC5A7	3.46134991926377
SLC31A1	6.17757465265465
ADAM29	3.64528868545707
ST7L	3.96900500120037
GFOD1	4.63823128457672
CTNNA1	9.22373895742088
HRBL	3.71501307021095
CBX4	4.01303602916555
NTRK2	3.59270213360672
FOXN3	5.70825730955136
MFGE8	5.32203403231069
PFKFB2	3.99317258350963
TAS2R4	3.70399152029955
SH3TC2	3.20066172705319
IL10	3.22213290074459
PXMP4	6.30524433983781
RNF167	6.35880852461092
PRMT5	7.28140994830762
TSKU	6.47910637402418
ATPIF1	8.78973312328078
ETV3	3.28188235616865
PAK7	4.32546728074956
PDLIM1	8.55753533590014
CEP63	4.98088454079981
WDFY3	4.68338071046937
RNF126	4.74393935952461
DPM1	8.1547235625651
CLIC4	5.73002061808627
ACR	3.73589271152135
KLK7	9.6131705295875
ALOX5AP	4.37922472518734
LRP1	4.43261912176736
TNK1	5.11678765906063
TAS2R9	3.09988262402528
ZNF16	5.52731353404771
POLR1B	6.09795447024949
SLC8A2	3.8153270019877
OLFM4	2.86530690028181
TACC1	5.92252324825008
SAMHD1	8.226691325496
ATP13A2	4.53888692715149
KRT4	3.39980843972381
PAX6	3.44981690324659
SCG2	3.32472402317705
SLC17A6	3.50434997093692
TUBB4	3.97635181411701
PADI4	3.15759072411643
FMO3	3.02720222744491
NLK	4.23007498338984
POU4F3	3.13576814485765
MDM2	3.57624190094317
CAPNS1	9.1581567842544
SDF4	7.28122796139253
ITGBL1	3.24012530710812
TAP2	4.38717539053593
OR2C1	3.65667656765818
KLHDC3	5.61625997164138
EFHD2	5.79185295237626
GALR3	3.55252897637553
NBEA	3.17044055152054
ABCA6	3.278119320107
ABBA-1	3.89847868621353
GNAI1	4.22689178559830
CLDN3	8.7788354277682
AKT2	3.18152612032987
EGFR	3.90359651158844
