Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H05_516360
Composite Element REF	Signal
TCFL5	5.39715495542355
C1orf107	5.49918361899705
C19orf22	6.26113911651034
SAFB2	4.98342012649176
MAP3K7IP1	3.64141907825673
NCK2	6.95742224671799
OXA1L	8.31129626025108
KIAA0652	5.42557012956077
KLRG1	3.45739390565980
FRAG1	6.45470718909673
ZSCAN12	3.0890765520073
PSMD12	6.74193660582939
E2F4	5.30059177668153
CLEC4M	3.64194842559654
KIAA0999	4.4867357337008
CLDN10	6.28083518200192
MGC13053	4.09006055507583
TAC1	2.75037516987953
GYPA	3.40368717158343
HPCAL4	3.16794393048410
TRAIP	4.16461435152559
MEX3D	4.15586820888974
KIAA0232	5.99394668574318
ERCC8	5.59882433820319
NFAT5	4.40953104056517
GPX4	9.22536794285665
CSPG4LYP1	3.3213005657186
KIAA0368	5.10792294047015
FBXO3	5.32812375861704
DVL1	5.45465799674258
CMKLR1	3.8977846283896
GPR157	3.38782355107985
TYMS	8.12589063926226
OR52A1	3.33354451508776
PEF1	7.21446098040382
ZNF750	3.28023724434957
ALG9	5.12541504711839
MCM5	5.66294593157372
SDK2	3.48921992586657
BAIAP3	4.06248889887438
RABGGTB	6.83457704014754
KCNK7	3.41378208179993
PTP4A3	6.07246466420893
ANKRD40	4.094186441324
CALCOCO2	7.12208940636592
TMSL8	4.67608383534966
SNCA	4.44057050948923
ZNF551	3.70225006185694
HBQ1	3.40122809762230
ARHGAP26	4.04724974720949
GEMIN6	6.78457803790655
HRAS	5.63652052147986
KLRC4	2.81618211861189
BSDC1	5.31295730179313
DSC1	3.9405251827816
RNF43	4.86235831597135
NDUFAF1	5.74393155491214
MAP2K4	5.2874085926352
FOLR2	6.970617888981
LYZL6	3.91623939365682
EPB41L3	4.35919364718674
TEKT2	3.6451326442611
CDKN2B	3.43938324857635
WSB1	6.1752946136877
ZNF480	3.2110694317422
MAP3K6	3.97798454176565
PROS1	5.27979588868979
PSMB8	8.43493486099117
HN1	8.36067511534438
MAS1	3.44570030010958
APOL1	4.99847534236741
CSHL1	3.48394109048717
ZBTB7C	3.04931247664358
AHCTF1	5.81781122108401
SAE2	8.50205275201458
ITGA2	3.62877402675708
AP2S1	9.24393503807907
P15RS	7.5334875336561
MME	4.72804464016182
VAT1	7.10901824661727
MAST4	4.9752381864488
TUFM	8.87199629712116
KRT33B	3.27202971797772
THEG	3.53872202001651
KCTD2	5.13968108734983
WDR26	8.65656899586694
MFI2	3.21292067944163
KRT34	3.29257706833486
NR4A3	3.62277775626894
SGSM3	4.47492029977455
ARSA	4.12668068673887
TOMM22	6.36177193558315
SOCS3	3.95196515827218
UNKL	4.04784348750365
POP4	8.44088209075005
BHLHB3	8.24596550528786
MALL	4.69856171582174
SOX15	3.31265698483464
CCNA2	7.58583636649656
PARK2	3.19697215817733
GPR124	4.71713397687496
TMEM132A	5.11634538915758
CGRRF1	6.423528485252
RUVBL2	8.26598767679838
MCAT	5.12785267040243
WNT10B	4.00930822112318
ISCA1	6.44356999341369
RPAP1	3.82513571366335
C12orf48	4.94103748399759
RAI16	4.33026452115926
RPL27	9.32490445003052
EPN1	3.75860863315809
MAGI1	2.99757464092704
GBX2	3.48329337811034
SLC35A1	7.41916373411282
GAL	3.75552922415277
SLC14A2	4.01135387176033
RDH11	7.47741514413531
ZNF518	3.92220300695911
PCYT1B	3.33675115932232
AUH	6.05805780388535
EIF3H	11.2287011321249
KIF1B	5.44538255861061
MBD2	4.64481116159303
AMOTL2	7.28039330123233
C6orf120	6.43616735291771
PIGT	7.95073617852423
PSRC1	5.75622401616018
PLA2G10	3.56658761390605
ALAS1	6.70879731566534
FOXO1	6.00785606471871
C17orf62	6.67050941108862
KIF5C	3.74422512303383
DUSP10	5.36630873908161
CRLF3	7.08546711021809
CLCNKB	3.54796049816008
PSMA5	9.1468343314755
FARS2	6.62267969011802
CCDC28A	6.31779031801081
AMPD3	4.48968384281957
PIAS1	6.44359692936477
ADCYAP1R1	3.53543759303338
TMEM134	6.76343365292214
CDH20	3.04693130989973
FBXO7	7.53424421743462
FLJ14213	3.60553027037517
ZNF3	5.23249587821336
LRRFIP1	6.57894732515289
TMEM49	9.04335409381686
CNOT2	6.78426890118544
CBX2	2.84798540278066
ZC3H14	6.58858357616929
ALDH5A1	5.17568979243699
HNT	4.09463346177986
SERPINA4	3.48824051863959
FLJ20920	5.56658447853454
CRTAP	4.89426407526907
DDX50	8.12960516835869
STYXL1	6.65181277287998
TK2	4.51227497935685
BLVRB	6.75262023866874
STMN1	6.79705480736974
GUCA2A	3.23558013024329
DPP6	3.47387962013275
GALNT10	4.23797620881701
STK39	4.63754702376331
MMP24	4.36676202253649
CKS2	9.5579808377665
RHO	3.64442876460710
BANF1	9.92635327924424
CR1	3.14176664125687
RPS6KA2	4.7099453802325
HMBS	6.03515886081238
C20orf112	3.38648904848523
SLC25A24	7.08417305107088
MRPL22	8.18494236612278
SLC25A15	5.05435176355006
GADD45B	4.66784633896033
TDP1	6.45818830514314
ZNF287	3.64919125871001
DAAM2	5.3709379829921
C11orf57	5.48322288217652
RFK	6.14645975828641
ZFYVE9	3.94324837975728
TCTN3	7.53007575019874
STCH	5.52969719709835
LOC283871	3.6810649724557
NDUFB3	8.38949060174287
DEFB4	3.7019921240786
FPR1	4.54771826985107
FMNL1	4.07272780431057
SEPT7	9.76425507320366
PTCD2	4.15273108428407
GNLY	3.79708925198142
GRAMD1C	4.62460706472192
ZNF165	4.65530229675883
TR2IT1	4.01841465392724
ARMCX3	6.822039874191
NDE1	5.34765488724104
MAGEF1	7.374975377784
ITGA10	3.50285134476677
ARHGDIB	8.64779523638772
FSHB	3.62691335765646
ANXA2	11.3907103082916
HLCS	3.83633655396964
MCF2L	3.55058557680879
