Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_C05_586182
Composite Element REF	Signal
ZNF3	6.86482619736841
LRRFIP1	7.64409777077501
TMEM49	8.96389840892623
CNOT2	7.49153227097582
CBX2	2.88058058237117
ZC3H14	7.1127252002456
ALDH5A1	6.88968433283467
HNT	3.25188022909372
SERPINA4	3.08394022427044
FLJ20920	6.10224614065888
CRTAP	6.33516570123882
DDX50	8.03663897168288
STYXL1	8.2875220270508
TK2	4.94879648097927
BLVRB	7.0345225991727
STMN1	6.87411028621569
GUCA2A	3.29667638024414
DPP6	2.98778504811113
GALNT10	4.35430588679627
STK39	6.14446002741485
MMP24	4.23724993882932
CKS2	9.95485408836406
RHO	3.70774605925767
BANF1	9.04857550843198
CR1	2.94303835606612
RPS6KA2	6.50920633885522
HMBS	6.96552212075953
C20orf112	4.06043421605703
SLC25A24	7.45666887235026
MRPL22	7.24622203097823
SLC25A15	5.09381583287873
GADD45B	5.57812894987201
TDP1	6.29555063648542
ZNF287	3.22289643900341
DAAM2	4.3042428242086
C11orf57	6.18015698941613
RFK	6.97272891669294
ZFYVE9	4.09764735292412
TCTN3	6.04228258749784
STCH	6.49034864875492
LOC283871	3.66728872451764
NDUFB3	8.37370193861038
DEFB4	9.12385633312038
FPR1	4.51025602636571
FMNL1	4.25374074756359
SEPT7	9.59052286304505
PTCD2	5.68596108875191
GNLY	5.19075607422409
GRAMD1C	6.95053747610195
ZNF165	4.56236879408610
TR2IT1	4.99571109119295
ARMCX3	7.61528388520131
NDE1	6.47854585450249
MAGEF1	6.81452829216851
ITGA10	3.66970299421633
ARHGDIB	8.3896239876405
FSHB	3.6835063266693
ANXA2	10.6576380297227
HLCS	4.54146309083761
MCF2L	3.98204780339019
AK1	6.5092330434819
FH	6.79944625839619
LGALS2	4.13386920921265
SYNPO2L	2.79441755208898
KIAA1045	3.36233662271200
C1orf183	4.53877884585277
MAGEA8	3.00724443605572
DGCR8	4.36366410473141
GSR	5.11481845286383
NEU2	3.55795922598087
HIST1H4B	3.8850578790116
CACNA1C	2.96586379624185
FAM20B	6.57822375592121
HES2	2.92419444535563
PDCD6	9.85638278278973
INTS7	5.96054351082775
AMPH	3.6740737068127
UCKL1	7.45235160365117
ASB4	3.08312998621516
C10orf97	5.53018770093164
ALDH1L1	3.75257032267245
CCL23	3.29906097282499
OBSL1	4.56624616675452
SLC12A7	8.87505946046204
THAP4	5.11523927964665
RBM4B	5.80623089707204
OGFRL1	4.61472568047157
KIAA0831	5.7392616606825
C12orf11	7.56856050111058
PPP1R15A	4.56678094865084
KIAA0240	6.30756563227973
CD1B	3.38200269197746
FCGR2A	5.976141134651
MDC1	6.46730030980333
MAN1A1	3.81514149046727
KRT9	3.17937580254628
HTR1A	3.18477548313382
OCEL1	4.97934372351201
ATP11B	6.26739665078621
NLGN4X	3.50204510145147
FBXO34	7.72211688871696
ALOX12	3.82287663326329
RB1CC1	7.36764003743815
PCDH12	4.30610801151887
RPE	5.68968825280658
EIF4E	7.1800786620592
CSDC2	3.83161680503441
ABHD5	5.97796428486537
TMBIM1	7.06899110314742
PET112L	4.21808367550374
P2RXL1	3.13756296598340
F2RL2	3.05039870595094
TRMT1	5.62221641055926
IMPG2	3.5066321589128
LRRC32	4.35740300122229
BGLAP	4.266025292092
HTR4	3.32205852063408
MRAS	4.04465842726859
TRAF6	5.63940088299465
AXL	4.14006663260542
ATP2C2	5.88317594557006
LMNB1	6.30112983359948
TELO2	4.5749814950935
PNPLA3	3.82829912028728
CSNK1E	6.21912360574348
SRP14	9.20757800118402
KCNQ4	3.35908959913357
PIK3C2B	8.00381537305932
C15orf15	8.03487266173668
TUBB2B	2.99745120274458
USP15	6.61509099155357
C12orf41	8.09876975765373
CEND1	3.54648402699408
RNF31	4.40079554701558
TCEAL2	3.26965833703684
PTGER2	3.87451333241467
UBN1	6.61878539183048
SLC5A7	3.14894975234211
SLC31A1	6.16770127267748
ADAM29	3.41629925702317
ST7L	3.95208428286781
GFOD1	5.61123253387385
CTNNA1	8.37107336114387
HRBL	4.94630350182729
CBX4	3.71987633202428
NTRK2	3.34085983725118
FOXN3	5.64940431743736
MFGE8	5.15291176992793
PFKFB2	3.93115057805817
TAS2R4	3.92021926716398
SH3TC2	3.66092958400027
IL10	3.27055725775421
PXMP4	5.03195674394407
RNF167	6.12198036342189
PRMT5	6.42074795961373
TSKU	4.66263806381390
ATPIF1	7.77639427562398
ETV3	3.24947546793613
PAK7	2.9642636522299
PDLIM1	9.31357380099758
CEP63	6.04276134097686
WDFY3	5.40021261638873
RNF126	5.66237946496661
DPM1	9.25655352385514
CLIC4	7.38924861139581
ACR	4.05173120161163
KLK7	8.35190813660953
ALOX5AP	8.07855966440014
LRP1	4.34166024742258
TNK1	4.83291463462889
TAS2R9	3.01861789189105
ZNF16	5.17951749524052
POLR1B	6.33977009880627
SLC8A2	3.49680697640054
OLFM4	2.92737677637303
TACC1	6.77533729914074
SAMHD1	7.47561655532535
ATP13A2	4.92648711511984
KRT4	3.434297092217
PAX6	3.47223047486986
SCG2	3.35680267040172
SLC17A6	3.36674161583691
TUBB4	3.66385025258875
PADI4	3.07338470912181
FMO3	3.01662927650682
NLK	4.32704053153758
POU4F3	2.94759404666981
MDM2	3.27390370807004
CAPNS1	9.14845284201302
SDF4	6.9860294110134
ITGBL1	2.90687454380514
TAP2	5.0597670964862
OR2C1	3.44648122245346
KLHDC3	6.82615490093646
EFHD2	7.27073802961686
GALR3	3.50465983725962
NBEA	3.04543572880687
ABCA6	3.15788226049263
ABBA-1	3.76444025861447
GNAI1	3.6345896216335
CLDN3	8.66527735717488
AKT2	3.18398014079583
EGFR	4.95012761597565
VPS4B	8.35965533692979
RBM16	7.44932713805449
GALNT6	6.47582222538855
ZDHHC3	6.3278423403131
SLC25A4	6.6889985302055
CYB5B	6.95229832682746
NDRG1	8.34097742871481
SESN1	4.16993325658594
GBE1	8.3133327139069
MRPL46	6.41225932704127
CLASP1	6.32547867237253
FARP2	4.98865339913239
ACOT11	3.47859028936030
LDHAL6B	2.89361779091546
MAPKAPK3	6.06299886115168
NCAM2	3.04352714973851
AFAP1	4.62750282550672
PRKD2	6.33476251869817
OR2H2	3.23566338906819
ZFP36L1	7.41517361712546
DZIP1	3.44973996734483
GPR161	4.25423830734145
RNF146	4.59056226635529
NKX3-1	3.81146005103723
CCNB2	7.53479906459759
ZNF10	3.33039159662158
WDR74	5.83356870924562
FAM134A	7.96583227390283
PCNP	8.91454690725364
PURA	5.20858713114456
DNPEP	7.96465083433869
ERBB2	4.89542948717168
CREB1	6.48366142658855
NEO1	6.99294066932209
DDX3Y	3.31285789535567
RPS3A	12.6715292971878
MXRA7	9.8822216478187
LGALS3	10.9749103617081
GLT8D1	6.90244660574088
TMPRSS3	8.76174518413505
UPB1	3.2655612538909
LAT	4.71748513626514
CLDN14	3.46823485765250
DHX38	5.87324921403844
KCNA3	3.34631069164198
BTBD1	8.52364665876476
TARS2	5.30774182618887
SKIV2L2	7.18533778509634
ABCF1	8.16870073002388
CDT1	4.07834319655922
ZHX2	5.94682660334097
FCF1	4.60387769894407
LRRC49	6.51658685317511
GUCY1B2	3.27498321420309
CD28	3.30080261168262
SMARCA4	6.54095040098744
SEPT2	8.46373252254751
SOHLH2	3.9304755844182
MCOLN3	3.37995365156127
LRP8	7.06439148813118
TAGLN3	3.75060374902181
MASP2	3.53563455406236
GPATCH3	4.11473157257754
TTRAP	8.58332119692415
AGL	7.56063044147349
NFE2L3	6.9104907644925
PSD4	3.9395676469464
PALMD	4.60015701561104
CCNB1IP1	7.6826008528841
TMEM43	7.52707569095415
OBFC1	5.17433233104296
STAT5B	4.96150992743364
C14orf79	4.46920383490544
ENPEP	4.07205391272922
SSB	8.15189295155118
SCT	3.02165608441581
TIMM23	7.17298106615089
SKI	3.74671901682477
SLC22A13	3.19456014451317
AKAP3	3.40513756688696
OAS2	7.18972172372541
KIAA0423	5.9856070173926
SEC61G	9.4550715618572
CAPN11	3.06963987856066
TMEM50B	8.57138024147883
DEGS1	8.03988977996326
ARHGEF4	3.49327130940326
DBNDD1	4.57772834569836
TBL1XR1	5.30835791881062
FAIM	6.75052360732736
