Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
HCRTR1	3.71717624186825
FST	4.39521378061384
PAWR	3.87693926828141
LDLR	4.85213647002535
ASTN2	3.78705702238141
SCRN1	5.82805385144814
GPATCH8	6.1800706165666
KIF4A	5.3750548143878
TANC2	3.94751352175438
ZMYM5	3.20965281453123
PGM1	8.50790954271271
ZNF586	4.66384721307376
POLR3G	3.83979611592474
CPD	4.95595669334211
SNCAIP	4.84866429327026
DCT	3.54643927968887
HLA-DOA	3.85526904496749
TANK	5.81035638373722
RCAN1	4.28471708899526
UPK1B	3.51500172433548
DNAJB4	4.23964295670526
UGT1A8	3.18040590859655
LIMD2	3.93378473940736
HIST1H4L	3.470949011007
PECR	3.83930827766713
HSPA2	6.39711107458014
SERP1	8.33088187441356
TACR2	3.44169500222953
NUP85	6.35689264866201
CD177	3.61770431467706
GPR135	3.359006596659
PIGG	6.17138893913594
LGR5	3.47096042666552
JAK2	3.69226025798378
DPYSL4	3.30942972342733
TM9SF4	4.96164734119233
PTHR1	3.38547577502982
SIRPG	3.36892789221963
ZNF264	4.99840948794305
BICD1	5.05814899086917
RAB5A	6.2670806948467
FLJ13224	3.03243136857182
METTL5	8.11149978712645
HERC6	5.42799921659373
CASP1	5.10787330816391
USP9Y	2.90385886666037
LRP1B	2.75484795835129
XAF1	6.45818567623201
PLA2G4C	4.61281957695205
APOA2	3.28754386743606
SPAG6	3.16074161914284
KALRN	3.56221144153232
SECTM1	6.7016819033924
THOC7	8.25879574960435
IFNAR1	3.67079842681705
TCTA	5.64886563366174
NY-REN-7	3.56173706707248
TALDO1	8.79254884225382
B2M	11.6433977900716
LPPR4	5.85645915445966
SQLE	5.44869242506581
SEPHS1	6.83450432344
EIF5A	5.51058780549188
FAM49A	4.34296173031132
YTHDC2	4.44780060871836
EHD2	5.33047106439210
NCF1	4.13751168508537
SPG7	5.51014783152203
ZNF614	3.4692825970646
HOXA5	9.18090301129234
NUP133	7.26129495699862
FGF12	3.43841357200293
SLMO2	7.94764014805886
INPP5B	4.46774993832508
PPID	4.89194673500755
SNTA1	4.85038230104022
IL20RA	3.55938514325847
UBE2J1	5.22807061511857
CACNG2	3.12896912920465
GCM1	3.48388821184815
ELF1	6.12549529556812
TLR5	4.56845357644806
TCFL5	6.80296150232552
C1orf107	4.64179323517243
C19orf22	6.24811447362553
SAFB2	6.70214298099259
MAP3K7IP1	4.19161304947181
NCK2	7.6191965912134
OXA1L	6.78546803362504
KIAA0652	5.01850396670086
KLRG1	3.87287511545169
FRAG1	4.95656032117018
ZSCAN12	2.93872755429102
PSMD12	6.13440046750825
