Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B08_547200
Composite Element REF	Signal
INPP5B	4.24973932587065
PPID	6.40937487893873
SNTA1	4.48476267387419
IL20RA	4.6971340787093
UBE2J1	6.01222196937988
CACNG2	3.03935049527235
GCM1	3.16342917590835
ELF1	7.33259032173295
TLR5	6.80866120209211
TCFL5	6.9630363749527
C1orf107	5.94673648849022
C19orf22	7.27990170737422
SAFB2	6.76030574982496
MAP3K7IP1	3.83061433206693
NCK2	7.86602704113299
OXA1L	8.26463702427848
KIAA0652	5.80453844018254
KLRG1	3.23979909743476
FRAG1	7.10353370138325
ZSCAN12	2.90872070560409
PSMD12	7.38130596180249
E2F4	5.12628461410269
CLEC4M	3.39528844926488
KIAA0999	5.74751302680500
CLDN10	9.4910089878973
MGC13053	4.33504136341501
TAC1	2.63625078035167
GYPA	3.26209011275840
HPCAL4	3.24149181882823
TRAIP	4.31949668905385
MEX3D	4.50954899056875
KIAA0232	6.51652950712486
ERCC8	4.63067595394817
NFAT5	6.8030382906234
GPX4	8.809340298917
CSPG4LYP1	3.1757108046921
KIAA0368	6.51042892806545
FBXO3	6.6968358619126
DVL1	6.43394538441048
CMKLR1	3.71966319673932
GPR157	3.43412614976518
TYMS	6.34138023581874
OR52A1	3.09769090938569
PEF1	6.56601883892834
ZNF750	3.62935094985258
ALG9	5.56117453550677
MCM5	5.79952916265051
SDK2	3.7277486953252
BAIAP3	3.90163763694096
RABGGTB	7.80648255890863
KCNK7	3.26960897501735
PTP4A3	7.61303076598645
ANKRD40	4.04565319156966
CALCOCO2	7.57041453418052
TMSL8	3.8741021228039
SNCA	4.18510075850114
ZNF551	5.48875377613827
HBQ1	3.38817065080776
ARHGAP26	4.53906732083395
GEMIN6	6.46148931442158
HRAS	6.06655928875773
KLRC4	2.64373620968862
BSDC1	5.41062447520412
DSC1	3.80469154955745
RNF43	7.00899667945257
NDUFAF1	6.0140490836863
MAP2K4	5.29850494363126
FOLR2	4.86267235218633
LYZL6	3.70294668620186
EPB41L3	3.98193678736165
TEKT2	3.44112102127105
CDKN2B	3.595041055678
WSB1	6.28788960600338
ZNF480	3.66479609906395
MAP3K6	4.31753792814426
PROS1	7.84997226485483
PSMB8	7.59978790290609
HN1	8.18274365198545
MAS1	3.15937001286442
APOL1	5.8087811814429
CSHL1	3.14009956307166
ZBTB7C	3.07326652755993
AHCTF1	6.4222616573285
SAE2	8.83150557166282
ITGA2	4.87657877117366
AP2S1	8.34121570535126
P15RS	6.52142635563563
MME	4.02730551115466
VAT1	7.06346321952714
MAST4	7.28220385591789
TUFM	9.1456122207985
KRT33B	3.34253061019592
THEG	3.74641570423741
KCTD2	5.58543021770716
WDR26	8.75696528820759
MFI2	3.55854788541236
KRT34	2.96989789698282
NR4A3	5.06539460353994
SGSM3	4.54941501232362
ARSA	4.26092541834497
TOMM22	5.32374130314502
SOCS3	4.02582034993203
UNKL	4.42367517298818
POP4	7.5464273860927
BHLHB3	9.41325836007174
MALL	4.04687354086958
SOX15	3.9748081582472
CCNA2	3.52836873591109
PARK2	3.34544964584775
GPR124	5.15497459150177
TMEM132A	5.14854655908535
CGRRF1	6.5126240156082
RUVBL2	8.19995864531119
MCAT	6.09195958625885
WNT10B	3.79395618110926
ISCA1	6.76109455178146
RPAP1	4.93789675753482
C12orf48	5.19582544169223
RAI16	6.51594473582874
RPL27	9.07481046116045
EPN1	3.91052727072444
MAGI1	3.5613422574246
GBX2	3.28442382625329
SLC35A1	7.51302250090664
GAL	3.44882145643189
SLC14A2	3.2981248134408
RDH11	8.45249300204527
ZNF518	4.56763711589412
PCYT1B	3.23601448395683
AUH	6.88256553265816
EIF3H	10.6249629683465
KIF1B	6.59761965853808
MBD2	4.59455275457699
AMOTL2	9.0274575542725
C6orf120	6.05518113545658
PIGT	7.32783124138725
PSRC1	6.99155350405144
PLA2G10	3.48181236277886
ALAS1	7.45393234017387
FOXO1	6.53421571534929
C17orf62	7.13396184089029
KIF5C	6.51211894067743
DUSP10	4.52545832086755
CRLF3	7.24938186199602
CLCNKB	3.41017622581688
PSMA5	9.38288942073346
FARS2	5.33585386452132
CCDC28A	5.98244887012008
AMPD3	4.9380781789659
PIAS1	7.40926104899302
ADCYAP1R1	3.40744243738575
TMEM134	6.22641145777093
CDH20	2.82488641119356
FBXO7	7.3131009998277
FLJ14213	4.72193056918229
ZNF3	5.68205330813224
LRRFIP1	8.07569376277221
TMEM49	9.6768659318107
CNOT2	7.79504976357614
CBX2	2.86992305933642
ZC3H14	6.87559300879732
ALDH5A1	5.81841805212966
HNT	4.85096691144046
SERPINA4	2.90213696876756
FLJ20920	6.08222750900152
CRTAP	5.52217825309436
DDX50	8.0653904945079
STYXL1	7.54429708708273
TK2	4.64364869498403
BLVRB	7.15911358671101
STMN1	5.99388148783874
GUCA2A	3.26099560209289
DPP6	2.85753979810320
GALNT10	4.57113670476703
STK39	6.3846186949348
MMP24	4.33749382850986
CKS2	9.87613038902297
RHO	3.74570591477578
BANF1	9.33916619070637
CR1	3.02811768443346
RPS6KA2	6.16585205898691
HMBS	6.53460923185828
C20orf112	3.85973600056756
SLC25A24	7.48896297394399
MRPL22	6.95896930200493
SLC25A15	5.15316930067297
GADD45B	6.35911829354708
TDP1	5.87869896885117
ZNF287	3.5644746872918
DAAM2	4.32158408857526
C11orf57	6.04191393758898
RFK	6.78296182700575
ZFYVE9	4.27522212633076
TCTN3	7.52224459578798
STCH	5.81651544941991
LOC283871	3.87232759605532
NDUFB3	7.89777825934067
DEFB4	3.63127387977163
FPR1	4.44605155286118
FMNL1	5.14936756442777
SEPT7	9.69171583531379
PTCD2	4.73803080532582
GNLY	4.74759558941438
GRAMD1C	5.64100787880218
ZNF165	3.52073292589889
TR2IT1	3.48853682546019
ARMCX3	8.07540651646937
NDE1	6.27226385069534
MAGEF1	7.54734278853723
ITGA10	3.80333160598144
ARHGDIB	8.74362097922253
FSHB	3.69102218130086
ANXA2	11.3761475188349
HLCS	4.04435826313597
MCF2L	4.96409431002553
AK1	6.08559612816403
FH	6.39226133896518
LGALS2	4.25784631829705
SYNPO2L	2.70988208430004
KIAA1045	3.43080472914583
C1orf183	4.53451222825186
MAGEA8	2.91659448988181
