Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C12
Composite Element REF	Signal
ITGA10	3.77435636960995
ARHGDIB	8.28982851716813
FSHB	3.89640243975337
ANXA2	10.6956278300763
HLCS	3.77465175395528
MCF2L	4.13468403860246
AK1	6.43069130165466
FH	6.63917585122083
LGALS2	4.6615694681568
SYNPO2L	2.67126213555821
KIAA1045	3.34544788615214
C1orf183	4.64403746185861
MAGEA8	3.13664275964328
DGCR8	4.41396190588955
GSR	5.31073549892638
NEU2	3.28450572555557
HIST1H4B	3.67969055736115
CACNA1C	3.18857526387726
FAM20B	5.94496749208819
HES2	3.23913989968477
PDCD6	9.96853154052267
INTS7	5.73172527049486
AMPH	3.97447402140901
UCKL1	6.10872703313281
ASB4	3.15258812857992
C10orf97	5.49655978350023
ALDH1L1	4.15880196374114
CCL23	3.35791062356874
OBSL1	4.84771507590089
SLC12A7	6.87507465117723
THAP4	5.39944874327938
RBM4B	5.17903692896182
OGFRL1	4.59976543311363
KIAA0831	5.42333292114948
C12orf11	7.76515070857686
PPP1R15A	4.2427095124186
KIAA0240	4.98782121093380
CD1B	3.49812145771594
FCGR2A	4.13953933063944
MDC1	3.97526740446737
MAN1A1	3.62779535441879
KRT9	3.47217952083357
HTR1A	3.315829099229
OCEL1	5.40742194972311
ATP11B	5.76136161743353
NLGN4X	3.78657285241864
FBXO34	6.48994054393393
ALOX12	3.60553275707961
RB1CC1	8.03318284650711
PCDH12	4.43996147097357
RPE	5.10617121171652
EIF4E	7.40170126701927
CSDC2	3.81095322181856
ABHD5	5.51364170653044
TMBIM1	6.31973289010014
PET112L	5.67390145217032
P2RXL1	3.2361368505306
F2RL2	3.34357340413033
TRMT1	6.02823844224076
IMPG2	3.9043350102388
LRRC32	5.70795317114758
BGLAP	4.61080284080206
HTR4	3.38040491482176
MRAS	4.04059909329757
TRAF6	4.94429803983741
AXL	4.32493451897911
ATP2C2	3.32338742047728
LMNB1	5.57605271412857
TELO2	4.62936495860828
PNPLA3	3.46184785782578
CSNK1E	5.25459961566391
SRP14	10.8844981028586
KCNQ4	3.15058727410401
PIK3C2B	5.27861052912111
C15orf15	9.85862162464507
TUBB2B	3.33634269852342
USP15	6.82174206771873
C12orf41	8.65105278639141
CEND1	3.61535012328739
RNF31	4.78518563398414
TCEAL2	3.51889347150535
PTGER2	4.06005532866913
UBN1	5.24084067129305
SLC5A7	3.39523208852161
SLC31A1	5.75065465304127
ADAM29	3.57652609596676
ST7L	4.44954716885505
GFOD1	4.76507997279688
CTNNA1	8.40122744648429
HRBL	3.95339480397103
CBX4	3.25425532229346
NTRK2	3.52462325188982
FOXN3	3.9811887084592
MFGE8	6.658883291474
PFKFB2	3.77219373851185
TAS2R4	3.4922230026949
SH3TC2	3.18453881812832
IL10	3.45696308911650
PXMP4	6.1214951014004
RNF167	6.60799486391388
PRMT5	8.03246483195632
TSKU	5.20291580346520
ATPIF1	9.38323639084112
ETV3	3.29066715825684
PAK7	3.02516085760075
PDLIM1	8.67267297573477
CEP63	5.20943492153379
WDFY3	4.36432358032441
RNF126	4.79735438857397
DPM1	9.21166940232092
CLIC4	6.1962608209874
ACR	3.64063517285039
KLK7	8.13174771162109
ALOX5AP	5.3388483000266
LRP1	4.48980485075312
TNK1	4.62146615641666
TAS2R9	3.27492522123524
ZNF16	6.46932185230801
POLR1B	5.05133773963458
SLC8A2	3.72262296834369
OLFM4	3.20763161686973
TACC1	4.0925573096995
SAMHD1	6.12993966431455
ATP13A2	4.7936347607362
KRT4	3.67882426198823
PAX6	3.67948611301312
SCG2	3.68136421463921
SLC17A6	3.58887289739783
TUBB4	3.660128241146
PADI4	3.05740859083748
FMO3	3.14624687161693
NLK	4.08913378738747
POU4F3	3.37298073572708
MDM2	3.38663534116991
CAPNS1	8.92327633818287
SDF4	7.45797710068224
ITGBL1	2.97044314706199
TAP2	4.28638798642884
OR2C1	3.78089284580772
KLHDC3	6.90426315304663
EFHD2	5.99619149515627
GALR3	3.78813144469489
NBEA	3.68558495507214
ABCA6	3.12146917401524
ABBA-1	3.67609707468685
GNAI1	5.77315430180368
CLDN3	7.32030765896405
AKT2	3.34894098341644
EGFR	4.03671743908091
VPS4B	7.21869699395273
RBM16	7.32650355027308
GALNT6	6.47629294240802
ZDHHC3	5.24523671770705
SLC25A4	6.97060112661072
CYB5B	5.40609871242294
NDRG1	8.06495010279715
SESN1	6.5000874103222
GBE1	8.38323955552077
MRPL46	7.32552849251001
CLASP1	5.15240012954956
FARP2	4.26075417863693
ACOT11	4.29471454978079
