Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
GPX4	9.23532462711664
CSPG4LYP1	3.38244183661922
KIAA0368	6.29458246964652
FBXO3	5.03718262285366
DVL1	5.73551264126603
CMKLR1	3.51169294392487
GPR157	3.41275731514565
TYMS	7.77159323781757
OR52A1	3.13932948015865
PEF1	7.04649573764827
ZNF750	3.01062063975561
ALG9	5.99391732546214
MCM5	5.36928689030223
SDK2	3.48159818397741
BAIAP3	3.67599578528461
RABGGTB	6.65403776334907
KCNK7	3.12922640897331
PTP4A3	7.18270228611275
ANKRD40	3.69199350164194
CALCOCO2	6.9083364513277
TMSL8	7.68779213631073
SNCA	4.51426666718913
ZNF551	3.60115642500796
HBQ1	3.69148465436437
ARHGAP26	4.55805174551372
GEMIN6	6.78495298696059
HRAS	5.08861729331152
KLRC4	2.91968897247654
BSDC1	5.59022050676503
DSC1	3.64539039455732
RNF43	4.80055790543513
NDUFAF1	5.73442496328009
MAP2K4	5.37075989749186
FOLR2	4.76055895241272
LYZL6	3.45195448285130
EPB41L3	3.56550097391865
TEKT2	3.87060553399263
CDKN2B	4.32836567419308
WSB1	5.69826570192647
ZNF480	3.71386441929849
MAP3K6	3.99475688006853
PROS1	5.23079637310777
PSMB8	9.01630808871601
HN1	7.68451246787047
MAS1	3.33529466314229
APOL1	5.83039412006488
CSHL1	3.46572793393762
ZBTB7C	3.23325878116823
AHCTF1	6.26472334703013
SAE2	8.98934269669127
ITGA2	3.70121020630717
AP2S1	9.58139012937907
P15RS	6.39860175315235
MME	3.89720437571398
VAT1	6.10680588023091
MAST4	5.02217695787188
TUFM	9.64429144659614
KRT33B	3.08272485888165
THEG	4.23991633752696
KCTD2	4.34930161398996
WDR26	8.7842117795279
MFI2	3.55949239202355
KRT34	3.64866675675454
NR4A3	3.49181261486756
SGSM3	4.14537868359494
ARSA	4.09118193320166
TOMM22	5.81236163159262
SOCS3	3.65889592710957
UNKL	3.61559607573636
POP4	7.9408980034206
BHLHB3	9.3805462772020
MALL	3.57896862481188
SOX15	3.29887910202133
CCNA2	6.92618721138812
PARK2	3.26582790813939
GPR124	3.86313457992832
TMEM132A	4.78997076991068
CGRRF1	5.85098798350923
