Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C08_491130
Composite Element REF	Signal
HIG2	7.21114654022543
KCNK10	3.86020930717249
EXOC1	8.29190137875825
OR6A2	3.64257133391697
ETFA	8.06665273169855
PDAP1	5.07695370652204
C19orf6	3.49103076965533
POLRMT	4.37883935849898
ZNF146	8.1719053404062
MIA2	3.44309568653668
LY6G6E	3.31747458225786
EIF4E2	7.2341049221868
NENF	5.09521896983183
HOXB5	4.34805691546827
ZNF324	4.39091349250009
CUGBP1	3.83741417917807
ENTPD7	4.03634032060993
TTC13	5.07034094262759
GJB5	3.61157576848357
PRSS22	4.8967307682819
CYP3A5	3.58835242056207
MBOAT5	5.45532370813037
CUL4B	5.6647563937958
CENPJ	3.24112401115396
KIAA0664	6.24794127199005
PITX1	4.24821091301522
PDGFRB	5.21868975213727
RDX	6.04180317388096
CELSR3	3.85252398511368
JUND	6.79665150668485
ITSN1	5.3173822496118
CHRNB1	4.18320268809776
EHBP1L1	3.77419950377953
C19orf2	7.48238183256326
FETUB	3.06546248305581
CAMK2B	3.20647799314389
DCTN1	7.10949146275313
TNKS2	5.99493603689567
MRTO4	7.67442009411904
C1QBP	6.19124314685778
TTC3	8.2511539904993
NDUFB8	8.29487745999939
CADPS2	5.08869540995032
EDG2	4.81676034427866
MYF5	2.96259175076768
SEMA3G	3.79871878914742
IL23A	3.39751248231565
GJA9	3.54491657339086
R3HDM2	7.55761946952718
C5	4.24528459920885
SLC2A10	5.35887866426858
TRIM45	4.41885604561051
TSP50	3.75440342356134
PAQR3	4.00117296066891
ANKRD26	3.45301712354078
TCP1	8.39214248124759
TMED7	7.8598700014179
CMA1	2.88986727847130
PTCRA	4.19327388144363
HCRTR1	3.75037312517995
FST	7.82497077888462
PAWR	3.9968012768583
LDLR	4.94688950195562
ASTN2	3.86599231650774
SCRN1	7.12351316150545
GPATCH8	6.26140716320597
KIF4A	3.954018946537
TANC2	3.54763885152359
ZMYM5	3.7217822887658
PGM1	8.62814791318065
ZNF586	5.70374202443681
POLR3G	3.80270143662639
CPD	6.66823448460766
SNCAIP	6.3590838333648
DCT	3.39253819885029
HLA-DOA	3.93082972030174
TANK	6.87579405779594
RCAN1	4.25003292682054
UPK1B	4.96028905512209
DNAJB4	5.46973520977111
UGT1A8	3.29387685595755
LIMD2	3.41116092322092
HIST1H4L	3.49099197831827
PECR	4.25256380460439
HSPA2	5.88082922414537
SERP1	9.7793749073234
TACR2	3.36355369496263
NUP85	6.25376512477916
CD177	3.8168184372376
GPR135	3.11332440006608
PIGG	6.93584189884111
LGR5	3.55786751831598
JAK2	3.89197639202218
DPYSL4	3.25355191837349
TM9SF4	6.24300803507777
PTHR1	3.38986237108719
SIRPG	3.14100711800905
ZNF264	7.0221031153853
BICD1	5.99413656325053
RAB5A	7.29875746924385
FLJ13224	3.16309390817978
METTL5	9.36839695461898
HERC6	6.17449996918186
CASP1	7.2402103425096
USP9Y	2.64441644172969
LRP1B	2.95407256633671
XAF1	6.06330389609858
PLA2G4C	4.00586214139449
APOA2	3.14205313227606
SPAG6	3.13472194830381
KALRN	3.25325643548763
SECTM1	7.11712799400352
THOC7	9.28587811778231
IFNAR1	4.67324620078887
TCTA	7.70468181719235
NY-REN-7	3.23994226013691
TALDO1	9.32310218971883
B2M	12.0969779288420
LPPR4	4.21749760860631
SQLE	6.87719696521826
SEPHS1	6.53957050471715
EIF5A	6.33106686482654
FAM49A	4.66334842876998
YTHDC2	5.27067444840528
EHD2	5.0216969141361
NCF1	3.87894999248955
SPG7	6.22735079897328
ZNF614	3.49024752102568
HOXA5	4.27214792841767
NUP133	7.42196951973873
FGF12	3.67196513742723
SLMO2	8.24051811711118
INPP5B	4.39540207942844
PPID	6.44486664793776
SNTA1	4.38525984093685
IL20RA	4.11948434651290
UBE2J1	6.91500941278451
CACNG2	3.17102450695694
GCM1	3.2432855737612
ELF1	7.6094959722751
TLR5	6.93379248196966
TCFL5	7.88109397772113
C1orf107	5.26280499140178
C19orf22	7.07902180981938
SAFB2	6.27302608534483
MAP3K7IP1	3.80444863471238
NCK2	7.89140381123702
OXA1L	8.43640350693983
KIAA0652	5.60807102835441
KLRG1	3.96143229523802
FRAG1	6.64868112770924
ZSCAN12	3.03401674725075
PSMD12	7.46337843885485
E2F4	5.13266178900907
CLEC4M	3.40632400794253
KIAA0999	5.83954885367301
CLDN10	7.89502632416631
MGC13053	3.9738283702582
TAC1	2.65962642724145
GYPA	3.38314368901965
HPCAL4	3.3044673310956
TRAIP	3.89261349987698
MEX3D	4.17179572365714
KIAA0232	7.15657659443535
ERCC8	5.24933107787055
NFAT5	4.52383698244197
GPX4	9.39565833555237
CSPG4LYP1	3.05112777189754
KIAA0368	7.10450853623657
FBXO3	6.59138069813893
DVL1	6.48419893831327
CMKLR1	3.60907748811631
GPR157	3.47100832181347
TYMS	6.50703690113299
OR52A1	3.58652772535237
PEF1	7.2062418804781
ZNF750	5.48198993834074
ALG9	6.75330000630803
MCM5	5.23604733996307
SDK2	3.52536894485544
BAIAP3	3.91162595957099
RABGGTB	6.80901649657638
KCNK7	3.28972272066193
PTP4A3	7.9949382805299
ANKRD40	4.10933825848267
CALCOCO2	7.8993629161909
TMSL8	3.8752839291938
SNCA	4.33721695494371
ZNF551	4.13379945723895
HBQ1	3.31412267050421
ARHGAP26	5.29832747809333
GEMIN6	6.59758692593004
HRAS	5.4410344990407
KLRC4	2.74043824703605
BSDC1	5.87349959180501
DSC1	3.62261602173607
RNF43	5.51156253868698
NDUFAF1	6.95957131718616
MAP2K4	5.21195615330181
FOLR2	4.33025945979496
LYZL6	3.4152608014686
EPB41L3	3.85865643228678
TEKT2	3.56269870120012
CDKN2B	3.16696968416589
WSB1	5.47461907874103
ZNF480	3.66695751862996
MAP3K6	4.84396043122294
PROS1	5.2736756742561
PSMB8	8.32190786958585
HN1	7.23486025230647
MAS1	3.56068547809598
APOL1	6.58216036225762
CSHL1	3.2310362677666
ZBTB7C	3.2534868538519
AHCTF1	5.61738002408109
SAE2	8.82633056351062
ITGA2	4.47841859043416
AP2S1	8.26776382154204
P15RS	6.33987758778881
MME	3.82644384531157
VAT1	7.26055980483495
MAST4	6.51892383823967
TUFM	9.69062967653672
KRT33B	3.16978664432015
THEG	3.66675689522425
KCTD2	5.35051583457952
WDR26	7.94934121300204
MFI2	3.14830325446991
KRT34	3.31283643484975
NR4A3	3.63199574706156
SGSM3	5.15780024775316
ARSA	3.42206322584924
TOMM22	5.62861296308353
SOCS3	3.84659997976231
UNKL	4.18331583396768
POP4	8.31380709951215
BHLHB3	10.1380350398362
MALL	5.17535934209029
SOX15	3.28287392358556
CCNA2	3.49700794177827
PARK2	3.29328401959898
GPR124	4.39597963733017
TMEM132A	4.67447569802409
CGRRF1	6.23590364417598
RUVBL2	8.10374498217657
MCAT	6.62780882178746
WNT10B	3.56636428873808
ISCA1	7.32043657854042
RPAP1	4.41456614682886
C12orf48	4.33161759383623
RAI16	5.88335682812834
RPL27	9.62870517646165
EPN1	3.66724735501435
MAGI1	2.89578410349799
GBX2	3.10024798739964
SLC35A1	8.7997657939992
GAL	3.69255910275276
SLC14A2	3.71861983114308
RDH11	6.88682184827983
ZNF518	3.74044164410174
PCYT1B	3.2259600860874
AUH	7.74834437834491
EIF3H	11.5216381771376
KIF1B	7.8000772582705
MBD2	4.69159806650653
AMOTL2	8.37140350821811
C6orf120	5.98841113529821
PIGT	7.80821811495656
PSRC1	5.21371595059365
PLA2G10	3.61207038249877
ALAS1	7.55811447318549
FOXO1	6.83144284810888
C17orf62	6.9149420987141
KIF5C	8.70570008803072
DUSP10	4.5397561366706
CRLF3	7.1414699586612
CLCNKB	3.83923195392391
PSMA5	8.87289145612077
FARS2	5.8155961369886
CCDC28A	5.75788803761144
AMPD3	4.5446370475059
PIAS1	7.724515518464
ADCYAP1R1	3.42417769620449
TMEM134	7.33210977775654
CDH20	3.10518454905069
FBXO7	8.35613571626906
FLJ14213	3.58651718848258
ZNF3	5.32009097650196
LRRFIP1	7.62041248216284
TMEM49	8.4235745191107
CNOT2	7.7721836684375
CBX2	2.86233334148272
ZC3H14	6.35111420238782
ALDH5A1	5.01814294609747
HNT	4.57499708090374
SERPINA4	3.18850191978526
FLJ20920	5.89688640721978
CRTAP	6.14336592985797
DDX50	8.64168079986318
STYXL1	8.2848992009911
TK2	4.50806047442495
BLVRB	7.32117213630342
STMN1	5.56416391373732
GUCA2A	3.17491623711116
DPP6	4.54625332799323
GALNT10	4.8294491577019
STK39	5.45672739469014
MMP24	5.09932196354655
CKS2	9.37383015601256
RHO	3.76676879082832
BANF1	9.45951817021874
CR1	2.91502765453911
RPS6KA2	6.14433025469095
HMBS	7.03618250189984
C20orf112	3.52587107539636
SLC25A24	7.21318819225508
MRPL22	9.41176013274012
SLC25A15	4.93420160826971
GADD45B	5.60160328130496
TDP1	5.44399446069187
ZNF287	3.8746078856066
DAAM2	4.47270880956295
C11orf57	6.33787692626657
RFK	7.29461163487777
ZFYVE9	3.94924644530012
TCTN3	6.90254477393106
STCH	4.86112894460017
LOC283871	3.62532101403815
NDUFB3	7.95301880291384
DEFB4	3.69880363266525
FPR1	4.57433343815814
FMNL1	4.19056786014565
SEPT7	9.79866619155396
PTCD2	4.67842681214854
GNLY	3.91382612480871
GRAMD1C	5.02505116642977
ZNF165	4.15023878014021
TR2IT1	3.74201331843717
ARMCX3	6.5589615552525
NDE1	5.62501214774654
MAGEF1	6.79025720690985
ITGA10	3.4992442138336
ARHGDIB	8.89623436649777
FSHB	3.6068539472407
ANXA2	11.639982512521
HLCS	3.85025514314029
MCF2L	5.34320700036155
AK1	5.76014216991548
FH	6.53697270228546
LGALS2	3.99052028240543
SYNPO2L	2.51012609497196
KIAA1045	3.28250167077088
C1orf183	4.49370375686179
MAGEA8	2.97214332667379
DGCR8	4.81300179077503
GSR	5.68949332521472
NEU2	3.46772481755045
HIST1H4B	3.25455348396602
CACNA1C	3.12184112414594
FAM20B	6.70993034507145
HES2	3.41075320469735
PDCD6	9.03821471128957
INTS7	4.17649580420590
AMPH	3.83322269283764
UCKL1	6.32350905596126
ASB4	3.12696782654393
C10orf97	4.96027942045359
ALDH1L1	3.79449767199439
CCL23	3.35344381264735
OBSL1	4.9472940395588
SLC12A7	7.52662388397891
THAP4	6.11268654903835
RBM4B	5.35160207212697
OGFRL1	4.96630072353446
KIAA0831	6.52177881518528
C12orf11	7.6064050997342
PPP1R15A	4.70370833971747
KIAA0240	5.75076197490777
CD1B	3.49985342769509
FCGR2A	5.89712015736491
MDC1	4.95784332124124
MAN1A1	3.8339037400516
KRT9	3.34225361637608
HTR1A	3.23977069622734
OCEL1	6.76010195748871
ATP11B	5.79380847551563
NLGN4X	4.8793942272017
FBXO34	7.71952930536253
ALOX12	3.44583174582185
RB1CC1	6.98122015840304
PCDH12	4.45993784673571
RPE	4.24174215957722
EIF4E	6.16094407111262
CSDC2	3.7267355852741
ABHD5	4.58650745326274
TMBIM1	7.31800389724733
PET112L	4.51533855054030
P2RXL1	3.07048458675571
F2RL2	3.28356868933435
TRMT1	5.4091582187726
IMPG2	3.42317786165252
LRRC32	5.47468566464697
BGLAP	4.10707927831965
HTR4	3.44589601222875
MRAS	4.12556560782952
TRAF6	5.26495322952955
AXL	5.39446504972297
ATP2C2	3.75990128478879
LMNB1	5.50733735847293
TELO2	4.42254950131568
PNPLA3	3.47219712559459
CSNK1E	6.26773110856244
SRP14	10.6228786077833
KCNQ4	3.38757865161721
PIK3C2B	6.19078048449947
C15orf15	8.77519953282465
TUBB2B	3.03472492386775
USP15	5.18442410334454
C12orf41	6.77869899758161
CEND1	4.03537804587451
RNF31	5.13672207313882
TCEAL2	3.64511977753192
PTGER2	5.14165969912454
UBN1	6.8272603167968
SLC5A7	3.31788621182469
SLC31A1	6.60915359542463
ADAM29	3.69289586748235
ST7L	4.06459032514943
GFOD1	6.67728274039956
CTNNA1	9.63650204615341
HRBL	4.00006569587681
CBX4	3.80264247662474
NTRK2	3.80627269623585
FOXN3	5.54601045947815
MFGE8	5.38220987722926
PFKFB2	3.69853956722438
TAS2R4	3.68488941614443
SH3TC2	3.12270747667180
IL10	3.75779090711753
PXMP4	6.44377977703382
RNF167	6.16355447815368
PRMT5	7.52519101275463
TSKU	6.22398577117958
ATPIF1	8.55176950585197
ETV3	3.31674942564836
PAK7	3.06044741016787
PDLIM1	8.95202409950673
CEP63	5.97194614821365
WDFY3	4.82111872257398
RNF126	4.65823861829387
