Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_C03_443104
Composite Element REF	Signal
LRP1B	4.24653084537817
XAF1	4.95618195317576
PLA2G4C	4.68544251615399
APOA2	3.17689552249082
SPAG6	3.11983401729949
KALRN	3.50131276692376
SECTM1	4.74856437386453
THOC7	9.13935227789413
IFNAR1	4.59132579279073
TCTA	6.34363602099083
NY-REN-7	3.21373270872724
TALDO1	9.7298137466298
B2M	11.3126801096620
LPPR4	4.61931012072212
SQLE	6.2722164290712
SEPHS1	6.36582795359847
EIF5A	6.11891905877624
FAM49A	3.8133092364398
YTHDC2	4.21633897138222
EHD2	4.85228261011316
NCF1	3.65849011541618
SPG7	5.66779134501877
ZNF614	3.39856483112433
HOXA5	3.68515481509291
NUP133	6.96611559802248
FGF12	3.65006193641326
SLMO2	7.68982579526888
INPP5B	4.81841376102034
PPID	6.41935279106842
SNTA1	4.96084722569202
IL20RA	4.18068407049744
UBE2J1	5.25652818594369
CACNG2	2.9533270368645
GCM1	3.22781084124244
ELF1	6.95256485960521
TLR5	4.80982493418022
TCFL5	5.7709855329379
C1orf107	5.38128364714784
C19orf22	6.8440031634631
SAFB2	6.59102086456882
MAP3K7IP1	3.78560292730043
NCK2	7.84579419188629
OXA1L	7.1305551668241
KIAA0652	5.56122990104765
KLRG1	3.16466559865393
FRAG1	6.41888576253852
ZSCAN12	3.16866201968205
PSMD12	7.46309525903016
E2F4	5.19573549697368
CLEC4M	3.45053305390599
KIAA0999	4.55476307787840
CLDN10	9.40228658961888
MGC13053	4.3503125461277
TAC1	2.80508384893808
GYPA	3.32949307380831
HPCAL4	3.41383643157309
TRAIP	4.98698758795349
MEX3D	4.7312488960093
KIAA0232	7.53884940148455
ERCC8	4.91301072661124
NFAT5	4.61852810865077
GPX4	10.0941224778816
CSPG4LYP1	3.33979659809823
KIAA0368	6.21490322008073
FBXO3	6.89130200766507
DVL1	6.33840860351484
CMKLR1	3.64939236592799
GPR157	3.18885985194093
TYMS	9.22026362267253
OR52A1	3.0936757825557
PEF1	6.59184827918021
ZNF750	3.12696310172162
ALG9	5.62339012798732
MCM5	5.25344414915627
SDK2	3.68469629996826
BAIAP3	3.81533667764534
RABGGTB	6.70532252662158
KCNK7	3.42671788581565
PTP4A3	4.8477524411693
ANKRD40	3.88470396925663
CALCOCO2	6.73547721113779
TMSL8	9.58099215443176
SNCA	5.30355920009664
ZNF551	4.7864674638597
HBQ1	3.63702324717866
ARHGAP26	4.17422792835904
GEMIN6	5.85528501588548
HRAS	6.24927667465889
KLRC4	2.79492556386763
BSDC1	5.96933531232038
DSC1	3.92843451941012
RNF43	4.79936453523735
NDUFAF1	5.64799730656154
MAP2K4	4.90164058281518
FOLR2	4.65137222438492
LYZL6	3.51773593848826
EPB41L3	3.53244165905405
TEKT2	4.48263909761955
CDKN2B	3.40150337244750
WSB1	6.35030944329502
ZNF480	4.12306789543998
MAP3K6	3.74925301217888
PROS1	6.85201832771268
PSMB8	6.76135451526354
HN1	7.98077517811686
MAS1	3.29101973979459
APOL1	4.2685428569366
CSHL1	3.12979333187661
ZBTB7C	3.04197307491007
AHCTF1	5.72567246788392
SAE2	8.47547183903122
ITGA2	4.40041811524013
AP2S1	8.15043496362118
P15RS	6.4589880228247
MME	4.41453724401261
VAT1	6.77371824158987
MAST4	5.05611127271214
TUFM	8.24296937885762
KRT33B	3.60150093146665
THEG	3.85582393071656
KCTD2	5.84406725945023
WDR26	7.78713625647048
MFI2	3.3000612018461
KRT34	3.08455766028877
NR4A3	3.36388489892313
SGSM3	4.36874463027351
ARSA	3.41049832209507
TOMM22	5.26239841714773
SOCS3	3.60711715946371
UNKL	3.56030834185273
POP4	11.5225680026690
BHLHB3	9.23828679313
MALL	3.79846309939057
SOX15	3.58375341479546
CCNA2	6.94787981587539
PARK2	3.43326425571775
GPR124	4.30853596016229
TMEM132A	5.52200639456563
CGRRF1	6.51218164758467
RUVBL2	7.6758626235718
MCAT	5.55817404442696
WNT10B	3.51830773658547
ISCA1	6.86031882307459
RPAP1	4.35804253318852
C12orf48	5.68589256232006
RAI16	5.19727219526794
RPL27	9.53156196221452
EPN1	3.74373776106038
MAGI1	3.21714020242581
GBX2	3.43976609323223
SLC35A1	6.89609020890975
GAL	3.75227303663412
SLC14A2	3.53633176984139
RDH11	7.14107948563983
ZNF518	4.56354786784877
PCYT1B	3.26463330211996
AUH	5.97843003434018
EIF3H	10.7263631778858
KIF1B	7.18140995244393
MBD2	4.60548234396125
AMOTL2	8.2623799207422
C6orf120	5.7605108331278
PIGT	7.64840838425449
PSRC1	6.39116661290804
PLA2G10	3.52290222933896
ALAS1	7.02153308001712
FOXO1	7.83841232467332
C17orf62	7.57165741123894
KIF5C	6.77206554121728
DUSP10	4.96651522110606
CRLF3	7.0946705059089
CLCNKB	3.49028302672601
PSMA5	8.50687412223375
FARS2	5.5333796412256
CCDC28A	6.59961880345064
AMPD3	4.89429183411488
PIAS1	7.08918827206629
ADCYAP1R1	3.37434251366874
TMEM134	6.77407108232283
CDH20	2.93352443909287
FBXO7	7.74395753589262
FLJ14213	3.56587687154949
ZNF3	6.16416378943630
LRRFIP1	6.66167449340172
TMEM49	9.4501648893642
CNOT2	7.54677061234826
CBX2	2.93273496747179
ZC3H14	6.32465192851305
ALDH5A1	5.73543423931901
HNT	4.33124663692004
SERPINA4	3.15951383797368
FLJ20920	5.25176280171823
CRTAP	5.13679762809398
DDX50	8.061927847419
STYXL1	6.35921456315754
TK2	4.57384974626554
BLVRB	5.7226048338503
STMN1	7.71375368794193
GUCA2A	3.53928189365582
DPP6	3.10915745332653
GALNT10	4.08340320025427
STK39	5.13598446145275
MMP24	4.74076371136289
CKS2	10.1000946006069
RHO	3.74576181233944
BANF1	9.12921099864084
CR1	3.0610609679546
RPS6KA2	4.94969911868337
HMBS	5.70692711281433
C20orf112	3.89492033647347
SLC25A24	7.1610056010362
MRPL22	7.05276404718608
SLC25A15	5.56733352253018
GADD45B	5.14178752990246
TDP1	5.38378931324816
ZNF287	3.52867432117710
DAAM2	4.28581153241945
C11orf57	5.63567993124553
RFK	6.46556926940019
ZFYVE9	3.95452505937361
TCTN3	6.84613127509775
STCH	6.43330233813946
LOC283871	3.71272964941441
NDUFB3	7.44955762168717
DEFB4	3.761681280339
FPR1	3.69198189779257
FMNL1	4.05374677806846
SEPT7	9.12401573650855
PTCD2	4.88836608591403
GNLY	3.47448416478913
GRAMD1C	5.83810335246213
ZNF165	4.97276405680488
TR2IT1	4.01188530026253
ARMCX3	7.8241379537807
NDE1	6.22127174032856
MAGEF1	7.61018397503156
ITGA10	3.92989903669532
ARHGDIB	7.7231036577503
FSHB	3.94896157031072
ANXA2	11.0566517707911
HLCS	3.96580673854225
MCF2L	4.63157996541518
AK1	4.90521198600467
FH	5.65747993853488
LGALS2	3.85730248858161
SYNPO2L	3.01912034573930
KIAA1045	3.41731803461837
C1orf183	4.68418337345984
MAGEA8	2.88383764168330
DGCR8	4.97219504977588
GSR	4.04901893144207
NEU2	3.38090860367412
HIST1H4B	3.43318897947871
CACNA1C	3.26584078182908
FAM20B	5.83182330333227
HES2	2.91153727604287
PDCD6	8.36970556415529
INTS7	4.10351305182776
AMPH	3.90126336993215
UCKL1	6.42958399023757
ASB4	3.07536979051745
C10orf97	5.41788186629307
ALDH1L1	4.04821594810946
CCL23	3.28561218117037
OBSL1	4.58185900576277
SLC12A7	6.26229073319487
THAP4	5.75062163718514
RBM4B	5.72038142357956
OGFRL1	4.1750435923202
KIAA0831	5.51581988657749
C12orf11	6.42093334065208
PPP1R15A	4.931047301581
KIAA0240	6.00755105268163
CD1B	3.48308544826240
FCGR2A	5.00504350826842
MDC1	5.72141277273157
MAN1A1	3.3268735347748
KRT9	3.31410081380028
HTR1A	3.36637624705591
OCEL1	5.69811687715463
ATP11B	6.28296778455911
NLGN4X	5.21825414181366
FBXO34	7.06359405567282
ALOX12	3.3225539759546
RB1CC1	7.5163484373387
PCDH12	4.70158334625408
RPE	4.35722592222134
EIF4E	6.25576150371111
CSDC2	3.65731016201704
ABHD5	4.85368990336883
TMBIM1	6.22374911944129
PET112L	5.19891723935863
P2RXL1	3.12044878280804
F2RL2	3.16464319743854
TRMT1	5.76304850811399
IMPG2	3.61669645474226
LRRC32	4.60443864542318
BGLAP	3.95238338448393
HTR4	3.40951122995172
MRAS	4.61643711601741
TRAF6	4.78415815101829
AXL	5.25360904577802
ATP2C2	3.17336513586781
LMNB1	5.35625153183649
TELO2	4.61777301950319
PNPLA3	3.47977212445749
CSNK1E	6.85718714205708
SRP14	10.2237448484559
KCNQ4	3.34527867462514
PIK3C2B	4.80946375457288
C15orf15	7.67193599195293
TUBB2B	3.61898305539959
USP15	5.22873077945878
C12orf41	7.82712451264581
CEND1	4.01318174427442
RNF31	4.28173268512414
TCEAL2	7.10237366684054
PTGER2	3.92891292027408
UBN1	6.33482756455933
SLC5A7	3.15681125725268
SLC31A1	5.58401984254977
ADAM29	3.42156754133063
ST7L	4.26735106937469
GFOD1	4.60950792074065
CTNNA1	8.8171001793119
HRBL	3.78598588875347
CBX4	3.39937363767019
NTRK2	3.70817109614158
FOXN3	4.76019964330692
MFGE8	4.85059728972882
PFKFB2	3.75209159262752
TAS2R4	3.62831525940682
