Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G02_516324
Composite Element REF	Signal
POLRMT	4.77779658954682
ZNF146	7.65582559304649
MIA2	3.32338054810997
LY6G6E	3.14958867360385
EIF4E2	8.52631750580813
NENF	4.92140440814854
HOXB5	4.02686616669396
ZNF324	4.32373924194393
CUGBP1	4.39680086686303
ENTPD7	5.31544410903847
TTC13	5.62636409182174
GJB5	3.23405257384362
PRSS22	3.83851446718264
CYP3A5	3.29880011178724
MBOAT5	4.35574923882117
CUL4B	5.90484755510506
CENPJ	4.15215267619992
KIAA0664	6.2365329374853
PITX1	3.30517084752404
PDGFRB	6.20388400147475
RDX	6.56412797041085
CELSR3	4.61137596161259
JUND	6.1537677081032
ITSN1	5.54259561000212
CHRNB1	4.34570153089866
EHBP1L1	3.46442110925674
C19orf2	7.06666816808694
FETUB	3.23735644435002
CAMK2B	3.20319907086207
DCTN1	6.4030384268619
TNKS2	7.41932591305284
MRTO4	7.73082397274243
C1QBP	6.54728782898393
TTC3	8.83353512467867
NDUFB8	8.84763250573758
CADPS2	5.07949764209532
EDG2	5.5247147063674
MYF5	3.03730011041466
SEMA3G	3.42197542468702
IL23A	3.50638761247619
GJA9	3.51059975680953
R3HDM2	6.65385850867782
C5	4.36859331507546
SLC2A10	7.28185505438552
TRIM45	4.32436365117843
TSP50	5.26067723615698
PAQR3	4.52553980593559
ANKRD26	4.14448741201369
TCP1	7.70486267525308
TMED7	6.64821877193848
CMA1	2.92247434096043
PTCRA	4.19701311691778
HCRTR1	3.61071567046139
FST	4.61413141720721
PAWR	3.71406226752258
LDLR	4.27850915296672
ASTN2	3.72339909857382
SCRN1	8.34889804198482
GPATCH8	5.62868838049523
KIF4A	6.4299617842514
TANC2	4.72250394354148
ZMYM5	3.80335555349335
PGM1	9.03185379269551
ZNF586	4.04758908106956
POLR3G	3.62886500643728
CPD	5.6055642926414
SNCAIP	3.82377072097837
DCT	3.38693814094357
HLA-DOA	3.26754424466026
TANK	5.59687912896677
RCAN1	4.59731014658756
UPK1B	4.79612409568659
DNAJB4	5.1281441406708
UGT1A8	3.28246858326744
LIMD2	3.42519733155512
HIST1H4L	3.55327410041447
PECR	4.05546482385747
HSPA2	6.24844373109873
SERP1	9.24404221298365
TACR2	3.87695621851307
NUP85	6.44320105937715
CD177	3.48326852653378
GPR135	3.24845705040012
PIGG	5.67789520361594
LGR5	3.71433860150136
JAK2	3.28105274545623
DPYSL4	3.34076423620347
TM9SF4	6.71789047942428
PTHR1	3.39000267861014
SIRPG	2.74124950678816
ZNF264	6.33976180918422
BICD1	5.69119474731774
RAB5A	8.20630493707413
FLJ13224	3.49641849397975
METTL5	8.6375637169133
HERC6	4.36787155232986
CASP1	4.51507995107947
USP9Y	2.75314022184463
LRP1B	2.86491713813511
XAF1	4.10901649249515
PLA2G4C	3.57812503308469
APOA2	3.27430150735383
SPAG6	4.17641712562957
KALRN	3.61984405982376
SECTM1	5.53130351773279
THOC7	8.88196475359623
IFNAR1	4.8531655186003
TCTA	7.91946712530882
NY-REN-7	2.91553605064578
TALDO1	8.96276365189576
B2M	11.4583650571314
LPPR4	5.52320825655282
SQLE	7.21790165497975
SEPHS1	7.81803628851222
EIF5A	6.50701778010278
FAM49A	3.79821329835191
YTHDC2	4.18267091999007
EHD2	5.37367273636662
NCF1	3.50331502496082
SPG7	5.59276017964227
ZNF614	3.48923609870558
HOXA5	4.05942236315473
NUP133	7.17151019246716
FGF12	4.2504736499603
SLMO2	8.61055516865481
INPP5B	4.43708556906742
PPID	7.26164689940036
SNTA1	4.23148400349256
IL20RA	4.33887400037864
UBE2J1	6.10073884388181
CACNG2	2.97944761235903
GCM1	3.26306814270267
ELF1	5.62972858275908
TLR5	3.89968384236749
TCFL5	8.08234560857441
C1orf107	5.64319210137057
C19orf22	7.49308607474001
SAFB2	5.70659750710408
MAP3K7IP1	4.26947671642656
NCK2	8.14588551393684
OXA1L	7.21327764886698
KIAA0652	5.46983952406812
KLRG1	3.68304310959077
FRAG1	5.90037228822615
ZSCAN12	2.87607707230559
PSMD12	7.54387105063603
E2F4	4.92108028533056
CLEC4M	3.56841669603877
KIAA0999	5.06383051807483
CLDN10	4.28653647030160
MGC13053	3.92656303137218
TAC1	5.15336168403419
GYPA	3.34038951136324
HPCAL4	3.38627089748786
TRAIP	3.97453205020002
MEX3D	4.91081132901365
KIAA0232	7.84580280413236
ERCC8	4.67101425948969
NFAT5	4.39319050282362
GPX4	10.4376503641258
CSPG4LYP1	3.06063277466863
KIAA0368	6.26826085328712
FBXO3	5.93879322938199
DVL1	6.66672905273072
CMKLR1	3.51042904879962
GPR157	3.44235646883645
TYMS	8.35963509753193
OR52A1	3.34423345516554
PEF1	7.7772605332635
ZNF750	3.40792588771276
ALG9	6.19610665169015
MCM5	7.13099278853447
