Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_B06_433720
Composite Element REF	Signal
STCH	6.3681235507776
LOC283871	3.51205237190115
NDUFB3	8.32184994385412
DEFB4	3.84112242091318
FPR1	3.82731100985918
FMNL1	3.98468268687993
SEPT7	10.0044661766161
PTCD2	4.8180381419777
GNLY	3.44004007103726
GRAMD1C	7.03242447400923
ZNF165	5.54361020045496
TR2IT1	4.67906499951555
ARMCX3	8.2955315793856
NDE1	5.67968926893707
MAGEF1	6.8630185640948
ITGA10	3.53083148719214
ARHGDIB	8.22505235744162
FSHB	3.61999748878518
ANXA2	9.37914221194928
HLCS	4.55717338849982
MCF2L	4.06237970366898
AK1	5.88784523454478
FH	7.09833558409363
LGALS2	3.72036054690315
SYNPO2L	2.72630496430379
KIAA1045	3.44766555920579
C1orf183	4.56674634769915
MAGEA8	3.17787768642443
DGCR8	4.65507612773092
GSR	4.81518127287102
NEU2	3.30416565930788
HIST1H4B	3.30404906840697
CACNA1C	3.00819504337619
FAM20B	7.52621934596081
HES2	2.90243464477385
PDCD6	9.30904357679146
INTS7	6.59634879266762
AMPH	4.74073890784292
UCKL1	4.75629630745344
ASB4	2.98687026955683
C10orf97	6.09633377315543
ALDH1L1	3.96010253772022
CCL23	3.14460270169766
OBSL1	4.65674725955909
SLC12A7	6.95320801484421
THAP4	5.72493096174164
RBM4B	5.70955325825313
OGFRL1	5.35211605091188
KIAA0831	5.73755558038477
C12orf11	8.61735648131049
PPP1R15A	4.25322065024864
KIAA0240	6.04182038207379
CD1B	3.21466700033676
FCGR2A	5.07254431453788
MDC1	6.1987192977053
MAN1A1	6.7224858075519
KRT9	3.56685792698599
HTR1A	3.31010793644654
OCEL1	5.95527138935701
ATP11B	5.67795905858257
NLGN4X	3.65690848522558
FBXO34	8.20104597948281
ALOX12	3.63245944753262
RB1CC1	7.58059958979445
PCDH12	4.96240367735487
RPE	6.36954316773649
EIF4E	6.84917924217718
CSDC2	3.89549688577359
ABHD5	6.05906632178879
TMBIM1	5.733029704295
PET112L	5.30199164669939
P2RXL1	3.16341504801173
F2RL2	3.03425491610081
TRMT1	6.29349522356137
IMPG2	3.40868308425549
LRRC32	4.49959957930116
BGLAP	6.72199552830513
HTR4	3.43026302929136
MRAS	5.45412643665553
TRAF6	5.48403479159426
AXL	5.24328208669534
ATP2C2	3.27105489598019
LMNB1	6.40810423984238
TELO2	4.33929574709753
PNPLA3	3.84421843422138
CSNK1E	6.34262704365307
SRP14	9.9221284038516
KCNQ4	3.38277493262101
PIK3C2B	4.90325364988945
C15orf15	8.53900470642263
TUBB2B	8.36219239426874
USP15	5.45038756147243
C12orf41	8.1031523572733
CEND1	3.65584022034283
RNF31	4.38043120663071
TCEAL2	8.3942822553824
PTGER2	3.95910138473623
UBN1	6.01646520591833
SLC5A7	3.40497859093855
SLC31A1	6.53198058686652
ADAM29	3.47133758893235
ST7L	4.25033384194388
GFOD1	4.34767745784411
CTNNA1	8.93773704111395
HRBL	3.51163009513833
CBX4	3.97945781766086
NTRK2	3.48038468387719
FOXN3	6.48889581825902
MFGE8	5.32306850814769
PFKFB2	3.77504587420065
TAS2R4	3.52550479898492
SH3TC2	3.15993137310913
IL10	3.26135522228692
PXMP4	6.25700953018148
RNF167	6.25559454798474
PRMT5	7.56093999516783
TSKU	4.84444085650951
ATPIF1	7.65299996355966
ETV3	3.48611370974945
PAK7	3.93181714229791
PDLIM1	9.5946888532359
CEP63	5.82176366829566
WDFY3	4.54772885863109
RNF126	5.006189259128
DPM1	9.06138536711537
CLIC4	7.05975752625601
ACR	4.00331957072946
KLK7	7.85689147107256
ALOX5AP	5.62643427939775
LRP1	4.52881916243472
TNK1	4.40035530893183
TAS2R9	3.07094261281584
ZNF16	7.92610258635443
POLR1B	5.88289777107414
SLC8A2	3.6554147674301
OLFM4	2.75869351101103
TACC1	5.89579907755612
SAMHD1	7.64644719499764
ATP13A2	4.21710262229414
KRT4	3.43499274503765
PAX6	3.42697503615823
SCG2	3.20099944968549
SLC17A6	3.2529108110887
TUBB4	3.7738446827541
PADI4	3.08007793526255
FMO3	3.01640790433222
NLK	4.20320773533826
POU4F3	2.89265648247989
MDM2	3.38695879004684
CAPNS1	9.06257717130983
SDF4	6.90436193279192
ITGBL1	3.48721811783874
TAP2	4.70513550221439
OR2C1	3.43602078579912
KLHDC3	7.46599976518695
EFHD2	5.45961409632392
GALR3	3.70173318851025
NBEA	5.57833375999232
ABCA6	3.13802534980673
ABBA-1	3.73684585487581
GNAI1	6.78360976749734
CLDN3	7.75563455422076
AKT2	3.30851665720874
EGFR	4.53597988286153
VPS4B	8.21836161542187
RBM16	8.0384634079107
GALNT6	5.57588923212592
ZDHHC3	6.07239106143315
SLC25A4	6.13379287373243
CYB5B	6.00048731651989
NDRG1	7.40214369753966
SESN1	5.36747180930121
GBE1	6.03255748280544
MRPL46	7.90578379530351
CLASP1	6.3874534910203
FARP2	4.02481164223552
ACOT11	3.5428002143465
LDHAL6B	2.79528039181447
MAPKAPK3	5.89220361866586
NCAM2	2.91779744955157
AFAP1	4.04465826052807
PRKD2	6.39365217672095
OR2H2	3.16094468642484
ZFP36L1	6.47557425514082
DZIP1	6.14672900715955
GPR161	4.75598766962496
RNF146	6.26456401095423
NKX3-1	3.76780771882299
CCNB2	8.08525264908399
ZNF10	3.53498210666039
WDR74	6.34026779652815
FAM134A	7.12139755509725
PCNP	9.00573350043889
PURA	4.61079056519416
DNPEP	7.00443822982195
ERBB2	5.06252496606307
CREB1	6.54249170286093
NEO1	5.71631406305812
DDX3Y	3.31244649032234
RPS3A	12.6308846564359
MXRA7	9.28550424065514
LGALS3	10.6663752871093
GLT8D1	8.6996464748723
TMPRSS3	8.10086906926774
UPB1	3.11737407624642
LAT	4.18145772496545
CLDN14	3.57894813109166
DHX38	5.241702014886
KCNA3	3.90995678960007
BTBD1	8.55154551766819
TARS2	6.39533591611784
SKIV2L2	7.88475724753912
ABCF1	7.92027097728092
CDT1	4.14671906464405
ZHX2	6.07667111419796
FCF1	5.44880091803163
LRRC49	7.49609417061814
GUCY1B2	3.53864103933231
CD28	3.18941272180679
SMARCA4	7.81022741387835
SEPT2	9.15331436381796
SOHLH2	3.69279309075267
MCOLN3	5.15662812787103
LRP8	6.1000097174331
TAGLN3	3.61955707812685
MASP2	3.55951923214289
GPATCH3	4.00199241843389
TTRAP	8.65088203272518
AGL	7.04383349292665
NFE2L3	6.8382406281729
PSD4	3.4781624235712
PALMD	6.09451910216356
CCNB1IP1	7.66297819196432
TMEM43	6.50939446907054
OBFC1	5.12795072555905
STAT5B	4.28542239801882
C14orf79	5.26148435371391
ENPEP	4.81311876684104
SSB	9.33496501031795
SCT	2.96476680128908
TIMM23	7.11892222627136
SKI	3.6124574023869
SLC22A13	3.04239815747059
AKAP3	4.36176029160345
OAS2	7.54962006186762
KIAA0423	5.71837243438268
SEC61G	9.69381138498323
CAPN11	3.03318251036289
TMEM50B	7.49759593071341
DEGS1	7.94789657686699
ARHGEF4	4.01929192080418
DBNDD1	3.78852946723945
TBL1XR1	6.62650735997513
FAIM	7.26539957790666
SP140	3.58068353907356
G6PD	5.74707811224259
