Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_E01_452050
Composite Element REF	Signal
HN1	7.8737765808406
MAS1	3.02099705827683
APOL1	5.66494785858389
CSHL1	3.33600756262771
ZBTB7C	2.80236933615147
AHCTF1	6.73729944265432
SAE2	9.56516938228593
ITGA2	4.38133289737556
AP2S1	8.7380948373441
P15RS	6.71345626507098
MME	4.06896159151762
VAT1	7.21222443883188
MAST4	5.05274929034822
TUFM	8.66369609768414
KRT33B	3.52129263328975
THEG	3.81244928105628
KCTD2	5.43411087469583
WDR26	8.6560990116364
MFI2	3.30008774220691
KRT34	3.06006770140052
NR4A3	3.63487606550399
SGSM3	4.66740470441787
ARSA	4.41792138676202
TOMM22	5.54605745807954
SOCS3	3.55990264124223
UNKL	4.18178875266096
POP4	8.07672835462095
BHLHB3	8.75722385998859
MALL	4.4214718768242
SOX15	3.31660319058051
CCNA2	4.89671866745924
PARK2	3.2961334379563
GPR124	5.33858868720351
TMEM132A	5.43845926026381
CGRRF1	5.4540659255475
RUVBL2	8.0704433130544
MCAT	5.79063794083311
WNT10B	3.56522901163822
ISCA1	6.3614308752658
RPAP1	4.4101177257273
C12orf48	4.94406501688097
RAI16	5.65596356403324
RPL27	9.59404537497405
EPN1	3.91175358114282
MAGI1	3.21205904900179
GBX2	3.2290870868774
SLC35A1	7.61364178055899
GAL	3.82742353627648
SLC14A2	3.56633769180963
RDH11	7.20127875554885
ZNF518	4.24323428398445
PCYT1B	3.3732882735351
AUH	6.0950854961954
EIF3H	10.7512044655165
KIF1B	6.61367954592076
MBD2	4.66988915537614
AMOTL2	7.7292225218196
C6orf120	6.22047722946615
PIGT	7.23700844855984
PSRC1	5.82319850646681
PLA2G10	3.58009544638251
ALAS1	6.91683472482283
FOXO1	7.08989897119642
C17orf62	7.44635299134196
KIF5C	6.44495786790272
DUSP10	5.05001667508527
CRLF3	7.45582034502223
CLCNKB	3.26363942857276
PSMA5	8.48551623080952
FARS2	5.101820865113
CCDC28A	5.31403427331502
AMPD3	4.52336034839412
PIAS1	6.25981781413953
ADCYAP1R1	3.37956253065911
TMEM134	5.94734264779964
CDH20	2.88185780194155
FBXO7	7.35432243422655
FLJ14213	3.56743484347342
ZNF3	5.40999372875701
LRRFIP1	7.66321257408438
TMEM49	9.1061916634823
CNOT2	7.32172032488482
CBX2	2.98370975834364
ZC3H14	6.84400450481338
ALDH5A1	5.83398227576325
HNT	6.7782841144154
SERPINA4	3.07959464508577
FLJ20920	6.70257453282345
CRTAP	5.96004472126962
DDX50	7.41434587727718
STYXL1	6.86876915565685
TK2	4.53068863359328
BLVRB	7.05104875636137
STMN1	7.49449868218803
GUCA2A	3.46395959424527
DPP6	3.06677375512344
GALNT10	5.21293002764754
STK39	5.4115548209508
MMP24	4.56231696630989
CKS2	9.2465254815607
RHO	3.82595156735271
BANF1	7.81468650506959
CR1	2.95717592092591
RPS6KA2	6.186883477427
HMBS	6.33376014170328
C20orf112	3.86001877137439
SLC25A24	6.88480465610466
MRPL22	7.44125339150796
SLC25A15	6.48194166753567
GADD45B	5.83316989028855
TDP1	5.71492935514246
ZNF287	3.25677118121781
DAAM2	5.20175825160609
C11orf57	5.5924912551721
RFK	6.929785198145
ZFYVE9	4.17509111913479
TCTN3	6.46034102636728
STCH	6.64478311232453
LOC283871	3.72388317403502
NDUFB3	7.5592728677831
DEFB4	3.63809514353268
FPR1	3.79076260960310
FMNL1	3.93772842184978
SEPT7	9.90648878818727
PTCD2	4.29661575225405
GNLY	3.53957724893472
GRAMD1C	3.86549390718315
ZNF165	5.04945008655912
TR2IT1	3.58021727130185
ARMCX3	7.7947949096977
NDE1	5.71106458652382
MAGEF1	7.30766373659085
ITGA10	3.70935195070592
ARHGDIB	7.83140351160743
FSHB	3.73448946563584
ANXA2	10.8804182228809
HLCS	4.03444737080516
MCF2L	5.38054680563352
AK1	5.55995700567775
FH	6.40361657671286
LGALS2	3.80687535472916
SYNPO2L	2.68781071371479
KIAA1045	3.35005552802166
C1orf183	4.58997898743414
MAGEA8	3.02865477678267
DGCR8	4.99430353809617
GSR	3.91077656803964
NEU2	3.15561656342214
HIST1H4B	3.49872457303496
CACNA1C	3.17800006787020
FAM20B	6.53327292910117
HES2	3.25025981194431
PDCD6	8.38952644385027
INTS7	5.16329142301443
AMPH	4.20405839326360
UCKL1	6.29134820414472
ASB4	3.17190961498534
C10orf97	5.04651022553691
ALDH1L1	4.3335307302651
CCL23	3.17065830194459
OBSL1	4.78709240417905
SLC12A7	7.6286186362118
THAP4	5.74536237925865
RBM4B	5.6300790025873
OGFRL1	4.36469734974207
KIAA0831	5.67014814104993
C12orf11	7.56831822768569
PPP1R15A	4.84983381077962
KIAA0240	5.51978764211784
CD1B	3.12257573235565
FCGR2A	5.34518282441149
MDC1	4.96534684858448
MAN1A1	3.48130155725841
KRT9	3.35656413370728
HTR1A	3.43673771701398
OCEL1	6.0408970313322
ATP11B	6.41024481803333
NLGN4X	7.07712017037834
FBXO34	6.45947839715994
ALOX12	3.56967832858479
RB1CC1	7.03801371299929
PCDH12	4.99989431278999
RPE	4.83224422867686
EIF4E	6.27224790125398
CSDC2	4.05176687505946
ABHD5	4.97725354166604
TMBIM1	6.35080527222106
PET112L	4.85817028223411
P2RXL1	3.24009225261127
F2RL2	3.37328933572826
TRMT1	5.74203357564341
IMPG2	3.41767832516935
LRRC32	5.53034060683267
BGLAP	4.38206194735808
HTR4	3.36424809333196
MRAS	5.03463560227236
TRAF6	4.85990676892352
AXL	5.40127953659653
ATP2C2	3.4328478308093
LMNB1	4.82086249390309
TELO2	4.93622545862567
PNPLA3	3.47425218231522
CSNK1E	6.89779912017877
SRP14	9.76624156351765
KCNQ4	3.31901589909153
PIK3C2B	7.09622131799611
C15orf15	6.9228460492161
TUBB2B	3.24193792166671
USP15	5.39525968071512
C12orf41	6.91314881972729
CEND1	3.85607183996517
RNF31	5.22648672165575
TCEAL2	4.93228216618418
PTGER2	5.04812030527632
UBN1	6.74616554381523
SLC5A7	3.10328172459109
SLC31A1	5.73334143021932
ADAM29	3.43823169299836
ST7L	4.37335665062423
GFOD1	6.63080124570538
CTNNA1	8.39606040902725
HRBL	3.68519086108334
CBX4	3.60474120347976
NTRK2	3.56307230297804
FOXN3	5.48900071700789
MFGE8	6.96563423093909
PFKFB2	3.95218321992396
TAS2R4	3.64383263483857
SH3TC2	3.00225224567415
IL10	3.51678255796007
PXMP4	6.02288758325177
RNF167	5.68737931457175
PRMT5	7.00185364155702
TSKU	5.86224412983578
ATPIF1	7.95667871250789
ETV3	3.2583591434418
PAK7	2.98049210376743
PDLIM1	8.06835909441223
CEP63	4.70720903032282
WDFY3	4.60753102029874
RNF126	4.41981645445401
DPM1	9.07075676707263
CLIC4	6.37673601403717
ACR	3.65024275922753
KLK7	7.14686291373918
ALOX5AP	4.69599965626171
LRP1	5.73995979853252
TNK1	4.28961958973845
TAS2R9	3.00463333171995
ZNF16	5.88521282690244
POLR1B	5.97660091818617
SLC8A2	3.86273117907978
OLFM4	2.80977401539148
TACC1	5.14686415643345
SAMHD1	6.51769773847963
ATP13A2	5.67469518321102
KRT4	3.70978156212889
PAX6	3.61350408597135
SCG2	4.20175660669554
SLC17A6	3.19264183176621
TUBB4	4.32114006157849
PADI4	3.03525402411425
FMO3	3.44363714266573
NLK	4.46593128298304
POU4F3	2.93896547771176
MDM2	3.46139551145617
CAPNS1	9.19654945006743
SDF4	7.26793094615072
ITGBL1	5.80110235325426
TAP2	3.72667094316128
OR2C1	3.65286783433576
KLHDC3	6.49601759040287
EFHD2	5.73794264065034
GALR3	3.61724672208548
NBEA	5.7960515937847
ABCA6	3.45779967505499
ABBA-1	4.10510891916248
GNAI1	5.85966112904331
CLDN3	7.8403507402241
AKT2	3.40340620171536
EGFR	4.50410249075717
VPS4B	6.70245711869424
RBM16	7.52558257778036
GALNT6	4.76665244332495
ZDHHC3	5.30568479768679
SLC25A4	6.60963438805427
CYB5B	5.7075159585682
NDRG1	8.29914777624774
SESN1	4.51443029976741
GBE1	7.13918581490736
MRPL46	5.39978484513398
CLASP1	5.85091160771466
FARP2	4.78718449245157
ACOT11	3.82869493033904
LDHAL6B	2.91423273856729
MAPKAPK3	5.77168813395794
NCAM2	3.13111669964028
AFAP1	4.89508578854572
PRKD2	6.24425871685593
OR2H2	3.2426182283101
ZFP36L1	8.04019539109269
DZIP1	5.29771855922075
GPR161	4.48822654155632
RNF146	4.18039953437288
NKX3-1	3.95188932234223
CCNB2	7.02851887843144
ZNF10	3.56246009961632
WDR74	5.475397496214
FAM134A	7.3672656964297
PCNP	7.8739649330421
PURA	5.48387345467273
DNPEP	6.64154663764139
ERBB2	5.21267241047527
CREB1	5.52450632517246
NEO1	4.96878595268424
DDX3Y	3.23210146327000
RPS3A	12.4253657493167
MXRA7	9.86694561910239
LGALS3	10.3640225440613
GLT8D1	7.70467917907154
TMPRSS3	7.61278898683968
UPB1	3.22748550725253
LAT	4.09173656633907
CLDN14	3.64881002109377
DHX38	4.06312150842689
KCNA3	3.31867050810516
BTBD1	7.75887331358475
TARS2	5.46308777334682
SKIV2L2	6.22600214166268
ABCF1	7.53328766487538
CDT1	2.95536860031407
ZHX2	6.28747510433069
FCF1	5.04162222482515
LRRC49	4.54681994073154
GUCY1B2	3.50085050881107
CD28	3.17045109598249
SMARCA4	6.56162509101476
SEPT2	8.60650258402508
SOHLH2	4.11385993893484
MCOLN3	4.01657946222817
LRP8	5.71504093923107
TAGLN3	3.92056575316256
MASP2	3.76022980069006
GPATCH3	3.92875039922715
TTRAP	8.3160997469068
AGL	7.13451907280762
NFE2L3	4.75206647252556
PSD4	3.72014998873366
PALMD	5.78587297606925
CCNB1IP1	8.5626778586133
TMEM43	6.431562002291
OBFC1	5.93131463264989
STAT5B	4.29458415227205
C14orf79	4.30049193346423
ENPEP	4.52400037042098
SSB	8.21461231158259
SCT	3.34350373629072
TIMM23	6.26465649387423
SKI	4.09659468684203
SLC22A13	2.89729736109696
