Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D04_298068
Composite Element REF	Signal
PCNP	8.96657867529242
PURA	5.37579181462776
DNPEP	6.91905543569335
ERBB2	5.09255424508273
CREB1	6.65271064167503
NEO1	6.23937418611547
DDX3Y	3.30314750407533
RPS3A	12.8762989468423
MXRA7	9.69048677573132
LGALS3	8.55838217404212
GLT8D1	7.81326255120272
TMPRSS3	5.21983838163153
UPB1	3.3552145037006
LAT	3.92107102101349
CLDN14	3.61832108390897
DHX38	5.69006044016226
KCNA3	3.07231729132790
BTBD1	7.60076999017037
TARS2	5.91328196842908
SKIV2L2	7.25630617225648
ABCF1	8.44694899268033
CDT1	4.79993620381033
ZHX2	8.0102069229233
FCF1	4.96431116320783
LRRC49	5.23005181553937
GUCY1B2	4.62560283864292
CD28	3.33275269793903
SMARCA4	7.72294111866537
SEPT2	9.64227186902253
SOHLH2	3.21848046274461
MCOLN3	4.05916487332574
LRP8	4.21635214630695
TAGLN3	3.74950212637508
MASP2	3.56528445426341
GPATCH3	4.28297414539812
TTRAP	8.6967413235501
AGL	5.79770298042011
NFE2L3	3.96519005442440
PSD4	3.41333055096545
PALMD	6.39434297131845
CCNB1IP1	9.68187825146041
TMEM43	6.41997598911807
OBFC1	6.68280057085913
STAT5B	4.43152871970615
C14orf79	4.6378564236777
ENPEP	4.00935692013121
SSB	8.60051854784204
SCT	2.99470846248303
TIMM23	6.76702965412176
SKI	3.71417769266605
SLC22A13	3.42147868269667
AKAP3	4.6444760746765
OAS2	3.83797703187685
KIAA0423	6.1692131998848
SEC61G	9.71858471530184
CAPN11	3.06078695208349
TMEM50B	7.76727480847068
DEGS1	5.98879544476446
ARHGEF4	3.61819235062438
DBNDD1	4.71873980381862
TBL1XR1	5.61922637398051
FAIM	5.24759582035176
SP140	3.28286614868287
G6PD	4.8397939058397
