Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_D12_586150
Composite Element REF	Signal
TDP1	5.45030461414982
ZNF287	3.48947597452984
DAAM2	4.92814740272662
C11orf57	6.76087696631696
RFK	8.47323765640667
ZFYVE9	3.80440461617397
TCTN3	7.90045640908318
STCH	6.80339654913423
LOC283871	3.92914253248056
NDUFB3	8.60626264560508
DEFB4	3.66901089542578
FPR1	3.9673126399913
FMNL1	3.73367418771417
SEPT7	9.73213781482038
PTCD2	4.36276734910679
GNLY	5.55307074177581
GRAMD1C	5.96622775012293
ZNF165	4.96593617174370
TR2IT1	3.73061141234430
ARMCX3	8.00259820864832
NDE1	5.44535552967332
MAGEF1	6.3492184514769
ITGA10	3.72304145745581
ARHGDIB	9.14471642648872
FSHB	3.60645548061892
ANXA2	12.3765007507452
HLCS	3.93067066314144
MCF2L	5.66799182463385
AK1	6.61878583982387
FH	6.39427584342101
LGALS2	4.32652768855254
SYNPO2L	2.69848435321183
KIAA1045	3.35478555074608
C1orf183	4.34057994187574
MAGEA8	2.89220778847784
DGCR8	4.53645710958731
GSR	5.89482525537305
NEU2	3.17432029082688
HIST1H4B	3.57512903401638
CACNA1C	3.00670016795153
FAM20B	5.74450097539075
HES2	3.36629606430734
PDCD6	8.38335506157748
INTS7	5.54505837876442
AMPH	4.16843509192623
UCKL1	5.4496838053235
ASB4	3.03612547495298
C10orf97	5.36485815567947
ALDH1L1	4.13895701407734
CCL23	4.14104143070033
OBSL1	4.75380413985759
SLC12A7	7.04234404782667
THAP4	6.14911199070689
RBM4B	5.9060450187312
OGFRL1	4.9326200009443
KIAA0831	6.14967828604563
C12orf11	6.83531441581849
PPP1R15A	4.9080256014141
KIAA0240	4.83634936464313
CD1B	4.18189169998217
FCGR2A	6.70741137436244
MDC1	4.20277833299637
MAN1A1	3.76319514073926
KRT9	3.37199606764858
HTR1A	3.48146293567076
OCEL1	6.11395561239314
ATP11B	5.78118289201627
NLGN4X	7.40482167592909
FBXO34	6.67883210458441
ALOX12	3.41406955725316
RB1CC1	6.60893315508301
PCDH12	4.85194048188534
RPE	5.53366076255262
EIF4E	7.54538790749428
CSDC2	3.64982233867344
ABHD5	5.4708767924653
TMBIM1	7.40518302247508
PET112L	5.1976608005607
P2RXL1	3.2252037587802
F2RL2	3.22137264612659
TRMT1	4.73110229556317
IMPG2	3.92227887672245
LRRC32	7.05776619812532
BGLAP	5.66024686577854
HTR4	3.35002139041391
MRAS	4.91004657709257
TRAF6	4.95052056778063
AXL	5.01249547651197
ATP2C2	5.1306183207226
LMNB1	4.68078766219501
TELO2	4.20630687494005
PNPLA3	3.91092237556629
CSNK1E	6.3855234341768
SRP14	10.4672530378073
KCNQ4	3.23152941394919
PIK3C2B	4.32723657039347
C15orf15	9.51555764391537
TUBB2B	3.56514322828368
USP15	6.5591063058423
C12orf41	8.0996897159199
CEND1	3.59119565534551
RNF31	4.52053344020513
TCEAL2	3.78734672891687
PTGER2	4.52660096159763
UBN1	5.78653337000037
SLC5A7	3.06357480128654
SLC31A1	6.60259444089406
ADAM29	3.53166987169172
ST7L	4.49369801617674
GFOD1	4.55229889022545
CTNNA1	8.69224535669556
HRBL	3.76383378657384
CBX4	3.30176968416116
NTRK2	3.67132390893351
FOXN3	4.58372438244206
MFGE8	6.65402093184572
PFKFB2	3.96837948696622
TAS2R4	3.36364111453179
SH3TC2	3.32389423605104
IL10	3.54614108588992
PXMP4	6.49127621999217
RNF167	5.952574279336
PRMT5	7.73293129955046
TSKU	6.24449130251964
ATPIF1	9.1333125101983
ETV3	3.20573046868426
PAK7	2.932663790216
PDLIM1	10.4341812659625
CEP63	5.29388134514967
WDFY3	4.92991573707521
RNF126	5.11168109484477
DPM1	8.91240321566825
CLIC4	6.97769236083382
ACR	3.76679608210732
KLK7	5.08579384684626
ALOX5AP	8.91612009743204
LRP1	5.10210370173518
TNK1	4.41982583933438
TAS2R9	3.21129777379797
ZNF16	5.88775424049811
POLR1B	5.08651966341926
SLC8A2	3.71704295647214
OLFM4	2.80030135635811
TACC1	4.92029914897242
SAMHD1	6.39722508364334
ATP13A2	4.74545429764241
KRT4	3.7465768501926
PAX6	4.15959606130526
SCG2	3.89755052428907
SLC17A6	3.62882708039752
TUBB4	3.68568557348937
PADI4	3.04790787233878
FMO3	3.31521176625712
NLK	5.04439578706804
POU4F3	3.14612829410619
MDM2	3.3871840696593
CAPNS1	9.78336047875598
SDF4	6.85549167122392
ITGBL1	3.86384663900580
TAP2	3.81950329289359
OR2C1	3.45721402814979
KLHDC3	6.54720273757971
EFHD2	6.69275883021566
GALR3	3.62202432990661
NBEA	4.89150162119919
ABCA6	3.54540523042014
ABBA-1	3.72226867912305
GNAI1	5.5192424703673
CLDN3	8.0043667315715
AKT2	3.35807849424795
EGFR	3.97694391217026
VPS4B	7.50867564804364
RBM16	7.46668913762814
GALNT6	6.01948400635912
