Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G05_297928
Composite Element REF	Signal
ZNF750	3.78777007219295
ALG9	6.03035798420536
MCM5	5.27941873140437
SDK2	3.70004489779015
BAIAP3	3.92034349555286
RABGGTB	6.56686500925092
KCNK7	3.23757278683662
PTP4A3	8.62007906471773
ANKRD40	3.84391788934991
CALCOCO2	6.67906188447165
TMSL8	4.03533558766288
SNCA	4.34015340782562
ZNF551	3.79723682001723
HBQ1	3.34835373634742
ARHGAP26	5.89967029134113
GEMIN6	7.76488231925071
HRAS	5.30465114446821
KLRC4	3.05126620465189
BSDC1	5.81753752222239
DSC1	3.89915037048044
RNF43	5.10774403272713
NDUFAF1	5.67818274367329
MAP2K4	5.21146503333332
FOLR2	4.43011700989013
LYZL6	3.38442845630849
EPB41L3	3.4167349150009
TEKT2	4.26104296342891
CDKN2B	3.80699902148881
WSB1	7.11801366201143
ZNF480	3.48557224345717
MAP3K6	4.57754822767783
PROS1	4.65123994599355
PSMB8	7.5872833160382
HN1	8.87792364360878
MAS1	3.49087339517689
APOL1	6.28636161589995
CSHL1	3.91273906837555
ZBTB7C	3.14934461426917
AHCTF1	7.33200594393113
SAE2	9.10854423713992
ITGA2	3.78502634817999
AP2S1	7.66823459283226
P15RS	5.59138914493011
MME	3.25080728383831
VAT1	6.96263613993026
MAST4	6.18323767792899
TUFM	9.91915047940099
KRT33B	3.49015152882673
THEG	3.89375784530553
KCTD2	5.0950375135113
WDR26	9.54027646502611
MFI2	3.42856962388139
KRT34	3.08478763064766
NR4A3	3.94615721006483
SGSM3	4.95674853757434
ARSA	4.64585673517332
TOMM22	4.96343879213202
SOCS3	3.89008704245326
UNKL	4.22793904527596
POP4	7.30385681910509
BHLHB3	7.72013255393301
MALL	3.23450609893840
SOX15	4.67698706073177
CCNA2	5.09411732201459
PARK2	3.45969438419693
GPR124	3.76569947610431
TMEM132A	4.31528101688966
CGRRF1	4.80240720420004
RUVBL2	8.26071771760013
MCAT	6.23523302063654
WNT10B	4.16387413384860
ISCA1	6.37169769162718
RPAP1	4.84306841818528
C12orf48	4.59700159154198
RAI16	5.60128351314293
RPL27	9.23923096702784
EPN1	4.05322143430829
MAGI1	3.12071154085486
GBX2	3.48790969134277
SLC35A1	6.42384594796048
GAL	5.59111094554316
SLC14A2	3.60098465117374
RDH11	6.37905466870721
ZNF518	4.09434094081292
PCYT1B	3.49555692586064
AUH	6.94987220666955
EIF3H	11.2980797729848
KIF1B	8.63446410452397
MBD2	4.64134619786717
AMOTL2	7.79827857120616
C6orf120	5.50228904942926
PIGT	7.07960701412576
PSRC1	6.18969367650194
PLA2G10	3.41392666574841
ALAS1	7.11727260411846
FOXO1	6.1817986080244
C17orf62	7.23939225139951
KIF5C	4.69293278445815
DUSP10	6.35308273502895
CRLF3	7.53219395661629
CLCNKB	3.48615864882686
PSMA5	8.55862740609763
FARS2	4.99758919783924
CCDC28A	5.15849612885218
AMPD3	4.21494604373463
PIAS1	5.63037367611713
ADCYAP1R1	3.29029789558698
TMEM134	6.3318798304326
CDH20	3.17916194627784
FBXO7	7.00870900335209
FLJ14213	3.30040381433930
ZNF3	5.10439799632326
LRRFIP1	6.89398923387395
TMEM49	8.66355365259535
CNOT2	6.65585419254711
CBX2	3.01021563217644
ZC3H14	6.00763453967119
ALDH5A1	6.48664147140983
HNT	3.47375194375852
SERPINA4	3.21905578777850
FLJ20920	5.22748932649693
CRTAP	5.50333443778761
DDX50	7.59778331043937
STYXL1	6.97357510857066
TK2	4.46736835387810
BLVRB	7.933318038253
STMN1	7.28659371641196
GUCA2A	3.74361101586643
DPP6	3.35439911496241
GALNT10	4.47343908268673
STK39	6.34395746563225
MMP24	5.13494045794777
CKS2	10.1077724423965
RHO	3.63101026323036
BANF1	9.58168802144048
CR1	3.12914794036149
RPS6KA2	5.03905943539004
HMBS	6.49273460112972
C20orf112	3.66311341706526
SLC25A24	8.07451062621252
MRPL22	8.82725614883671
SLC25A15	5.42580507984189
GADD45B	6.53784448706255
TDP1	4.71443597669853
ZNF287	3.61770498717082
DAAM2	4.42399567995183
C11orf57	5.04273028610005
RFK	7.0357909832989
ZFYVE9	4.56537255367487
TCTN3	5.89260377303268
STCH	4.35165908509553
LOC283871	3.39342790493349
NDUFB3	7.70210577038132
DEFB4	4.52298505578191
FPR1	3.45724584655653
FMNL1	3.93537604265735
SEPT7	9.17689339257648
PTCD2	5.12112970361488
GNLY	3.65304699339296
GRAMD1C	5.13414990721838
ZNF165	4.15715168961509
TR2IT1	4.37405523892061
ARMCX3	6.1571373458761
NDE1	5.54239475547289
MAGEF1	7.28667041699911
ITGA10	4.41769519146432
ARHGDIB	7.05807052415473
FSHB	3.96284703597906
ANXA2	10.3489633988762
HLCS	3.78322997216148
MCF2L	4.85164268521138
AK1	5.11720791191148
FH	7.256362326806
LGALS2	4.03036000502203
SYNPO2L	2.92080387428096
KIAA1045	3.52049111787846
C1orf183	5.28201220939075
MAGEA8	3.43313548128675
DGCR8	4.58647217685704
GSR	6.52935274421088
NEU2	3.78416813785642
HIST1H4B	3.39506430093188
CACNA1C	3.22167974578490
FAM20B	6.0089014774919
HES2	3.41850737272536
PDCD6	9.28888099629876
INTS7	5.90903369549944
AMPH	3.72921951321415
UCKL1	7.04219122722479
ASB4	3.18729014631728
C10orf97	4.53284445630845
ALDH1L1	4.02009640524476
CCL23	3.46368026980047
OBSL1	4.60345667611403
SLC12A7	7.42478036498339
THAP4	5.44791169039141
RBM4B	4.96986988710736
OGFRL1	4.55117091388521
KIAA0831	5.88683459044736
C12orf11	8.18678511643511
PPP1R15A	4.88648223269571
KIAA0240	5.5608341364435
CD1B	3.35613450700876
FCGR2A	4.35772354082205
MDC1	5.5360236510322
MAN1A1	3.52293837672399
KRT9	3.20868267753884
HTR1A	3.25844224824334
OCEL1	6.02416132876761
ATP11B	6.13560471197077
NLGN4X	4.41542548295999
FBXO34	7.70267291660304
ALOX12	3.37746077059696
RB1CC1	7.59463657920271
PCDH12	4.31013429262757
RPE	4.81319824642153
EIF4E	5.57775461823279
CSDC2	3.55563014909919
ABHD5	4.51290667910987
TMBIM1	5.19821450597827
PET112L	4.54056889731056
P2RXL1	3.36642080592488
F2RL2	3.38352408459493
TRMT1	6.22186512445443
IMPG2	3.34219107515264
LRRC32	4.33440178139789
BGLAP	4.00031882060409
HTR4	3.49052223890944
MRAS	3.97940661597462
TRAF6	4.13646503152155
AXL	4.68218954391116
ATP2C2	3.90178013671397
LMNB1	6.11087179921661
TELO2	4.50621253050681
PNPLA3	4.41716065289866
CSNK1E	6.00912400439152
SRP14	9.81031862569457
KCNQ4	3.48440769120464
PIK3C2B	6.03384153871625
C15orf15	7.9769003105804
TUBB2B	4.41609935924813
USP15	4.90077819749515
C12orf41	6.41163640614885
CEND1	3.59981695424023
RNF31	4.45749485772322
TCEAL2	3.35307411760587
PTGER2	4.05758178695191
UBN1	6.11628636728146
SLC5A7	3.34184141841042
SLC31A1	5.44782368314084
ADAM29	3.61954913047345
ST7L	4.25754480822678
GFOD1	5.13628618614398
CTNNA1	8.9382529359802
HRBL	3.69757953860421
CBX4	3.78331541234611
NTRK2	3.75220524030592
FOXN3	5.06427733770928
MFGE8	5.67527277501387
PFKFB2	3.98864932562244
TAS2R4	3.71933481697094
SH3TC2	3.34265701673381
IL10	3.54362270723884
PXMP4	6.45109349055967
RNF167	6.13689351305402
PRMT5	6.14300042319684
TSKU	4.77215819083555
ATPIF1	8.80282053242396
ETV3	3.46781733943036
PAK7	3.27617894160638
PDLIM1	9.3265020416172
CEP63	5.04578915163142
WDFY3	4.40744956909878
RNF126	4.79553119657784
DPM1	8.20980584052012
CLIC4	5.89075336858407
ACR	3.85082750384758
KLK7	7.23446195156635
ALOX5AP	4.87734620613012
LRP1	4.40260941114199
TNK1	4.95665407798509
TAS2R9	3.17054492301796
ZNF16	5.6608353826605
POLR1B	5.24641718616915
SLC8A2	4.03239639093826
OLFM4	2.83896171234626
TACC1	5.91113529760092
SAMHD1	7.25391844657991
ATP13A2	5.54500014948302
KRT4	3.68638350744553
PAX6	4.06822704932258
SCG2	3.67331640897597
SLC17A6	3.3785724244543
TUBB4	3.64549671413486
PADI4	3.21180038524140
FMO3	3.27722779672471
NLK	4.55130060446099
POU4F3	3.48175016922065
MDM2	4.00226752817229
CAPNS1	9.64651564325353
SDF4	7.37818661881512
ITGBL1	3.24830749074804
TAP2	4.03702305238528
OR2C1	3.56625534275162
KLHDC3	6.16034047727036
EFHD2	6.09061448881397
GALR3	3.54062943391192
NBEA	3.86086135364513
ABCA6	3.36839895299433
ABBA-1	4.14473929482375
GNAI1	4.14064319729184
CLDN3	7.52703511169905
AKT2	3.65071268295867
EGFR	4.86029656056702
VPS4B	6.41350449164383
RBM16	7.28620408778143
GALNT6	5.84117330122582
ZDHHC3	4.64452591360643
SLC25A4	5.96381482106302
CYB5B	4.22739780874381
NDRG1	9.33835432917333
SESN1	4.96843363041663
GBE1	7.71462567699147
MRPL46	5.3917045757731
CLASP1	6.0113530185877
FARP2	4.81775365593855
ACOT11	3.91667038184403
LDHAL6B	2.88342442017072
MAPKAPK3	5.92424456315308
NCAM2	3.29792743630204
AFAP1	4.36501320157452
PRKD2	6.40269345519683
OR2H2	3.51121360750883
ZFP36L1	7.34425458915374
DZIP1	3.89952933468255
GPR161	3.83919763576122
RNF146	4.32553013942733
NKX3-1	4.11748251669382
CCNB2	7.29815796343706
ZNF10	4.48977937624214
WDR74	4.92212649788226
FAM134A	7.71243558394749
PCNP	8.83539460969354
PURA	5.55854998733709
DNPEP	7.57012229799559
ERBB2	4.87319400679446
CREB1	4.58862840760493
NEO1	5.71336144601998
DDX3Y	3.29663619523288
RPS3A	12.7981724518666
MXRA7	8.80576640227944
LGALS3	11.2829303257161
GLT8D1	7.21576256168547
TMPRSS3	9.07349993908232
UPB1	3.6445553980789
LAT	3.65146113317657
CLDN14	3.99704859855955
DHX38	4.17966190723578
KCNA3	3.18106655037281
BTBD1	6.99635719784658
TARS2	5.93742222499785
SKIV2L2	7.46836898988626
ABCF1	8.71176137900309
CDT1	3.24476652400242
ZHX2	4.95604384053453
FCF1	4.47749000066973
LRRC49	4.26613441380114
GUCY1B2	4.35546764711627
CD28	3.43675893610438
SMARCA4	6.29434856560222
SEPT2	7.73847711431739
SOHLH2	3.64257706258787
MCOLN3	4.17614940371192
LRP8	6.57284464583959
TAGLN3	3.96028304451076
MASP2	3.43601773480758
GPATCH3	4.42909024475445
TTRAP	7.90380389922615
AGL	6.18795745725626
NFE2L3	4.72962001753893
PSD4	3.98087887680067
PALMD	6.04654103263257
CCNB1IP1	8.28095253162327
TMEM43	7.04695794613733
OBFC1	4.86376167922796
STAT5B	4.16689446741513
C14orf79	4.53030583526324
ENPEP	4.1276625219899
SSB	7.80951232922018
SCT	3.7735913869316
TIMM23	5.50453485615271
SKI	3.7436029013297
SLC22A13	3.6128636615613
AKAP3	3.59682033868943
OAS2	4.23559502954389
KIAA0423	4.60750313978783
SEC61G	9.47030710714484
CAPN11	2.97653615526581
TMEM50B	6.00556270371008
DEGS1	7.68771771752936
ARHGEF4	3.83918254320153
DBNDD1	4.60262921202197
TBL1XR1	4.35761670220170
FAIM	5.16468769266263
SP140	3.55282737699161
G6PD	4.66247725989679
