Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
GSTP1	7.95964179827457
SUV420H1	6.30770167032208
ARHGAP15	3.60266262322833
LTBR	6.68272921557251
TDRKH	3.29509459828918
PSG4	3.56279126659267
SLC9A3R1	6.35318506299333
NBPF3	7.71958862850408
SLC9A3	3.66059136606279
OSBP	5.71295251992193
PRR5	3.92104486262061
CHMP7	5.60244877813576
ADRA1A	3.21297647101062
ASAH1	5.63067739797544
FKBP4	5.71797297727928
ZNF350	4.29421140278679
DOM3Z	4.66845427204048
GIPR	3.73192327335738
AHI1	5.24334586960882
BST1	3.25788745457598
NCR2	3.75442656599105
NADSYN1	4.83922349462069
UBE2W	5.37192058235275
RGS14	4.7120599913491
KRT15	4.15009278744171
SCN11A	3.99831126026821
GFI1	3.67394370928053
FHL1	5.35662538337863
SMC6	5.24252315878333
GATA1	3.61918998517799
OSGEP	4.66559756463721
ARMC6	4.96382504937384
HK3	3.40937798679764
PSMD5	5.4402326230974
RSU1	7.05993192548804
RPL4	11.8664332005654
MAD2L1	6.39433132557187
RBPMS	4.64786230355403
EIF4A3	8.74023276115744
E4F1	5.88776093279922
DLEC1	4.11680304405951
PRPF3	4.52370491889879
EMR1	3.22133827403768
CHMP2B	6.63753209926038
CAMSAP1	4.08361241832846
RPS21	9.25986162329979
XCR1	3.44545795909071
ARID5A	4.30384678800351
RBM6	5.34840966207442
UBE2N	6.52555569618239
KLF4	3.61918505862341
MGC4172	4.87809302136242
LMO4	7.43528352952378
KLKB1	3.44753327156338
HDAC3	5.46366530446462
HP	3.51982074890723
SCHIP1	6.34855365409008
BTK	3.93137243963606
KRCC1	6.93726182733831
PRND	3.03446852918002
C6orf27	4.01247944946937
PIGL	3.45675922383119
CLCA1	4.27948617924032
C1orf112	3.84305125683837
OLFML2A	4.76205127449539
HUS1	4.24916569153348
SFRS6	5.88254547651509
CXCR7	5.50028220474559
UIMC1	5.62812933032116
FXYD2	3.80869978901107
GOT2	8.61560988195632
ZNF667	3.62877669616925
TFEC	3.39057571087148
ATP7B	3.51323025781219
RAB38	4.07302751949121
POLD2	7.2159047236679
PPM1H	4.35958630735263
DCX	3.54899354106772
NFYC	5.16524392057637
ZNF228	4.62591012970767
KIN	5.09749176043357
PLSCR4	7.33915191568097
HIST1H4I	4.11276750861043
PPARGC1A	3.24798906381616
HIG2	7.34505406643248
KCNK10	4.32399357192199
EXOC1	7.54772179945304
OR6A2	3.46722318101178
ETFA	6.40050163557628
PDAP1	4.90416666397504
C19orf6	3.52169651843464
POLRMT	3.89354354639234
ZNF146	8.2579310347388
MIA2	3.2959311652761
LY6G6E	3.29113668561145
EIF4E2	7.07185691991406
NENF	6.20395865807449
HOXB5	3.98176968124828
ZNF324	4.70745539965503
CUGBP1	4.6727098743823
ENTPD7	4.19998799089426
TTC13	5.62919150728677
GJB5	3.52139951630236
PRSS22	4.53696618294865
CYP3A5	3.30310666255368
MBOAT5	4.06363388016917
CUL4B	4.48774890984209
CENPJ	3.74585411550168
KIAA0664	6.7749804462347
PITX1	4.37612446168247
PDGFRB	5.01717474081914
RDX	5.72272416296935
CELSR3	4.98672013668715
JUND	6.83232314454539
ITSN1	4.92379026733325
CHRNB1	3.67489308992079
EHBP1L1	3.54491893103387
C19orf2	6.73390005084243
FETUB	3.09865444053571
CAMK2B	3.38195531231637
DCTN1	6.15833679169263
TNKS2	5.90182496415852
MRTO4	6.00988413116541
C1QBP	5.38680358572752
TTC3	7.88983098820833
NDUFB8	8.21147246003889
CADPS2	6.68158008094308
EDG2	5.01121872292542
MYF5	3.09642112497686
SEMA3G	3.6969208456579
IL23A	3.95730524499645
GJA9	3.5916974189676
R3HDM2	5.36942854745679
C5	4.20201483468748
SLC2A10	5.32398093205264
TRIM45	4.85756314725076
TSP50	4.05157140692526
PAQR3	4.51684987042322
ANKRD26	3.66739788232889
TCP1	7.25526101083762
TMED7	5.8152769611873
CMA1	3.00690335116451
PTCRA	4.33834235861768
HCRTR1	3.54360618882207
FST	4.61311543533572
PAWR	3.76940385726766
LDLR	4.82721010661588
ASTN2	4.11059131367840
SCRN1	6.77669988404842
GPATCH8	6.18404205853439
KIF4A	6.81476540946963
TANC2	5.45970814023772
ZMYM5	3.52950693010842
PGM1	7.36250638707041
ZNF586	4.51383708851637
POLR3G	3.60286941571674
CPD	4.31159478194204
SNCAIP	5.21623564027227
DCT	3.52673658038976
HLA-DOA	3.84499819842382
TANK	4.95612743660738
RCAN1	4.5241153050498
UPK1B	3.47441162785319
DNAJB4	4.8038495916439
UGT1A8	3.71113213781813
LIMD2	3.59872712865003
HIST1H4L	3.83225553023498
PECR	4.01956460001327
HSPA2	5.0898045978395
SERP1	9.07636628292775
TACR2	3.70171478952303
NUP85	7.32790989119328
CD177	3.30448376385033
GPR135	3.38718301764712
PIGG	5.46095126971208
