Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A04_491166
Composite Element REF	Signal
CENPJ	3.63905150555814
KIAA0664	5.1954498590368
PITX1	3.44819408428251
PDGFRB	5.10642540018192
RDX	7.05350583972662
CELSR3	3.9257228439447
JUND	5.95392848080123
ITSN1	4.63959342402592
CHRNB1	3.79690454797984
EHBP1L1	3.75364604327746
C19orf2	9.73262807553678
FETUB	3.10787330816391
CAMK2B	3.17812882322787
DCTN1	5.92772977505842
TNKS2	6.07767306425006
MRTO4	8.30332312338204
C1QBP	6.6060288819053
TTC3	7.39779825729714
NDUFB8	9.03640639473009
CADPS2	4.78807995364743
EDG2	5.24417682383947
MYF5	2.96557381758067
SEMA3G	3.24214892519628
IL23A	3.58128001327092
GJA9	3.43806527837232
R3HDM2	6.31796554361545
C5	3.84146482042122
SLC2A10	5.92834921277073
TRIM45	4.53919206810098
TSP50	4.25531418024026
PAQR3	7.04610950684455
ANKRD26	3.57371478727909
TCP1	8.64586750693764
TMED7	7.20330154736929
CMA1	2.95684618066742
PTCRA	3.98748799302257
HCRTR1	3.88939626942259
FST	4.02176366231049
PAWR	4.0817314502014
LDLR	4.26513441868591
ASTN2	3.53951465665136
SCRN1	5.19561340944455
GPATCH8	5.38328030015127
KIF4A	6.5966182501619
TANC2	3.63705808306331
ZMYM5	3.77510828428780
PGM1	8.69464418408194
ZNF586	6.57156795892724
POLR3G	3.67257813540714
CPD	6.38474001824293
SNCAIP	3.95616839070978
DCT	3.52602097581112
HLA-DOA	3.40525367060351
TANK	6.5529130751509
RCAN1	4.96438626085744
UPK1B	3.69193814298899
DNAJB4	5.28476523091311
UGT1A8	3.34612602213944
LIMD2	3.99396766934262
HIST1H4L	3.66015251101584
PECR	5.31358514853603
HSPA2	6.93512385469105
SERP1	9.67701911623993
TACR2	3.74354157860806
NUP85	7.77977695546385
CD177	3.68065998500667
GPR135	3.06700887609287
PIGG	7.58750342660822
LGR5	3.34864387816046
JAK2	3.48545210839841
DPYSL4	3.27526390701662
TM9SF4	5.68883583687663
PTHR1	3.26917334617963
SIRPG	3.46127034806821
ZNF264	5.56077024437977
BICD1	4.74395733051121
RAB5A	6.84809527727744
FLJ13224	3.1280353970415
METTL5	9.34632164930908
HERC6	7.78728514498679
CASP1	6.47295405107716
USP9Y	2.75123828542786
LRP1B	2.72274406756494
XAF1	6.91502765453911
PLA2G4C	3.78206358248066
APOA2	3.05839939504058
SPAG6	3.08120644626283
KALRN	3.28332083937558
SECTM1	5.53726142009579
THOC7	9.6312490081543
IFNAR1	5.26816288873981
TCTA	6.73286672749049
NY-REN-7	3.15640361995494
TALDO1	10.0199578324642
B2M	12.2337772019822
LPPR4	4.16913611157402
SQLE	6.52901059284758
SEPHS1	7.8308863350086
EIF5A	6.96745266851357
FAM49A	5.6820594181162
YTHDC2	3.66261405301597
EHD2	4.31751529507501
NCF1	3.9830514358393
SPG7	6.03804587460762
ZNF614	4.75858047497086
HOXA5	7.19306102251058
NUP133	7.86649300625637
FGF12	4.26527694961332
SLMO2	8.57473417770463
INPP5B	4.40157849746494
PPID	7.87396446383449
SNTA1	4.09294904315532
IL20RA	4.29702707647099
UBE2J1	5.83483769074766
CACNG2	3.0830588738975
GCM1	3.18302318146400
ELF1	6.64021812219686
TLR5	5.2983485960983
TCFL5	6.12702342079089
C1orf107	6.09095411026493
C19orf22	7.00868182243018
SAFB2	4.90501113792128
MAP3K7IP1	4.00581092619659
NCK2	6.7122957716326
OXA1L	8.13494781934516
KIAA0652	5.34820486068144
KLRG1	3.63964762675665
FRAG1	6.40885486577489
ZSCAN12	3.13815756620752
PSMD12	7.43746864286696
E2F4	5.10461107003137
CLEC4M	3.41155262287055
KIAA0999	4.5866695074849
CLDN10	9.32927817731077
MGC13053	3.80769187042647
TAC1	4.81366074635686
GYPA	3.35054429537471
HPCAL4	3.29076177890695
TRAIP	4.52514787077338
MEX3D	4.31014622210911
KIAA0232	6.51774735024431
ERCC8	5.39813813701801
NFAT5	4.46793969796536
GPX4	10.5028047379395
CSPG4LYP1	3.18627824704682
KIAA0368	5.18018385654159
FBXO3	6.20470993631699
DVL1	5.83622847744437
CMKLR1	3.74911222061511
GPR157	3.29011351011106
TYMS	8.23939123159112
OR52A1	3.15594122417449
PEF1	7.44781473081309
ZNF750	5.95290855109355
ALG9	6.48066732539174
MCM5	5.37405046158214
SDK2	3.38686474874509
BAIAP3	4.05287430417494
RABGGTB	7.38558083371134
KCNK7	3.12610986014068
PTP4A3	4.90100634464536
ANKRD40	5.08064221978973
CALCOCO2	6.99958262372936
TMSL8	9.40208474067236
SNCA	4.67831730348345
ZNF551	4.07372775676799
HBQ1	3.72897029590345
ARHGAP26	3.88747425141851
GEMIN6	7.96990869688359
HRAS	5.6545600981099
KLRC4	2.74248327406706
BSDC1	5.68721537043012
DSC1	4.07626172189496
RNF43	5.69726126093184
NDUFAF1	5.9300644070714
MAP2K4	5.71868441697647
FOLR2	5.87282158437737
LYZL6	3.48077886295359
EPB41L3	3.70470925336283
TEKT2	3.74504882785584
CDKN2B	3.13278179221089
WSB1	6.07944311573893
ZNF480	3.59079832104259
MAP3K6	3.90974524977773
PROS1	5.63402066363201
PSMB8	8.21381204769075
HN1	9.75863313135045
MAS1	3.24141849756649
APOL1	4.78092177297836
CSHL1	3.08002668488774
ZBTB7C	3.2510357814159
AHCTF1	5.93229271063625
SAE2	10.0076160634586
ITGA2	3.81624130925438
AP2S1	10.6150729134697
P15RS	8.03423576998795
MME	3.58239389035232
VAT1	7.3204207396833
MAST4	4.70895798398056
TUFM	8.94479381461979
KRT33B	3.35454049279228
THEG	3.94629493359124
KCTD2	5.10462866480184
WDR26	8.70350832709716
MFI2	3.26536251864633
KRT34	3.32486161099393
NR4A3	3.80520127189724
SGSM3	4.25149714659411
ARSA	3.85113118914431
TOMM22	5.98838955060726
SOCS3	3.49014822285917
UNKL	3.92661062402949
POP4	11.1386389753172
BHLHB3	8.49596320134818
MALL	6.53220465995312
SOX15	3.32377895390020
CCNA2	8.58832531082294
PARK2	3.39857905208799
GPR124	3.83751100278545
TMEM132A	5.45183277279619
CGRRF1	7.28718987154164
RUVBL2	9.13529344948481
MCAT	6.2946071479575
WNT10B	3.76290449570892
ISCA1	7.89274086916692
RPAP1	3.63647494120441
C12orf48	6.33457909266603
RAI16	4.5884028639107
RPL27	9.73301459737812
EPN1	3.42812078095035
MAGI1	2.80910857023194
GBX2	3.22372746983337
SLC35A1	8.05700741655132
GAL	6.12755216775145
SLC14A2	3.74242601573203
RDH11	7.61920901943533
ZNF518	4.4771659649493
PCYT1B	3.32159179521484
AUH	6.84033354651884
EIF3H	11.1217004488019
KIF1B	6.73995567950063
MBD2	4.54744658223966
AMOTL2	6.51397005841003
C6orf120	7.45786528876813
PIGT	8.40192113250729
PSRC1	6.92319371886995
PLA2G10	3.65374657251395
ALAS1	7.14769434761234
FOXO1	5.60347874891093
C17orf62	7.16395012226089
KIF5C	4.19127251962783
DUSP10	4.26293657305216
CRLF3	7.9404002604955
CLCNKB	3.60812044846259
PSMA5	9.65233897754914
FARS2	5.49846480417031
CCDC28A	8.03090232357448
AMPD3	4.59819644889418
PIAS1	7.01023356282619
ADCYAP1R1	3.34869776679237
TMEM134	7.85968804532975
CDH20	2.97157170675640
FBXO7	7.21560631543198
FLJ14213	3.68555041599546
ZNF3	5.26769496628583
LRRFIP1	5.40886781981121
TMEM49	9.56609632259453
CNOT2	7.18519787302136
CBX2	3.19225593621528
ZC3H14	6.16580254040835
ALDH5A1	6.03543342427277
HNT	3.72681144772514
SERPINA4	3.09401548986602
FLJ20920	6.00934632610095
CRTAP	6.15889362454329
DDX50	8.31752329949374
STYXL1	6.85770323420091
TK2	4.79240059529768
BLVRB	7.61181066094642
STMN1	8.60616311141502
GUCA2A	3.13530362764019
DPP6	3.37959716612309
GALNT10	3.86947429793644
STK39	5.49770226946952
MMP24	4.39487098752969
CKS2	11.2674683778656
RHO	3.52665325274767
BANF1	10.5609070025880
CR1	2.99293159591538
RPS6KA2	3.90788582542385
HMBS	6.82070339894966
C20orf112	3.69890449883992
SLC25A24	7.11629604576537
MRPL22	8.43470686431215
SLC25A15	6.62645711747586
GADD45B	5.12937295615406
TDP1	6.68020851798784
ZNF287	3.65853707557575
DAAM2	4.42814762343394
C11orf57	5.71500835547385
RFK	8.0097157042542
ZFYVE9	3.87254600878602
TCTN3	7.05533225529942
STCH	6.69736965928006
LOC283871	3.66776092424113
NDUFB3	8.5170894051966
DEFB4	3.64481105159696
FPR1	4.71096572270702
FMNL1	3.85070372302567
SEPT7	9.37780256300872
PTCD2	4.36489968984862
GNLY	3.65453103591399
GRAMD1C	6.26846247366513
ZNF165	5.64256604589286
TR2IT1	4.10674007809585
ARMCX3	7.35654667170182
NDE1	5.24671392805473
MAGEF1	6.2360336135448
ITGA10	3.82336850352970
ARHGDIB	9.08029755910706
FSHB	3.80401863326136
ANXA2	11.4180792003821
HLCS	3.61761800870925
MCF2L	3.57924284422588
AK1	5.85990146233108
FH	6.85420077863628
LGALS2	3.94688896665983
SYNPO2L	2.71557945994608
KIAA1045	3.41383436606094
C1orf183	4.47018358359471
MAGEA8	7.87772719665693
DGCR8	4.40717322185326
GSR	5.73611285859831
NEU2	3.21606034535997
HIST1H4B	3.82361175207861
CACNA1C	3.19293314161960
FAM20B	6.86337707678268
HES2	3.21437233831601
PDCD6	9.26648103142483
INTS7	6.75763945186514
AMPH	3.91927889214973
UCKL1	7.53574298980188
ASB4	3.08389754880317
C10orf97	5.99563734782858
ALDH1L1	4.02329632632059
CCL23	3.28606896938898
OBSL1	4.14295011400783
SLC12A7	6.1031060832253
THAP4	4.92801354000925
RBM4B	5.84769462493499
OGFRL1	5.22142825931715
KIAA0831	6.11441466137388
C12orf11	7.32174014000361
PPP1R15A	4.7091130587564
KIAA0240	4.6814704896678
CD1B	3.46117965403842
FCGR2A	6.45619947992092
MDC1	4.46224413755271
MAN1A1	3.89355956205532
KRT9	3.51548221024875
HTR1A	3.33366584314231
OCEL1	6.15427422757644
ATP11B	6.18980435431095
NLGN4X	4.15590031754628
FBXO34	7.28792101986792
ALOX12	3.93065956547583
RB1CC1	6.81104732850077
PCDH12	4.23055380007614
RPE	5.60701531298228
EIF4E	8.06867365749787
CSDC2	3.77147153596709
ABHD5	5.41668286459405
TMBIM1	6.62262596312468
PET112L	4.88437708442015
P2RXL1	3.65587034773963
F2RL2	3.10868444660704
TRMT1	4.50528688258033
IMPG2	3.84428108376125
LRRC32	5.27684883176441
BGLAP	4.60605611297557
HTR4	3.43287522249723
MRAS	5.1384447747442
TRAF6	5.29001997223719
AXL	4.68743783865189
ATP2C2	3.29334001621968
LMNB1	4.94242617905753
TELO2	4.3977768489814
PNPLA3	3.38267336298053
CSNK1E	5.61035375586331
SRP14	10.4335602277513
KCNQ4	3.31323236440902
PIK3C2B	6.43769887005335
C15orf15	8.92637418343445
TUBB2B	3.197450537748
USP15	6.33739596236216
C12orf41	8.37587239912123
CEND1	3.41243055407020
RNF31	4.69994940490022
TCEAL2	5.26250093168508
PTGER2	4.88070696350403
UBN1	5.54139018133344
SLC5A7	3.22483898553104
SLC31A1	6.75931769265738
ADAM29	3.95313917299966
ST7L	4.02621103675718
GFOD1	5.11407050751363
CTNNA1	6.8524325455083
HRBL	3.49067463335731
CBX4	3.53210249931131
NTRK2	3.62109697713616
FOXN3	5.1115405395733
MFGE8	6.18681609104995
PFKFB2	3.76777640631231
TAS2R4	3.57022492909946
SH3TC2	3.47929735999154
IL10	3.89940892521743
PXMP4	7.00802539297475
RNF167	6.232483728212
PRMT5	7.85187616300837
TSKU	5.42248957598154
ATPIF1	9.55098956226478
ETV3	3.20066891028027
PAK7	3.24503733946042
PDLIM1	7.8837318540792
CEP63	4.12952829249192
WDFY3	4.77223734112265
RNF126	5.51681537317819
DPM1	9.9304332627488
CLIC4	6.39180380754711
ACR	4.01196563726475
KLK7	11.0699965971014
ALOX5AP	7.4319216857601
LRP1	4.34667644335401
TNK1	4.99909061315679
TAS2R9	3.37766238761222
ZNF16	5.15297534485375
POLR1B	4.70954631708116
SLC8A2	3.61782759996115
OLFM4	3.30608297273571
TACC1	4.77589847802037
SAMHD1	6.90858695201758
ATP13A2	5.04557820811276
KRT4	3.68948500714952
PAX6	5.33570900814438
SCG2	5.32220530428638
SLC17A6	3.48002553957605
TUBB4	4.02717826186712
PADI4	3.03934614403311
FMO3	3.57924123267714
NLK	4.00183921349188
POU4F3	3.20399060991861
MDM2	3.57393570670937
CAPNS1	10.2527318331417
SDF4	7.54843589560701
ITGBL1	4.52158198996214
TAP2	3.81082812885068
OR2C1	3.24187320385575
KLHDC3	7.68405364147369
EFHD2	6.57488728394448
GALR3	3.65510605266025
NBEA	3.04279172735980
ABCA6	3.51672173364049
ABBA-1	3.78065700266562
GNAI1	5.65714483697248
CLDN3	8.3544420274903
AKT2	3.58392140081627
EGFR	3.91267850006698
VPS4B	6.88377556813532
RBM16	8.06340791917372
GALNT6	6.71022355501275
ZDHHC3	5.86710195870268
SLC25A4	7.64776241514885
CYB5B	6.79869773056669
NDRG1	9.01098696098427
SESN1	6.63861842070665
GBE1	7.07290064275953
MRPL46	6.89471749538347
CLASP1	6.08762210862675
FARP2	3.92355671884026
ACOT11	3.60628591821631
LDHAL6B	2.97447052035149
MAPKAPK3	5.8571980600245
NCAM2	3.17850605435112
AFAP1	4.17851517233542
PRKD2	6.12574153112001
OR2H2	3.43322540806454
ZFP36L1	6.56056654038796
DZIP1	4.58818323373296
GPR161	3.99923662505967
RNF146	4.13006036561649
NKX3-1	3.78393183073214
CCNB2	9.15131776901298
ZNF10	3.86181095394396
WDR74	6.08091801914521
FAM134A	6.86085046336557
PCNP	9.12107957476139
PURA	4.74618656306087
DNPEP	6.64788195111865
ERBB2	5.1776698422208
CREB1	5.56038951493605
NEO1	6.86482015333445
DDX3Y	3.20126454471898
RPS3A	13.1346672765574
MXRA7	10.2252639323536
LGALS3	11.6349169339491
GLT8D1	7.54104378131175
TMPRSS3	5.96177811938103
UPB1	3.26938154551646
LAT	3.83036994015107
CLDN14	3.63392934353636
DHX38	4.16085177130656
KCNA3	3.09299499914588
BTBD1	8.17398464841349
TARS2	5.01254833039071
SKIV2L2	7.13186794783649
ABCF1	7.10369424559697
CDT1	3.08009485562146
ZHX2	7.44756606086091
FCF1	5.02272591583671
LRRC49	4.34585080042451
GUCY1B2	3.6753932839427
CD28	3.30283984000084
SMARCA4	5.33682673708757
SEPT2	9.08029154023246
SOHLH2	3.79100366498586
MCOLN3	5.44503897554811
LRP8	4.72320773566223
TAGLN3	3.88641859820456
MASP2	3.69373568112939
GPATCH3	4.63917717633892
TTRAP	8.8740004046961
AGL	6.00318692758559
NFE2L3	4.39453007548163
PSD4	4.4157087633591
PALMD	4.65131944588493
CCNB1IP1	9.12114804686098
TMEM43	6.72379216191703
OBFC1	6.86045873743871
STAT5B	4.41718409381737
C14orf79	3.94366574238981
ENPEP	3.94252076940918
SSB	7.53479395997894
SCT	3.13559297038964
TIMM23	7.29953630082872
SKI	3.51288956417449
SLC22A13	3.03814168514963
AKAP3	3.30412805036932
OAS2	5.61959009959816
KIAA0423	6.29612321294044
SEC61G	9.36121104405895
CAPN11	2.84594413331497
TMEM50B	9.496132581138
DEGS1	7.7614126505697
ARHGEF4	3.26676352610569
DBNDD1	3.85830509264398
TBL1XR1	5.58019058343649
FAIM	6.26765625161758
SP140	3.22630384711551
G6PD	4.33067935586334
NUDC	6.38336244521184
