Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_D05_443142
Composite Element REF	Signal
SNTA1	5.01309039710866
IL20RA	4.01724458751002
UBE2J1	5.50655892039269
CACNG2	3.0148307926134
GCM1	3.47092518673304
ELF1	5.03379214723112
TLR5	6.74915632177608
TCFL5	6.41277088013832
C1orf107	5.08815691764289
C19orf22	6.3205342246972
SAFB2	6.88486957257588
MAP3K7IP1	4.71862286193454
NCK2	7.48628879235595
OXA1L	6.17514123385554
KIAA0652	4.92607280802287
KLRG1	3.71863634365391
FRAG1	5.92357603154319
ZSCAN12	3.0144714055413
PSMD12	6.42053184436957
E2F4	4.98866466622766
CLEC4M	3.62965155233746
KIAA0999	4.26238608623706
CLDN10	7.9235396726717
MGC13053	4.42861600828426
TAC1	3.17263504130794
GYPA	3.65047001588241
HPCAL4	3.38160499768408
TRAIP	3.99323617194564
MEX3D	4.13378644694709
KIAA0232	7.1651295017968
ERCC8	4.19941534476798
NFAT5	5.56979304149623
GPX4	8.13194469913605
CSPG4LYP1	3.70275607789523
KIAA0368	6.11983544176946
FBXO3	4.65844773010821
DVL1	5.83168454591803
CMKLR1	3.66763934298487
GPR157	3.84048021473026
TYMS	7.69254569437805
OR52A1	3.09275617328088
PEF1	5.52247581335226
ZNF750	3.18446753864307
ALG9	4.35418238046829
MCM5	6.08069832711448
SDK2	3.55867679779671
BAIAP3	4.00647555472347
RABGGTB	6.61229619421841
KCNK7	3.54447456514381
PTP4A3	6.62092890330631
ANKRD40	3.97508692562834
CALCOCO2	4.90183969155707
TMSL8	5.92315199930715
SNCA	4.44958860192546
ZNF551	3.74851329367001
HBQ1	3.86393263324082
ARHGAP26	5.45313107057662
GEMIN6	6.20719742148349
HRAS	5.43022716400696
KLRC4	2.84259328985443
BSDC1	5.9985974879095
DSC1	3.58213049366558
RNF43	5.79581147950602
NDUFAF1	5.40232745050741
MAP2K4	4.45879295261447
FOLR2	4.07256426731960
LYZL6	3.69219011414846
EPB41L3	3.15394192635019
TEKT2	4.86969248419015
CDKN2B	3.86121983469340
WSB1	6.25024332818513
ZNF480	3.37719715654184
MAP3K6	5.09773141089329
PROS1	6.69061454527957
PSMB8	7.17118321275446
HN1	6.95375152798262
MAS1	3.96818416691981
APOL1	6.99015660548438
CSHL1	3.89144061822844
ZBTB7C	3.06669887615574
AHCTF1	6.2022226395167
SAE2	8.26089183227613
ITGA2	3.68963152604942
AP2S1	7.57605802092618
P15RS	5.25266139057035
MME	4.39462636578897
VAT1	6.57017604702377
MAST4	6.64248176539251
TUFM	8.25965046526465
KRT33B	3.62829178314806
THEG	4.15758131873627
KCTD2	5.24292156578408
WDR26	8.00103307378303
MFI2	4.12358262325114
KRT34	3.07342573531176
NR4A3	3.76570261189705
SGSM3	4.74669575042556
ARSA	4.05308352058774
TOMM22	4.61527669987015
SOCS3	3.49511063498039
UNKL	3.86000057867437
POP4	6.51830593543501
BHLHB3	8.27021133299214
MALL	4.56896980320912
SOX15	3.59457986144260
CCNA2	5.07025674774482
PARK2	3.25547684627126
GPR124	4.16884301603055
TMEM132A	6.8768950656355
CGRRF1	4.12014989865732
RUVBL2	7.26001501669486
MCAT	5.19144151440909
WNT10B	3.83269738073582
ISCA1	5.18209954324517
RPAP1	4.80675069419863
C12orf48	4.62936395798739
RAI16	6.2056760366389
RPL27	9.6595864705632
EPN1	4.41638650223713
MAGI1	3.09630385032087
GBX2	3.5172620907447
SLC35A1	6.53125544100019
GAL	4.60161676872668
SLC14A2	3.59547273652973
RDH11	6.86288268038831
