Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D05_543626
Composite Element REF	Signal
AP2S1	8.61517194715057
P15RS	7.04668140474584
MME	3.76252437985704
VAT1	7.84107489900053
MAST4	6.77670520451531
TUFM	8.43518151994323
KRT33B	3.313906993983
THEG	3.84266588770067
KCTD2	5.14099588822375
WDR26	8.93267135859739
MFI2	3.3854419387129
KRT34	3.03692398242664
NR4A3	4.26393436826019
SGSM3	4.67768846183644
ARSA	4.50118190603718
TOMM22	5.33974006568695
SOCS3	3.9147176957933
UNKL	3.85512168589493
POP4	7.60937772221905
BHLHB3	9.4499372726292
MALL	3.60119485872921
SOX15	3.31738970269037
CCNA2	4.25478585739456
PARK2	3.28226876952284
GPR124	5.23032511382884
TMEM132A	5.72094529270548
CGRRF1	5.02366265802516
RUVBL2	7.74869283409562
MCAT	5.95854705157316
WNT10B	3.48959846978049
ISCA1	6.26548585504482
RPAP1	3.96735978679033
C12orf48	4.33931070039165
RAI16	5.30638619098551
RPL27	9.07003903041442
EPN1	3.40404815249453
MAGI1	3.45142670496686
GBX2	3.22189520752903
SLC35A1	7.19992884995033
GAL	6.80882565570499
SLC14A2	3.58479039314974
RDH11	7.18541779357924
ZNF518	4.02423422039607
PCYT1B	3.22830421012898
AUH	6.95873315076432
EIF3H	11.1610179067060
KIF1B	7.48202946501664
MBD2	4.52158798017034
AMOTL2	8.41833570722107
C6orf120	6.42876039095638
PIGT	7.56605450284182
PSRC1	5.61699757465353
PLA2G10	3.83720222251732
ALAS1	8.07349193048905
FOXO1	6.01896283849826
C17orf62	6.47215336124963
KIF5C	6.8817768829866
DUSP10	6.15465836513619
CRLF3	6.80279470287893
CLCNKB	3.41765566479852
PSMA5	9.32082175355466
FARS2	5.67644663534198
CCDC28A	6.04542622968615
AMPD3	5.05795190741942
PIAS1	7.70270863322179
ADCYAP1R1	3.49126080410135
TMEM134	7.11178932739737
CDH20	2.80736484787931
FBXO7	7.56293831109915
FLJ14213	5.27561615251645
ZNF3	5.57328544592905
LRRFIP1	7.86240438520051
TMEM49	9.1142738955253
CNOT2	7.80126125576501
CBX2	2.92229593779437
ZC3H14	7.27302096146578
ALDH5A1	6.29291767229615
HNT	3.24873195069223
SERPINA4	3.28829497544417
FLJ20920	5.14276599545387
CRTAP	5.82902857767429
DDX50	7.97535444266241
STYXL1	7.13994239526434
TK2	4.61943438834484
BLVRB	7.21119422953677
STMN1	6.05729206839323
GUCA2A	3.23444207018941
DPP6	3.11062476456214
GALNT10	5.13034856199565
STK39	6.06613830992019
MMP24	4.37812998296602
CKS2	8.29989272901205
RHO	3.79430331403406
BANF1	9.37884914602377
CR1	2.9213227712959
RPS6KA2	5.77898066512553
HMBS	6.16685187859545
C20orf112	3.64648389157717
SLC25A24	8.0358329248198
MRPL22	7.11394051484376
SLC25A15	5.06323114132607
GADD45B	6.57267721518318
TDP1	6.21637968003084
ZNF287	3.6082852827475
DAAM2	5.83140370490981
C11orf57	6.10956526920132
RFK	7.03608203232492
ZFYVE9	4.22265164960725
TCTN3	6.9595041049108
STCH	5.40977858555421
LOC283871	3.51189594730749
NDUFB3	8.29123956760219
DEFB4	5.32434373470459
FPR1	4.59566371864268
FMNL1	4.23075900046471
SEPT7	9.8677017947698
PTCD2	4.58407261740325
GNLY	3.41619086972644
GRAMD1C	5.0469399667309
ZNF165	4.73230988052456
TR2IT1	4.36092368674985
ARMCX3	8.28500408142154
NDE1	5.25340562728221
MAGEF1	7.04244909216378
ITGA10	3.76314153593073
ARHGDIB	8.38915051693208
FSHB	3.64203273725881
ANXA2	11.4709305224119
HLCS	4.1480478025387
MCF2L	5.41340467524415
AK1	5.06409704717643
FH	6.50365592474577
LGALS2	3.38442595300146
SYNPO2L	2.86124889937946
KIAA1045	3.44557995554125
C1orf183	4.66919227904074
MAGEA8	2.93981681802735
DGCR8	4.36938847480416
GSR	5.23914966237904
NEU2	3.35858346459719
HIST1H4B	3.34162930358589
CACNA1C	3.12554889715406
FAM20B	6.48210629882073
HES2	3.44330794233087
PDCD6	8.77835611091513
INTS7	5.27055540429762
AMPH	5.89789640523659
UCKL1	6.60675434090242
ASB4	3.13468952147212
C10orf97	4.85580359437635
ALDH1L1	4.39990320526627
CCL23	3.34283060423052
OBSL1	5.91430291462038
SLC12A7	7.15515962979111
THAP4	5.9760871048355
RBM4B	5.26476342880729
OGFRL1	4.43322018584123
KIAA0831	5.7694622744721
C12orf11	7.5949348232603
PPP1R15A	5.44459939835875
KIAA0240	5.70315903054546
CD1B	3.24839653345395
FCGR2A	6.34596879767784
MDC1	4.2629858772463
MAN1A1	3.53691947992890
KRT9	3.24762682022924
HTR1A	3.21815952293197
OCEL1	6.38107857383558
ATP11B	6.01415757089778
NLGN4X	5.40571578506431
FBXO34	7.7233497237471
ALOX12	3.32343415170686
RB1CC1	7.46622610687056
PCDH12	4.64178000794378
RPE	5.21890728633025
EIF4E	6.53863997376669
CSDC2	4.05386143335481
ABHD5	5.79209720256769
TMBIM1	7.07105983887414
PET112L	4.37275057063615
P2RXL1	3.05347484955031
F2RL2	2.9780513351329
TRMT1	5.49252704972886
IMPG2	3.36560358558893
LRRC32	5.30830277986443
BGLAP	4.26489425942999
HTR4	3.18579871829525
MRAS	4.96115255506007
TRAF6	5.2943632908962
AXL	4.9168947545355
ATP2C2	4.2809301665692
LMNB1	5.24177124923518
TELO2	4.10457987877453
PNPLA3	4.28912732996175
CSNK1E	6.52653434135965
