Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A02_451976
Composite Element REF	Signal
IMPG2	3.44837357737829
LRRC32	5.45312516615528
BGLAP	5.37694091088223
HTR4	3.32321958790535
MRAS	4.88486789614708
TRAF6	4.97423768095542
AXL	5.55413316474402
ATP2C2	3.32056107967463
LMNB1	5.65752922123257
TELO2	4.46002999415334
PNPLA3	3.586200359258
CSNK1E	6.92018764037936
SRP14	9.98876381287198
KCNQ4	3.34915810165171
PIK3C2B	6.59418926836736
C15orf15	7.94385091006434
TUBB2B	4.6421026075041
USP15	5.58955034531212
C12orf41	7.5241218827172
CEND1	3.69051938521525
RNF31	4.74131493929661
TCEAL2	7.85783362812167
PTGER2	5.14940028327938
UBN1	5.97976019328992
SLC5A7	3.34678409520334
SLC31A1	5.7122833852036
ADAM29	3.50021606027509
ST7L	4.36924268616233
GFOD1	4.78584364924445
CTNNA1	8.8064772487957
HRBL	3.70988944443487
CBX4	3.39265558293228
NTRK2	3.47285467070719
FOXN3	5.2053522353734
MFGE8	6.19612751880054
PFKFB2	3.79908820354641
TAS2R4	3.47061493891447
SH3TC2	3.11265219154036
IL10	3.45219912923196
PXMP4	6.49809929566942
RNF167	6.3103705057431
PRMT5	7.68380870308279
TSKU	5.77842088463974
ATPIF1	7.95302972991173
ETV3	3.04771221339575
PAK7	3.05401501076860
PDLIM1	8.9808198827492
CEP63	5.80137385868747
WDFY3	4.92545365964873
RNF126	4.84162557712857
DPM1	9.61774331879713
CLIC4	6.8499839054603
ACR	3.67353650189988
KLK7	8.11432044827967
ALOX5AP	7.29639814259543
LRP1	5.61391162383461
TNK1	4.44545859056888
TAS2R9	3.12476043776600
ZNF16	5.98654082459149
POLR1B	5.7809298804896
SLC8A2	3.68108889266171
OLFM4	2.83281006717215
TACC1	4.87103598366366
SAMHD1	6.82665738835318
ATP13A2	4.66153619769578
KRT4	3.54136512891907
PAX6	3.61283071069225
SCG2	5.51083671047439
SLC17A6	3.14290058188493
TUBB4	5.42557691612732
PADI4	3.03843577706980
FMO3	3.13790781394396
NLK	3.57122085922037
POU4F3	3.11387869270402
MDM2	3.42984982249836
CAPNS1	9.17066364978712
SDF4	7.81085234440189
ITGBL1	7.21819589279883
TAP2	3.93449994076529
OR2C1	3.49574574659185
KLHDC3	5.92772706279535
EFHD2	5.16667568846475
GALR3	3.59250209067251
NBEA	5.73726240568738
ABCA6	3.17729041512207
ABBA-1	3.96624148243406
GNAI1	5.795587277336
CLDN3	8.19350821559428
AKT2	3.20296496092064
EGFR	4.73428054610751
VPS4B	8.01155162356418
RBM16	7.7844248757305
GALNT6	5.5005479679456
ZDHHC3	5.28831539583886
SLC25A4	6.7594693782084
CYB5B	5.6627828806508
NDRG1	8.68598140017342
SESN1	4.63393277922712
GBE1	7.82266768346582
MRPL46	6.37648498567341
CLASP1	5.84707245210185
FARP2	4.21554662637733
ACOT11	3.73826444143645
LDHAL6B	2.81035667795185
MAPKAPK3	5.34053308363189
NCAM2	3.14773129600970
AFAP1	4.71236935322604
PRKD2	5.68565948394668
OR2H2	3.29502142815875
ZFP36L1	7.8082164452663
DZIP1	5.15253567699352
GPR161	4.28773097667035
RNF146	5.29054145644315
NKX3-1	3.90016597326646
CCNB2	8.18614401924819
ZNF10	4.18188745487703
WDR74	5.40301943735459
FAM134A	7.7450824845434
PCNP	8.87450535889592
PURA	5.33119961125072
DNPEP	7.21037140505346
ERBB2	7.81554248990021
CREB1	6.3231096133063
NEO1	5.3720638415738
DDX3Y	3.13955197690304
RPS3A	12.528884008458
MXRA7	10.1997313465486
LGALS3	10.4743380969296
GLT8D1	7.44378900731828
TMPRSS3	7.66890813370594
UPB1	3.22984402141286
LAT	4.52890200748076
CLDN14	3.65397131055668
DHX38	4.47118090487108
KCNA3	3.34331992716655
BTBD1	7.40994441175966
TARS2	5.87810949018267
SKIV2L2	7.73293502477344
ABCF1	7.32824485846073
CDT1	3.10164376353196
ZHX2	6.54513381401496
FCF1	5.04228325555897
LRRC49	5.31829965503649
GUCY1B2	3.91759606993512
CD28	3.28333398186203
SMARCA4	6.75634650195301
SEPT2	9.03926514164503
SOHLH2	3.48655530439646
MCOLN3	4.61077614966806
LRP8	5.22035072255782
TAGLN3	3.70028688361653
MASP2	3.62549180988825
GPATCH3	4.15476712887297
TTRAP	8.27434260370977
AGL	7.11025931143296
NFE2L3	5.56353669631659
PSD4	3.86778247033058
PALMD	5.95222801937802
CCNB1IP1	7.78632686732528
TMEM43	7.16738476107058
OBFC1	6.42299648886934
STAT5B	4.29303376252550
C14orf79	4.22571360988889
ENPEP	4.03188962460082
SSB	8.3951855336718
SCT	3.00864301607557
TIMM23	6.5522102233821
SKI	3.6257077284423
SLC22A13	3.18753209918865
AKAP3	3.64502266851564
OAS2	5.82423314702791
KIAA0423	6.36785542612902
SEC61G	9.62715857168884
CAPN11	2.97823222922073
TMEM50B	7.16672104032877
DEGS1	7.9869641597461
ARHGEF4	3.52250382994953
DBNDD1	4.403758152998
TBL1XR1	5.39152221795418
FAIM	6.65697742060696
SP140	3.04339965442847
G6PD	4.38922169189243
NUDC	7.29842956889475
GABRP	3.52111108177434
