Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_G01_491276
Composite Element REF	Signal
SCRN1	6.88631188318903
GPATCH8	6.37556567686365
KIF4A	6.5419028330794
TANC2	3.94472117478635
ZMYM5	3.57266495775579
PGM1	8.66911462325428
ZNF586	5.30623876254887
POLR3G	3.50565227074020
CPD	7.01668214916663
SNCAIP	6.94921812066209
DCT	3.59059401664549
HLA-DOA	3.33848722287467
TANK	5.59231958717624
RCAN1	4.54798178971909
UPK1B	6.20184692446275
DNAJB4	4.59730912348533
UGT1A8	3.07864907617375
LIMD2	3.41164791304007
HIST1H4L	3.64018104519249
PECR	5.40950462635346
HSPA2	6.39347909905443
SERP1	8.52789789107506
TACR2	3.43403042332819
NUP85	6.28064236250095
CD177	3.62577371259115
GPR135	3.23081469267724
PIGG	6.84362878217858
LGR5	5.95568892437397
JAK2	3.94682446206327
DPYSL4	3.61723640720404
TM9SF4	6.11368717028877
PTHR1	3.27728172372162
SIRPG	3.41912926391594
ZNF264	6.26403219069242
BICD1	5.8757397913863
RAB5A	6.76057417970023
FLJ13224	3.14816963671405
METTL5	8.22591611758422
HERC6	5.16226223694579
CASP1	6.22758627316137
USP9Y	2.89376469494017
LRP1B	2.88652837524952
XAF1	6.41031146583673
PLA2G4C	3.58567398946041
APOA2	3.23807814033573
SPAG6	3.11808513217417
KALRN	3.13837586866015
SECTM1	6.26891316180158
THOC7	8.3737256981817
IFNAR1	4.26421435476289
TCTA	6.32521444591719
NY-REN-7	3.58270903017136
TALDO1	8.94727744994946
B2M	11.9210533096535
LPPR4	3.56465900300029
SQLE	6.56209938580241
SEPHS1	7.03994080329077
EIF5A	5.94321600160756
FAM49A	4.83287060714982
YTHDC2	4.73712095492746
EHD2	5.57749913211005
NCF1	3.65836720548899
SPG7	6.32184416491244
ZNF614	3.67266423644318
HOXA5	5.21450352074262
NUP133	6.94379628315426
FGF12	4.31206960073313
SLMO2	7.79405824685784
INPP5B	4.41707126480121
PPID	6.15579874060077
SNTA1	4.15345028928456
IL20RA	4.74450354168905
UBE2J1	5.87256244711591
CACNG2	2.92387829152366
GCM1	3.23910303398977
ELF1	6.448805832154
TLR5	5.68591405067785
TCFL5	7.32205329282466
C1orf107	5.280771053266
C19orf22	6.96689000920646
SAFB2	5.81588495661003
MAP3K7IP1	3.93058639092559
NCK2	7.2712244899551
OXA1L	8.07558393045631
KIAA0652	6.05162832440365
KLRG1	3.46926744127344
FRAG1	6.15911774533653
ZSCAN12	3.05929263363895
PSMD12	6.76005575243271
E2F4	5.49508842663428
CLEC4M	3.33576787909427
KIAA0999	5.37151198951607
CLDN10	8.99445633681632
MGC13053	4.24110698613897
TAC1	2.62076271125927
GYPA	3.46712253417804
HPCAL4	3.2915377714806
TRAIP	4.2708653261774
MEX3D	4.22244411348142
KIAA0232	7.19575036301515
ERCC8	4.39658335514853
NFAT5	6.70207130742505
GPX4	9.25098086436579
CSPG4LYP1	3.28185519584687
KIAA0368	6.25593592947897
FBXO3	5.69011182027491
DVL1	6.49649188336108
CMKLR1	3.6721110718358
GPR157	3.50706751845736
TYMS	8.60468081004305
OR52A1	3.30196402531497
PEF1	6.5848533449361
ZNF750	4.44470188147261
ALG9	6.75886436972405
MCM5	5.75208852922387
SDK2	3.67035218382655
BAIAP3	4.02660904677662
RABGGTB	7.75760822304952
KCNK7	3.4600191168134
PTP4A3	6.7534429402471
ANKRD40	4.48650522205802
CALCOCO2	6.84249421715014
TMSL8	4.83947292710489
SNCA	4.15276156110336
ZNF551	4.43503994107981
HBQ1	3.63373083538035
ARHGAP26	4.86121121931564
GEMIN6	6.63455395062662
HRAS	5.51632474990224
KLRC4	2.77349440249254
BSDC1	5.36586225306869
DSC1	3.63461266330574
RNF43	4.74568888866554
NDUFAF1	6.51131363824915
MAP2K4	4.57604002388119
FOLR2	4.28248951049456
LYZL6	3.48740607022595
EPB41L3	3.30818096671211
TEKT2	3.50375259945359
CDKN2B	3.16834204581912
WSB1	6.2683468166957
ZNF480	3.56260822588848
MAP3K6	4.45293658884044
PROS1	4.10287212837998
PSMB8	7.21239634101892
HN1	7.22496186217475
MAS1	3.4679609604329
APOL1	5.2308615897151
CSHL1	3.31285651081653
ZBTB7C	2.85937060969694
AHCTF1	6.48514877813833
SAE2	9.45665395942586
ITGA2	4.59788671977761
AP2S1	9.19583339980298
P15RS	8.8820325975254
MME	3.69546917489008
VAT1	6.84224808842301
MAST4	7.1127974100147
TUFM	9.40811396043676
KRT33B	3.50785668869286
THEG	3.69196688717008
KCTD2	5.03174090796449
WDR26	8.05465267087719
MFI2	3.60800264979676
KRT34	3.41318874861551
NR4A3	3.67428775682626
SGSM3	4.83405154572947
ARSA	4.0065407851863
TOMM22	4.89191856027895
SOCS3	3.62229886665859
UNKL	4.98898669461177
POP4	7.62536482978431
BHLHB3	9.46264305406585
MALL	5.43934481900733
SOX15	3.42401875370556
CCNA2	5.85652488405283
PARK2	3.4702095306249
GPR124	4.05475582938824
TMEM132A	6.94408620234145
CGRRF1	5.48379929758115
RUVBL2	8.28605528759358
MCAT	5.40725362867065
WNT10B	3.69790718201358
ISCA1	6.87170101427274
RPAP1	4.961688403818
C12orf48	4.73901139005188
RAI16	6.95093983567795
RPL27	9.42621138309877
EPN1	3.50336307123033
MAGI1	3.34110410717664
GBX2	3.22596229182985
SLC35A1	6.53513770976159
GAL	4.19184735238549
SLC14A2	3.75175386426299
RDH11	7.30483869351986
ZNF518	4.89004769528168
PCYT1B	3.37020940914646
AUH	7.76427704559695
EIF3H	11.0475493104108
KIF1B	7.06578803023947
MBD2	4.69871918360593
AMOTL2	7.72079461522397
C6orf120	5.60639515890338
PIGT	8.2223482948272
PSRC1	6.35048022407348
PLA2G10	3.86650479730665
ALAS1	7.96486020254147
FOXO1	6.1002776681071
C17orf62	5.97452496083488
KIF5C	5.74242858572397
DUSP10	5.07663050636699
CRLF3	6.56250039333141
CLCNKB	3.55224095245543
PSMA5	9.29625473193064
FARS2	5.79347878652856
CCDC28A	5.06488400778133
AMPD3	4.06092479088021
PIAS1	7.44524210365829
ADCYAP1R1	3.40411235785818
TMEM134	7.83464676373405
CDH20	3.08154016284082
FBXO7	7.31728218140217
FLJ14213	4.01272324587141
ZNF3	5.86404838661723
LRRFIP1	8.12674401046676
TMEM49	9.48452410269537
CNOT2	7.79499861798394
CBX2	2.90894631797111
ZC3H14	7.199639847939
ALDH5A1	6.40533600247616
HNT	3.52257207323027
SERPINA4	3.27446517481518
FLJ20920	7.14667168140224
CRTAP	5.01981364836785
DDX50	8.24544245181366
STYXL1	7.60331993044055
TK2	5.10164376353196
BLVRB	6.95718637357593
STMN1	6.43512898601137
GUCA2A	3.17583687179644
DPP6	3.44104095988431
GALNT10	4.91291829182337
STK39	7.12124972114246
MMP24	4.24051360433448
CKS2	10.1059625232217
RHO	3.81599359097495
BANF1	9.72326211572883
CR1	3.08578736469615
RPS6KA2	6.3481469003918
HMBS	6.3623493323195
C20orf112	3.80477641733647
SLC25A24	7.34257252088697
MRPL22	7.6888989960722
SLC25A15	4.79156782562894
GADD45B	5.20607803970106
TDP1	6.62361473312213
ZNF287	3.59243833113745
DAAM2	5.21120091482826
C11orf57	6.25568256587918
RFK	7.8739567688078
ZFYVE9	3.75609337355077
TCTN3	7.23432643116154
STCH	5.29413510207921
LOC283871	4.39455938190768
NDUFB3	7.74806106806407
DEFB4	4.51552552192707
FPR1	3.45232860153517
FMNL1	3.95755526818549
SEPT7	10.1249946551924
PTCD2	5.21428784162374
GNLY	3.8256017781831
GRAMD1C	4.06881779566253
ZNF165	4.39113212294773
TR2IT1	4.05937136401146
ARMCX3	8.03958494072123
NDE1	6.71734183757296
MAGEF1	7.92639192008559
ITGA10	4.01205313298662
ARHGDIB	8.9024202914825
FSHB	3.76832306550356
ANXA2	11.4262412048855
HLCS	4.28629745030031
MCF2L	5.0090711958142
AK1	6.51122651898337
FH	6.28308072061805
LGALS2	3.39022997671226
SYNPO2L	2.65301232271087
KIAA1045	3.38718735719239
C1orf183	4.44273574166296
MAGEA8	2.99350129515051
DGCR8	5.97477411798725
GSR	5.15523345313636
NEU2	3.49855781020755
HIST1H4B	3.47194394350209
CACNA1C	3.25981307405227
FAM20B	6.92334897759977
HES2	3.47297449631417
PDCD6	8.52420296495388
INTS7	4.9345046199993
AMPH	3.87285539370803
UCKL1	5.36382582775902
ASB4	3.08831853497163
C10orf97	4.60230208110148
ALDH1L1	4.09120550460556
CCL23	3.17776897867032
OBSL1	6.40525470952077
SLC12A7	8.2402800852706
THAP4	5.70043241547467
RBM4B	6.26627169806736
OGFRL1	4.95276825879602
KIAA0831	6.73245594426814
C12orf11	7.98434430979301
PPP1R15A	5.15145016646832
KIAA0240	5.73263480304065
CD1B	3.30948454176415
FCGR2A	4.55188025510137
MDC1	4.73869305397126
MAN1A1	3.79536264393399
KRT9	3.30642777420727
HTR1A	3.34912853336627
OCEL1	6.37108971736887
ATP11B	6.85545479102446
NLGN4X	6.9906033759047
FBXO34	8.25944890261019
ALOX12	3.70702551628993
RB1CC1	7.20973713698187
PCDH12	4.31548128593941
RPE	4.78785355050734
EIF4E	6.4934612846326
CSDC2	3.98432162099976
ABHD5	5.76490549661844
TMBIM1	7.14974091842676
PET112L	4.78534510177693
P2RXL1	3.22074600137158
F2RL2	3.28783804633948
TRMT1	5.24279439564253
IMPG2	3.40629208456483
LRRC32	5.66978753727912
BGLAP	4.38179785284969
HTR4	3.45083204765444
MRAS	4.35006578263934
TRAF6	5.77826706736433
AXL	4.30474568783197
ATP2C2	3.94272675267093
LMNB1	7.024712237316
TELO2	5.01940154166551
PNPLA3	3.52508393222338
CSNK1E	6.04241285356664
SRP14	10.6752271103771
KCNQ4	3.26529340559075
PIK3C2B	5.58671233714966
C15orf15	8.26713028635859
TUBB2B	3.00447903538865
USP15	5.89733300236592
C12orf41	7.82602646263627
CEND1	3.91871277161451
RNF31	5.40644105428429
TCEAL2	3.82759642798345
PTGER2	4.31535275206367
UBN1	7.6677653628999
SLC5A7	3.48585030914187
SLC31A1	7.07889822728981
ADAM29	3.84115880531954
ST7L	4.27113627507295
GFOD1	5.18671621441908
CTNNA1	9.5592490577236
HRBL	3.91510636506542
CBX4	3.90316582961577
NTRK2	3.61384599396362
FOXN3	5.49392921336171
MFGE8	6.27424334476626
PFKFB2	3.90090696645019
TAS2R4	3.57134181541370
SH3TC2	4.29620431073175
IL10	3.79718604881479
PXMP4	6.01021443679187
RNF167	6.27167203680412
PRMT5	7.20663165430342
TSKU	6.77248886117293
ATPIF1	8.08940812998357
ETV3	3.12087840928770
PAK7	3.21829509212431
PDLIM1	10.1428568115182
CEP63	4.77321971200923
WDFY3	4.71074842963987
RNF126	4.74157447958983
DPM1	8.88914454979059
CLIC4	5.71531740008549
ACR	3.7612956673671
KLK7	7.54492140655488
ALOX5AP	4.68335061664404
LRP1	4.15594106981204
TNK1	5.12185945834893
TAS2R9	3.2858119556412
ZNF16	6.19974437452018
POLR1B	5.5531015697413
SLC8A2	3.78001664827335
OLFM4	8.33989036091553
TACC1	5.85980044383129
SAMHD1	7.14854376628047
ATP13A2	5.23265484350233
KRT4	4.73246381120813
PAX6	5.4426491896786
SCG2	3.60138281775623
SLC17A6	3.62614615434832
TUBB4	3.88047007153935
PADI4	3.07397122370657
FMO3	7.14038903790378
NLK	4.339767109112
POU4F3	3.30359306153413
MDM2	3.57837994768315
