Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D03_491148
Composite Element REF	Signal
ERCC8	6.31454120399832
NFAT5	4.72269519139182
GPX4	10.2600032398774
CSPG4LYP1	3.1948585800412
KIAA0368	6.10585704894606
FBXO3	6.6551062710881
DVL1	6.15341611582743
CMKLR1	3.57468475532874
GPR157	3.42502543551337
TYMS	8.87032473673789
OR52A1	3.17656915251486
PEF1	7.99238414788167
ZNF750	3.13143530176733
ALG9	6.09588921039554
MCM5	5.85538806208194
SDK2	3.23367613624505
BAIAP3	3.71688883642094
RABGGTB	6.79707559300967
KCNK7	3.1373847257515
PTP4A3	5.73136274713857
ANKRD40	4.58223595000863
CALCOCO2	7.70854159834304
TMSL8	4.85277789012648
SNCA	4.04870969692967
ZNF551	3.87615878007376
HBQ1	3.17090458772497
ARHGAP26	4.69296767917488
GEMIN6	7.18435705604825
HRAS	5.91508785069288
KLRC4	2.80451461076713
BSDC1	7.25913393152011
DSC1	3.70410785952230
RNF43	5.22157871396781
NDUFAF1	6.30664860414328
MAP2K4	5.82868166418086
FOLR2	4.83732938099954
LYZL6	3.59467678140515
EPB41L3	4.05965290959978
TEKT2	3.92329946348771
CDKN2B	3.37433309355644
WSB1	6.89888328384082
ZNF480	3.74976469834588
MAP3K6	4.45625513816537
PROS1	5.65349162297551
PSMB8	7.42166923409163
HN1	7.8040251344665
MAS1	3.47908182037643
APOL1	5.52305495185491
CSHL1	3.4330989230479
ZBTB7C	3.12085642488246
AHCTF1	5.76194945442686
SAE2	10.1592691419479
ITGA2	3.89403948656568
AP2S1	8.85743880394213
P15RS	7.64622062238872
MME	3.37168612748355
VAT1	8.28707218249028
MAST4	5.20013545838446
TUFM	9.29928195483715
KRT33B	3.41861236944266
THEG	3.91161517155675
KCTD2	5.36309806504306
WDR26	8.9364804195663
MFI2	3.39254370144250
KRT34	3.22306574824701
NR4A3	3.75629366023054
SGSM3	4.78950877042902
ARSA	4.03589029884553
TOMM22	5.67058580330476
SOCS3	3.39419562606717
UNKL	4.05910280480083
POP4	10.3023905632760
BHLHB3	10.3254114193205
MALL	3.43003378243032
SOX15	3.21368198882329
CCNA2	5.54161669685844
PARK2	3.25844929323997
GPR124	5.10242733340863
TMEM132A	5.09350686603587
CGRRF1	5.28425831898973
RUVBL2	8.01932059951204
MCAT	5.1703968446681
WNT10B	3.76966878403765
ISCA1	6.91949285769239
RPAP1	4.21312484234421
C12orf48	5.34557674433899
RAI16	5.51122772565732
RPL27	9.25300721903907
EPN1	3.4968858303134
MAGI1	3.10897614709769
GBX2	3.08101427631900
SLC35A1	7.82634511218494
GAL	3.76775600231062
SLC14A2	3.72305489794758
RDH11	6.95647533217618
ZNF518	4.566157307561
PCYT1B	3.15608168716259
AUH	7.39489950223113
EIF3H	11.0341355006683
KIF1B	8.09169896262329
MBD2	4.818808099665
AMOTL2	7.78932747181775
C6orf120	7.57071724836632
PIGT	8.87831318271741
PSRC1	6.54793132468502
PLA2G10	3.74025366110835
ALAS1	7.00726787947121
FOXO1	7.1420986413907
C17orf62	6.89350799653977
KIF5C	5.00241124442045
DUSP10	4.72660723355054
CRLF3	6.98059198794279
CLCNKB	3.25038083167194
PSMA5	8.76570746730462
FARS2	6.01870277813599
CCDC28A	6.35340437045867
AMPD3	4.45612877581136
PIAS1	7.10704319018497
ADCYAP1R1	3.53194002639372
TMEM134	6.55803959682255
CDH20	3.08851895413755
FBXO7	7.99103953827523
FLJ14213	4.31007589223051
ZNF3	5.98132765802029
LRRFIP1	7.45530313665267
TMEM49	8.84521303357952
CNOT2	8.1019125326865
CBX2	2.96502337587958
ZC3H14	5.91208410144009
ALDH5A1	5.99865696448245
HNT	3.88553524023146
SERPINA4	3.02468214399998
FLJ20920	5.97001660364767
CRTAP	5.03869046314233
DDX50	8.25855338265027
STYXL1	7.49677358101773
TK2	4.52194746692836
BLVRB	6.02486928718895
STMN1	7.35322760774761
GUCA2A	3.18232054283812
DPP6	3.06814896480061
GALNT10	5.70628774819738
STK39	6.70253986970021
MMP24	5.18174842077984
CKS2	10.0386352096281
RHO	3.6749034316045
BANF1	9.35675835068836
CR1	2.98327859452632
RPS6KA2	5.75916507663147
HMBS	5.99524079402312
C20orf112	3.60744557103617
SLC25A24	7.38192865232436
MRPL22	8.2724627766804
SLC25A15	5.22265710292391
GADD45B	5.19123245200838
TDP1	5.98388933567817
ZNF287	3.92757344997437
DAAM2	6.39602538237412
C11orf57	5.84614132036584
RFK	6.80831898030771
ZFYVE9	3.9351596529572
TCTN3	7.27133735153508
STCH	5.84907737460234
LOC283871	3.48244042902206
NDUFB3	8.37794510702227
DEFB4	3.95170029304848
FPR1	4.02861245745275
FMNL1	4.09791558197942
SEPT7	10.6693900769166
PTCD2	5.5799254034693
GNLY	3.43312592782942
GRAMD1C	3.90463113069423
ZNF165	4.00635416000025
TR2IT1	4.04057785742987
ARMCX3	7.5775069690733
NDE1	6.27544139038816
MAGEF1	7.61646976026416
ITGA10	3.52752198744479
ARHGDIB	8.09407542991234
FSHB	3.45808727639860
ANXA2	11.2663886653953
HLCS	4.03702187900765
MCF2L	4.18664096240523
AK1	5.61742486639087
FH	6.47744652011925
LGALS2	3.57483474932076
SYNPO2L	2.79952343163961
KIAA1045	3.39390324644090
C1orf183	4.61545598564275
MAGEA8	2.99486104572877
DGCR8	4.75213805345211
GSR	5.59893709762159
NEU2	3.34771165095933
HIST1H4B	3.31985097612313
CACNA1C	3.07360698845822
FAM20B	6.2878587549505
HES2	3.41442911137713
PDCD6	8.96624236270596
INTS7	5.86546766537493
AMPH	4.27174326672955
UCKL1	6.59579538824764
ASB4	3.04816105821527
C10orf97	4.83168570550604
ALDH1L1	3.66106413113604
CCL23	3.19924188877673
OBSL1	5.20107470452489
SLC12A7	7.45845730505736
THAP4	5.38633484625204
RBM4B	5.34940772023622
OGFRL1	3.72177613615481
KIAA0831	5.50398595060075
C12orf11	8.1859387233014
PPP1R15A	4.56766867851027
KIAA0240	6.07025805820866
CD1B	3.32596170420606
FCGR2A	5.24441435885379
MDC1	5.63895586474627
MAN1A1	3.77038684804378
