Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_E08_586166
Composite Element REF	Signal
KCNA3	3.21599815792494
BTBD1	7.81116318892186
TARS2	5.43890337629076
SKIV2L2	7.40083579884076
ABCF1	7.3029897072272
CDT1	3.93784648333397
ZHX2	7.57648123286007
FCF1	5.00978078838358
LRRC49	8.20304235437088
GUCY1B2	3.40646700562381
CD28	3.34401288455644
SMARCA4	5.88329575949116
SEPT2	9.14731036980936
SOHLH2	3.27305270075711
MCOLN3	5.52722475024414
LRP8	4.56008252603371
TAGLN3	3.7254813022863
MASP2	3.64469159091866
GPATCH3	4.62271733133096
TTRAP	8.93677504688412
AGL	7.29890174975085
NFE2L3	5.9098537238772
PSD4	3.95628158463807
PALMD	6.51194732687799
CCNB1IP1	9.09189616948565
TMEM43	7.0707505445102
OBFC1	6.91493817652373
STAT5B	4.3184717846414
C14orf79	3.98378507049447
ENPEP	4.74496581151056
SSB	7.74897008496205
SCT	2.79442062607832
TIMM23	8.06369312118762
SKI	3.8051858194638
SLC22A13	3.01108253742979
AKAP3	3.64933238759216
OAS2	5.09440070624996
KIAA0423	7.06834482428316
SEC61G	9.74021577328955
CAPN11	3.0071051366648
TMEM50B	8.03487853736184
DEGS1	7.93978579727305
ARHGEF4	3.33068031314146
DBNDD1	4.90092188743153
TBL1XR1	5.9786659508779
FAIM	7.76311903955764
