Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
TTC3	7.4483953822514
NDUFB8	9.03673521101846
CADPS2	4.35832000052628
EDG2	4.2270191896755
MYF5	3.25609622127118
SEMA3G	3.47162920175901
IL23A	4.1890179656921
GJA9	3.56831161649542
R3HDM2	7.57329041615613
C5	4.11209838213489
SLC2A10	4.27010423064716
TRIM45	4.59816781935127
TSP50	3.83060649901496
PAQR3	3.43586759262738
ANKRD26	3.4854306107836
TCP1	8.11445358404347
TMED7	7.41978148559512
CMA1	2.94945717027367
PTCRA	4.25386637957352
HCRTR1	3.55825393611275
FST	4.11547965163386
PAWR	4.25339033366869
LDLR	5.32091111268108
ASTN2	3.64197520748207
SCRN1	7.30697978568162
GPATCH8	5.72369822805829
KIF4A	5.91484258123826
TANC2	3.17924381687557
ZMYM5	3.95384528993153
PGM1	8.7048737539189
ZNF586	5.51935850458782
POLR3G	3.60570941515859
CPD	6.15605606526366
SNCAIP	3.96075356426613
DCT	3.45567438161519
HLA-DOA	3.63894725013556
TANK	5.90127690600328
RCAN1	3.87422034701669
UPK1B	5.08300902824285
DNAJB4	4.35755804497171
UGT1A8	3.13368126305013
LIMD2	3.47873568052402
HIST1H4L	3.47552391383124
PECR	4.47379689802874
HSPA2	4.99384564932509
SERP1	9.173118507134
TACR2	3.40032155918451
NUP85	8.0312478800607
CD177	3.31965324202682
GPR135	3.25989451520476
PIGG	7.20036448967499
LGR5	3.60513460371166
JAK2	3.55196835568884
DPYSL4	3.20315261045557
TM9SF4	6.26867777083307
PTHR1	3.18510272505939
SIRPG	3.04698291716345
ZNF264	5.62755447875904
BICD1	5.60694485178527
RAB5A	7.54912260474336
FLJ13224	3.09198395175868
METTL5	8.95005310771947
HERC6	4.32758210969505
CASP1	5.85753125563773
USP9Y	2.80763665126781
LRP1B	2.83655393472278
XAF1	5.10033542340927
PLA2G4C	4.07327126808558
APOA2	3.22087527743498
SPAG6	2.88706551110616
