Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E08_516348
Composite Element REF	Signal
KLRC4	2.97738990084828
BSDC1	5.35195907366862
DSC1	3.88061561151036
RNF43	5.81884524619275
NDUFAF1	5.9055635635471
MAP2K4	4.7704215319746
FOLR2	4.13851164643629
LYZL6	3.82985984296761
EPB41L3	3.16629059982601
TEKT2	4.3027567441135
CDKN2B	3.81922991488322
WSB1	5.85386586127985
ZNF480	3.43399376045739
MAP3K6	4.32646569624883
PROS1	5.50415693761408
PSMB8	6.85805016607759
HN1	6.45450338128023
MAS1	3.29512935980945
APOL1	4.24131811122437
CSHL1	3.29754701396483
ZBTB7C	2.97226859858712
AHCTF1	6.0151250794409
SAE2	8.05999692794454
ITGA2	5.06487874635643
AP2S1	8.0087059262923
P15RS	5.14117633405197
MME	3.93412393270495
VAT1	6.4541285708184
MAST4	6.67427654855006
TUFM	9.22962769015529
KRT33B	3.13207135339485
THEG	3.62082791540103
KCTD2	5.01664440746591
WDR26	7.66835698966066
MFI2	3.35090857094357
KRT34	3.31615652259531
NR4A3	3.69541161293895
SGSM3	4.43073736271242
ARSA	3.32352747219148
TOMM22	5.17516514816951
SOCS3	3.74975764113447
UNKL	4.18725313995968
POP4	7.77979438536845
BHLHB3	8.8205195513519
MALL	3.53287833465725
SOX15	3.3616198872543
CCNA2	3.94542088470941
PARK2	3.35386064931274
GPR124	4.17339563741977
TMEM132A	4.59206632532940
CGRRF1	6.72344690929564
RUVBL2	8.08926474115672
MCAT	5.6696634237662
WNT10B	3.71454581725631
ISCA1	5.74539295097824
RPAP1	5.38197682472303
C12orf48	4.13051683325881
RAI16	5.31878371721468
RPL27	9.05988077936447
EPN1	3.60271234220126
MAGI1	3.93826505239984
GBX2	3.42616620127744
SLC35A1	5.46201205119669
GAL	3.84457475313414
SLC14A2	3.9594706744815
RDH11	7.39503291215448
ZNF518	4.20329960546233
PCYT1B	3.39112359868598
AUH	6.8842507448735
EIF3H	11.4363738944809
KIF1B	7.20033081088308
MBD2	4.4188813886568
AMOTL2	8.15583362953735
C6orf120	4.22640734166399
PIGT	7.58770679586525
PSRC1	5.00900590875206
PLA2G10	3.48355466283449
ALAS1	6.33355952811112
FOXO1	7.10432840462388
C17orf62	5.82568950027221
KIF5C	4.42130493027697
DUSP10	3.75463554468904
CRLF3	6.41815449688244
CLCNKB	4.21242766123215
PSMA5	7.68229050658172
FARS2	5.55458779782612
CCDC28A	5.48909948152192
AMPD3	4.30734313588496
PIAS1	7.71173145136259
ADCYAP1R1	3.5487496050487
TMEM134	6.42362939878331
CDH20	3.22477173005007
FBXO7	7.89871992713906
FLJ14213	3.63671709757719
ZNF3	6.53900991453022
LRRFIP1	6.16462555240071
TMEM49	6.76360364730806
CNOT2	7.13483927408362
CBX2	2.89654305554741
ZC3H14	6.938094246365
ALDH5A1	5.43738672747775
HNT	3.24350625882492
SERPINA4	3.44656022531832
FLJ20920	5.98387011805813
CRTAP	4.63451273954544
DDX50	8.20554225929756
STYXL1	7.27615891678643
TK2	4.9103843513327
BLVRB	6.3299621760891
STMN1	6.21220692087872
GUCA2A	3.36768775627005
DPP6	6.87353169559711
GALNT10	4.34575999550844
STK39	3.7983206014053
MMP24	4.80173549049018
CKS2	9.33448061940617
RHO	3.70233493867219
BANF1	9.66135167405474
CR1	3.08150716848848
RPS6KA2	4.9441165050543
HMBS	6.09936659323209
C20orf112	3.9854507594705
SLC25A24	5.82511037764534
MRPL22	8.4917831397349
SLC25A15	5.55208354700927
GADD45B	5.15476867375336
TDP1	5.70622334287698
ZNF287	3.89100211823984
DAAM2	3.97221433588169
C11orf57	6.03609226410413
RFK	5.10331022226775
ZFYVE9	4.30183553707537
TCTN3	7.28896010917999
STCH	4.0275468151862
LOC283871	3.37009377724094
NDUFB3	7.31579206946247
DEFB4	3.74499269742599
FPR1	3.35513463936485
FMNL1	3.80948181079437
SEPT7	9.08958803289662
PTCD2	5.67066575687891
GNLY	3.57560768123307
GRAMD1C	5.32233405440775
ZNF165	4.63029534683247
TR2IT1	4.69495666528178
ARMCX3	6.55487570485649
NDE1	5.10089617134935
MAGEF1	7.1226264411245
ITGA10	3.89253670234024
ARHGDIB	4.96208695963065
FSHB	3.55544806991648
ANXA2	11.7338853666772
HLCS	4.08659918942075
MCF2L	3.88422297850493
AK1	5.902467399186
FH	6.78738917844491
LGALS2	3.69888108410646
SYNPO2L	2.85400316777019
KIAA1045	3.44015124478287
C1orf183	4.84266406560656
MAGEA8	3.13103016714997
DGCR8	4.81845130779411
GSR	4.8070317550332
NEU2	3.76196831804962
HIST1H4B	3.35550528546663
CACNA1C	3.30932743655626
FAM20B	6.53889734419825
HES2	3.04361558881912
PDCD6	8.79574619400318
INTS7	5.1565207387526
AMPH	3.79905509158470
UCKL1	6.35029231014221
ASB4	3.23184329295395
C10orf97	5.10494005673216
ALDH1L1	4.87192534829286
CCL23	3.21155533947913
OBSL1	5.50864397687645
SLC12A7	6.04942748486519
THAP4	5.51286606093942
RBM4B	5.36299443193328
OGFRL1	4.11971214077130
KIAA0831	6.26690460977064
C12orf11	7.40980253509091
PPP1R15A	4.87291352512145
KIAA0240	5.00546076423168
CD1B	3.38594821563243
FCGR2A	3.03613604188092
MDC1	5.18022468754263
MAN1A1	3.33532601577426
KRT9	3.13606428065794
HTR1A	3.14864957877611
OCEL1	6.43229478968612
ATP11B	5.08093037684441
NLGN4X	4.23094204389461
FBXO34	7.3560073946616
ALOX12	3.53208787036187
RB1CC1	7.72085440810242
PCDH12	4.5815060985311
RPE	4.59732924436267
EIF4E	5.55138874045182
CSDC2	4.23292794185817
ABHD5	4.84239283561694
TMBIM1	5.43479516640823
PET112L	4.81976580397733
P2RXL1	3.31460924225281
F2RL2	3.22004791710052
TRMT1	7.01175702469209
IMPG2	4.66597395879075
LRRC32	5.29481942008607
BGLAP	4.20738064850949
HTR4	3.47144315189189
MRAS	5.26616930812371
TRAF6	5.05738974954818
AXL	4.47440011568331
ATP2C2	3.35557961832395
LMNB1	5.6281202057157
TELO2	4.66486975703630
PNPLA3	3.48020752705883
CSNK1E	6.42410361067008
SRP14	10.3876409649244
KCNQ4	3.14132026903599
PIK3C2B	5.05410661928356
C15orf15	9.03280295356589
TUBB2B	4.33155035301339
USP15	5.18888323817739
C12orf41	7.5048591057864
CEND1	3.91844336795357
RNF31	4.97886273667867
TCEAL2	4.03498144085999
PTGER2	3.9894703820426
UBN1	6.1048548184728
SLC5A7	3.41319520622032
SLC31A1	4.98468364288051
ADAM29	3.28556872373804
ST7L	4.42406528465311
GFOD1	4.85087785232981
CTNNA1	9.21084610588861
HRBL	3.81384703537435
CBX4	4.03489482111221
NTRK2	3.76722721581087
FOXN3	5.17225840849318
MFGE8	6.98045915616144
PFKFB2	3.69658013780335
TAS2R4	3.52235715583395
SH3TC2	3.39506246993862
IL10	3.49984467085179
PXMP4	5.73547163313745
RNF167	6.14279777393793
PRMT5	7.14777429778485
TSKU	5.33833800566372
ATPIF1	8.60769558335059
ETV3	3.21471813022362
PAK7	3.05975587620991
