Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B01_443100
Composite Element REF	Signal
GCC2	6.73525128487162
RARRES3	7.06714037607089
PLXNA1	6.34079777876976
WBP4	4.86846661751453
KIAA0100	6.22448015526314
PMF1	6.49024727615575
HS2ST1	5.72550096085301
CRELD2	7.52517344539997
C8G	3.06177659304375
CD82	5.77471317584726
PMM1	4.35252963447349
CBLL1	5.54611552691859
LIM2	3.39438379611461
VAX2	3.15236871662334
SETDB1	5.41322852700178
LRAP	5.38734528145853
GCLM	6.81978149076641
CPEB3	3.43382800210092
PPM1A	6.27572313059268
INTS1	4.06028296994229
MMP16	3.14437242432638
CAMTA1	4.15727198632852
SAMSN1	8.25972918629504
DRD3	2.76139317093751
GMPPA	5.64282844070657
C11orf73	5.81023231788613
AIPL1	3.81473265537887
PTP4A2	9.21207656875057
IL24	3.51296272307584
BDKRB1	3.42663215884817
HPCA	3.50534067895425
MLF1	6.58849185037068
SEC14L1	7.18341821803055
CHFR	6.35576335056298
EMILIN1	3.21215644423099
THADA	6.43935192157905
TAF12	5.77001848147831
NDUFS4	8.21292498259156
ID1	3.78818193799926
PIK3CB	3.69237765346456
COL18A1	6.77364460487518
PDZD3	3.14899240759969
TBC1D17	4.40124424575096
COX8A	9.05087610231628
CDCA4	6.23503853847572
C2orf44	4.76115016071132
C9orf16	7.57439719437332
ERBB2IP	8.11696592465417
EMX2	7.36236632288307
FUS	6.3894873194541
NIPSNAP3B	3.84265514690216
TF	3.27982039625111
CXorf56	5.71179897144023
CLCN4	3.66784503991502
PWP2	6.25306523389226
MMP15	3.47255363776504
MTMR14	6.0182779573216
NPR1	6.33673209403547
DNAL4	5.32993686378588
ELAC2	4.45507482373214
ASS1	10.9655591982246
IPP	6.92684177895837
TMEM59	8.91935200591696
POLR2J	8.59728991176428
SEC23IP	5.3256562602603
RGS4	3.65280023374561
UQCRC1	8.5322739918674
SNX6	7.75082891926692
DDX18	7.22334479253122
POLG	4.20802012212325
ADAM23	3.78927453071370
ZNHIT2	4.42121156020755
TFR2	3.41694219613390
NCDN	4.62927512232202
RAG1	3.47606075604366
POMT1	4.62456657247314
CYP1A1	3.21779414710003
SNAPC1	6.41130680465026
GNA11	5.2162966331691
CCDC52	2.78957792059284
CAPN1	6.11311054227941
DDHD2	5.45699052791098
UPF3A	5.68110702026667
LAGE3	6.71442109307884
GNRHR	3.08514727101121
UNC13B	4.82221166139901
TTLL4	4.69354863730158
PPBP	2.80632383709486
HTR3A	4.17307427117658
SDC2	4.46260586313367
ANKRD49	6.21376222036535
BTF3	10.3625054506788
COX7A2	10.9051828753265
SARS	9.00902248716027
C13orf18	3.81748609421735
CACNB1	3.86471305640836
QKI	6.65911866647954
SETMAR	4.90278386418959
LAMB4	3.47752890971041
MAN2B1	7.43428054617853
EML3	5.05289022027734
ACADL	3.05513942160601
OFD1	6.96594506434687
CGA	3.26692590691663
EIF3EIP	10.5249742142391
PEX16	5.51043436109311
GNG12	7.0169073887873
HABP4	4.7453017468513
CNTN2	3.39219988013315
ASNSD1	6.97774196415793
FUT4	4.20971854779984
DBH	3.32140008032956
CD53	9.26654208126637
HIST1H2BJ	3.60313120465219
TFAP2B	3.74888002776947
ACF	3.54958598688519
TMEM11	5.68005653058249
CDH8	3.21261363882362
C3orf32	3.40493481752405
AGPS	5.36576082036879
C4orf18	3.30188897059966
PCCB	7.65782291991934
IPO13	5.68005449109459
PECI	6.57167071867683
UNG	7.22304246756234
C6orf105	3.55705462846427
GSTP1	8.50837401844272
SUV420H1	6.86020419117451
ARHGAP15	5.4541559380389
LTBR	6.48356487215261
TDRKH	3.49676334286234
PSG4	3.4643141586286
SLC9A3R1	5.84509269536788
NBPF3	8.14970123089689
SLC9A3	3.86455097927402
OSBP	5.74836710628559
PRR5	4.18762451991194
CHMP7	5.32100556022478
ADRA1A	3.05611706247313
ASAH1	7.14560304794653
FKBP4	6.88370034931128
ZNF350	5.13912803245704
DOM3Z	5.61510356747832
GIPR	3.85977968962384
AHI1	4.74567534968747
BST1	7.6636868695793
NCR2	3.48804470452815
NADSYN1	4.44088272423429
UBE2W	6.96346436943874
RGS14	4.223307226355
KRT15	3.58165975191894
SCN11A	3.67220054650653
GFI1	4.14324322213981
FHL1	7.3282496529286
SMC6	6.20687023633586
GATA1	3.42463648034815
OSGEP	5.2446911916951
ARMC6	5.00790549694041
HK3	5.5799115966697
PSMD5	7.31245964712916
RSU1	8.06603448353614
RPL4	11.5830612988857
MAD2L1	8.4957711159696
RBPMS	3.97963888434635
EIF4A3	8.65964678621322
E4F1	4.65221816882552
DLEC1	3.42815311969041
PRPF3	5.78313153479865
EMR1	3.6469217613666
CHMP2B	7.85518072640148
CAMSAP1	4.48982873269864
