Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_C06_458628
Composite Element REF	Signal
KLRG1	3.56385795970841
FRAG1	6.168418105338
ZSCAN12	3.26934601533643
PSMD12	6.37195526886823
E2F4	5.15221767743758
CLEC4M	3.44839311355165
KIAA0999	5.13079205822854
CLDN10	5.52562021117606
MGC13053	4.0891638593044
TAC1	2.78774168049601
GYPA	3.26030323151617
HPCAL4	3.2891314117082
TRAIP	4.02352290457093
MEX3D	4.35916455203076
KIAA0232	6.03531981235678
ERCC8	4.08430834917516
NFAT5	6.57949100124997
GPX4	9.13023134184306
CSPG4LYP1	3.42802887361696
KIAA0368	6.76979860662325
FBXO3	6.16265178242456
DVL1	5.41400101756582
CMKLR1	3.58091213234783
GPR157	3.47502423984918
TYMS	7.57533761768673
OR52A1	3.12153430778072
PEF1	6.84937942394253
ZNF750	3.06363042436801
ALG9	5.74360721539289
MCM5	6.78842671086323
SDK2	3.1033529677273
BAIAP3	3.74623639282942
RABGGTB	6.8666333606649
KCNK7	3.25286332636193
PTP4A3	5.50867601068657
ANKRD40	3.8090243495694
CALCOCO2	6.71481776242279
TMSL8	5.07460518873221
SNCA	4.31812874643307
ZNF551	3.77583580076843
HBQ1	3.38461263508837
ARHGAP26	4.10422569074092
GEMIN6	7.0390254550493
HRAS	5.40850091649849
KLRC4	2.81160547060048
BSDC1	6.07450588975752
DSC1	3.920233171824
RNF43	5.27688999757182
NDUFAF1	6.00923064106254
MAP2K4	4.79663239808684
FOLR2	4.13877269760120
LYZL6	3.40333416268159
EPB41L3	3.26050180344289
TEKT2	4.33756433157864
CDKN2B	3.52302598848212
WSB1	6.1868854415567
ZNF480	3.31560068779584
MAP3K6	4.45827267812778
PROS1	7.57922741932834
PSMB8	8.81446482612286
HN1	6.24478132873328
MAS1	3.44779430416715
APOL1	4.46973384370053
CSHL1	3.52282729843115
ZBTB7C	2.93538494577776
AHCTF1	5.78294553480698
SAE2	8.16277039234674
ITGA2	4.74850653743672
AP2S1	7.80454011413494
P15RS	7.48745845206988
MME	3.3219232793651
VAT1	7.09758804330302
MAST4	5.83312944242184
TUFM	9.44469455246572
KRT33B	3.34137616350889
